system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path	source_system	seed	candidate
ova_body_c4_05_ms25_r01	seed-1_sample-0	0.82	0.84	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	3,8	1	228	43	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	90.0724481152747	90.01476683147213	1.548603333207315	1.5543234347227182	/root/400083/ova_p3_tetramer_design/experiments/e299_c4_e292_clashrepair_af3_seed1/out_s4/ova_body_c4_05/seed-1_sample-0/ova_body_c4_05_seed-1_sample-0_model.cif	ova_body_c4_05	1	ova_body_c4_05_ms25_r01
ova_body_c4_05_ms25_r01	seed-1_sample-1	0.81	0.84	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,3,8	1	233	46	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	89.35055704314473	89.31575137716501	1.621535733537213	1.6276009748435165	/root/400083/ova_p3_tetramer_design/experiments/e299_c4_e292_clashrepair_af3_seed1/out_s4/ova_body_c4_05/seed-1_sample-1/ova_body_c4_05_seed-1_sample-1_model.cif	ova_body_c4_05	1	ova_body_c4_05_ms25_r01
ova_body_c4_05_ms25_r01	seed-1_sample-2	0.81	0.84	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,3,8	1	245	44	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	90.07421627192917	90.0395078214339	1.5480136508895515	1.5570653478034024	/root/400083/ova_p3_tetramer_design/experiments/e299_c4_e292_clashrepair_af3_seed1/out_s4/ova_body_c4_05/seed-1_sample-2/ova_body_c4_05_seed-1_sample-2_model.cif	ova_body_c4_05	1	ova_body_c4_05_ms25_r01
ova_body_c4_05_ms25_r01	seed-1_sample-3	0.81	0.84	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,3,8	1	244	47	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	89.9513147013175	89.90445599531263	1.571716113646655	1.5765555409437388	/root/400083/ova_p3_tetramer_design/experiments/e299_c4_e292_clashrepair_af3_seed1/out_s4/ova_body_c4_05/seed-1_sample-3/ova_body_c4_05_seed-1_sample-3_model.cif	ova_body_c4_05	1	ova_body_c4_05_ms25_r01
ova_body_c4_05_ms25_r01	seed-1_sample-4	0.82	0.85	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,3,8	1	258	51	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	89.41371768990946	89.3477460535079	1.5881219721836717	1.5946405451102588	/root/400083/ova_p3_tetramer_design/experiments/e299_c4_e292_clashrepair_af3_seed1/out_s4/ova_body_c4_05/seed-1_sample-4/ova_body_c4_05_seed-1_sample-4_model.cif	ova_body_c4_05	1	ova_body_c4_05_ms25_r01
ova_body_c4_05_ms25_r01	seed-2_sample-0	0.82	0.85	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,3	1	244	47	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	90.13051168165059	90.05378249766295	1.5699946854260143	1.5739418485761116	/root/400083/ova_p3_tetramer_design/experiments/e300_e299_top4_af3_multiseed/out_s0/ova_body_c4_05_ms25_r01/seed-2_sample-0/ova_body_c4_05_ms25_r01_seed-2_sample-0_model.cif	ova_body_c4_05	2	ova_body_c4_05_ms25_r01
ova_body_c4_05_ms25_r01	seed-2_sample-1	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,8,3	1	228	45	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	89.62943648303728	89.57665793265703	1.5399143086199143	1.5433218297107292	/root/400083/ova_p3_tetramer_design/experiments/e300_e299_top4_af3_multiseed/out_s0/ova_body_c4_05_ms25_r01/seed-2_sample-1/ova_body_c4_05_ms25_r01_seed-2_sample-1_model.cif	ova_body_c4_05	2	ova_body_c4_05_ms25_r01
ova_body_c4_05_ms25_r01	seed-2_sample-2	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,8,3	1	242	50	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	89.70979920570096	89.6170724661239	1.715655668981977	1.7196866536965574	/root/400083/ova_p3_tetramer_design/experiments/e300_e299_top4_af3_multiseed/out_s0/ova_body_c4_05_ms25_r01/seed-2_sample-2/ova_body_c4_05_ms25_r01_seed-2_sample-2_model.cif	ova_body_c4_05	2	ova_body_c4_05_ms25_r01
ova_body_c4_05_ms25_r01	seed-2_sample-3	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,3	1	234	45	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	89.66860097924663	89.59450764236055	1.6523016730458409	1.655702624804767	/root/400083/ova_p3_tetramer_design/experiments/e300_e299_top4_af3_multiseed/out_s0/ova_body_c4_05_ms25_r01/seed-2_sample-3/ova_body_c4_05_ms25_r01_seed-2_sample-3_model.cif	ova_body_c4_05	2	ova_body_c4_05_ms25_r01
ova_body_c4_05_ms25_r01	seed-2_sample-4	0.84	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,3	1	254	48	10	0.7692307692307693	191,271,276,278,345,346,347,349,350,354	4	0	89.68783673844807	89.59411909666704	1.6089711103647089	1.613407377019082	/root/400083/ova_p3_tetramer_design/experiments/e300_e299_top4_af3_multiseed/out_s0/ova_body_c4_05_ms25_r01/seed-2_sample-4/ova_body_c4_05_ms25_r01_seed-2_sample-4_model.cif	ova_body_c4_05	2	ova_body_c4_05_ms25_r01
