source	chain_pair	category	unique_residue_pair_types	atom_level_events
ova_body_c4_06_ms25_r04__AF3	A-B	Hydrophobic	8	12
ova_body_c4_06_ms25_r04__AF3	A-B	HydrogenBond	2	2
ova_body_c4_06_ms25_r04__AF3	A-B	SaltBridge	2	2
ova_body_c4_06_ms25_r04__AF3	A-B	PiStacking	0	0
ova_body_c4_06_ms25_r04__AF3	A-B	CationPi	0	0
ova_body_c4_06_ms25_r04__AF3	A-B	VdWContact	6	11
ova_body_c4_06_ms25_r04__AF3	A-C	Hydrophobic	4	26
ova_body_c4_06_ms25_r04__AF3	A-C	HydrogenBond	0	0
ova_body_c4_06_ms25_r04__AF3	A-C	SaltBridge	0	0
ova_body_c4_06_ms25_r04__AF3	A-C	PiStacking	1	1
ova_body_c4_06_ms25_r04__AF3	A-C	CationPi	0	0
ova_body_c4_06_ms25_r04__AF3	A-C	VdWContact	12	34
ova_body_c4_06_ms25_r04__AF3	A-D	Hydrophobic	13	32
ova_body_c4_06_ms25_r04__AF3	A-D	HydrogenBond	3	3
ova_body_c4_06_ms25_r04__AF3	A-D	SaltBridge	2	4
ova_body_c4_06_ms25_r04__AF3	A-D	PiStacking	0	0
ova_body_c4_06_ms25_r04__AF3	A-D	CationPi	0	0
ova_body_c4_06_ms25_r04__AF3	A-D	VdWContact	25	55
ova_body_c4_06_ms25_r04__AF3	B-C	Hydrophobic	10	31
ova_body_c4_06_ms25_r04__AF3	B-C	HydrogenBond	3	3
ova_body_c4_06_ms25_r04__AF3	B-C	SaltBridge	2	4
ova_body_c4_06_ms25_r04__AF3	B-C	PiStacking	0	0
ova_body_c4_06_ms25_r04__AF3	B-C	CationPi	0	0
ova_body_c4_06_ms25_r04__AF3	B-C	VdWContact	26	55
ova_body_c4_06_ms25_r04__AF3	B-D	Hydrophobic	4	26
ova_body_c4_06_ms25_r04__AF3	B-D	HydrogenBond	0	0
ova_body_c4_06_ms25_r04__AF3	B-D	SaltBridge	0	0
ova_body_c4_06_ms25_r04__AF3	B-D	PiStacking	0	0
ova_body_c4_06_ms25_r04__AF3	B-D	CationPi	0	0
ova_body_c4_06_ms25_r04__AF3	B-D	VdWContact	9	28
ova_body_c4_06_ms25_r04__AF3	C-D	Hydrophobic	8	12
ova_body_c4_06_ms25_r04__AF3	C-D	HydrogenBond	2	2
ova_body_c4_06_ms25_r04__AF3	C-D	SaltBridge	2	2
ova_body_c4_06_ms25_r04__AF3	C-D	PiStacking	0	0
ova_body_c4_06_ms25_r04__AF3	C-D	CationPi	0	0
ova_body_c4_06_ms25_r04__AF3	C-D	VdWContact	6	15
ova_body_c4_06_ms25_r04__Protenix	A-B	Hydrophobic	6	10
ova_body_c4_06_ms25_r04__Protenix	A-B	HydrogenBond	0	0
ova_body_c4_06_ms25_r04__Protenix	A-B	SaltBridge	0	0
ova_body_c4_06_ms25_r04__Protenix	A-B	PiStacking	0	0
ova_body_c4_06_ms25_r04__Protenix	A-B	CationPi	0	0
ova_body_c4_06_ms25_r04__Protenix	A-B	VdWContact	8	24
ova_body_c4_06_ms25_r04__Protenix	A-C	Hydrophobic	10	58
ova_body_c4_06_ms25_r04__Protenix	A-C	HydrogenBond	2	2
ova_body_c4_06_ms25_r04__Protenix	A-C	SaltBridge	2	4
ova_body_c4_06_ms25_r04__Protenix	A-C	PiStacking	0	0
ova_body_c4_06_ms25_r04__Protenix	A-C	CationPi	0	0
ova_body_c4_06_ms25_r04__Protenix	A-C	VdWContact	23	130
ova_body_c4_06_ms25_r04__Protenix	A-D	Hydrophobic	4	37
ova_body_c4_06_ms25_r04__Protenix	A-D	HydrogenBond	0	0
ova_body_c4_06_ms25_r04__Protenix	A-D	SaltBridge	0	0
ova_body_c4_06_ms25_r04__Protenix	A-D	PiStacking	1	1
ova_body_c4_06_ms25_r04__Protenix	A-D	CationPi	0	0
ova_body_c4_06_ms25_r04__Protenix	A-D	VdWContact	8	62
ova_body_c4_06_ms25_r04__Protenix	B-C	Hydrophobic	4	33
ova_body_c4_06_ms25_r04__Protenix	B-C	HydrogenBond	0	0
ova_body_c4_06_ms25_r04__Protenix	B-C	SaltBridge	0	0
ova_body_c4_06_ms25_r04__Protenix	B-C	PiStacking	1	1
ova_body_c4_06_ms25_r04__Protenix	B-C	CationPi	0	0
ova_body_c4_06_ms25_r04__Protenix	B-C	VdWContact	8	59
ova_body_c4_06_ms25_r04__Protenix	B-D	Hydrophobic	9	55
ova_body_c4_06_ms25_r04__Protenix	B-D	HydrogenBond	4	4
ova_body_c4_06_ms25_r04__Protenix	B-D	SaltBridge	2	4
ova_body_c4_06_ms25_r04__Protenix	B-D	PiStacking	0	0
ova_body_c4_06_ms25_r04__Protenix	B-D	CationPi	0	0
ova_body_c4_06_ms25_r04__Protenix	B-D	VdWContact	21	99
ova_body_c4_06_ms25_r04__Protenix	C-D	Hydrophobic	5	8
ova_body_c4_06_ms25_r04__Protenix	C-D	HydrogenBond	0	0
ova_body_c4_06_ms25_r04__Protenix	C-D	SaltBridge	0	0
ova_body_c4_06_ms25_r04__Protenix	C-D	PiStacking	0	0
ova_body_c4_06_ms25_r04__Protenix	C-D	CationPi	0	0
ova_body_c4_06_ms25_r04__Protenix	C-D	VdWContact	6	16
