source	chain_pair	category	unique_residue_pair_types	atom_level_events
ova_body_c4_22_ms25_r01__AF3	A-B	Hydrophobic	8	11
ova_body_c4_22_ms25_r01__AF3	A-B	HydrogenBond	2	2
ova_body_c4_22_ms25_r01__AF3	A-B	SaltBridge	2	2
ova_body_c4_22_ms25_r01__AF3	A-B	PiStacking	0	0
ova_body_c4_22_ms25_r01__AF3	A-B	CationPi	0	0
ova_body_c4_22_ms25_r01__AF3	A-B	VdWContact	8	19
ova_body_c4_22_ms25_r01__AF3	A-C	Hydrophobic	6	11
ova_body_c4_22_ms25_r01__AF3	A-C	HydrogenBond	6	6
ova_body_c4_22_ms25_r01__AF3	A-C	SaltBridge	4	6
ova_body_c4_22_ms25_r01__AF3	A-C	PiStacking	0	0
ova_body_c4_22_ms25_r01__AF3	A-C	CationPi	0	0
ova_body_c4_22_ms25_r01__AF3	A-C	VdWContact	28	72
ova_body_c4_22_ms25_r01__AF3	A-D	Hydrophobic	4	29
ova_body_c4_22_ms25_r01__AF3	A-D	HydrogenBond	0	0
ova_body_c4_22_ms25_r01__AF3	A-D	SaltBridge	0	0
ova_body_c4_22_ms25_r01__AF3	A-D	PiStacking	1	1
ova_body_c4_22_ms25_r01__AF3	A-D	CationPi	0	0
ova_body_c4_22_ms25_r01__AF3	A-D	VdWContact	17	37
ova_body_c4_22_ms25_r01__AF3	B-C	Hydrophobic	4	29
ova_body_c4_22_ms25_r01__AF3	B-C	HydrogenBond	0	0
ova_body_c4_22_ms25_r01__AF3	B-C	SaltBridge	0	0
ova_body_c4_22_ms25_r01__AF3	B-C	PiStacking	1	1
ova_body_c4_22_ms25_r01__AF3	B-C	CationPi	0	0
ova_body_c4_22_ms25_r01__AF3	B-C	VdWContact	14	37
ova_body_c4_22_ms25_r01__AF3	B-D	Hydrophobic	6	10
ova_body_c4_22_ms25_r01__AF3	B-D	HydrogenBond	6	7
ova_body_c4_22_ms25_r01__AF3	B-D	SaltBridge	4	6
ova_body_c4_22_ms25_r01__AF3	B-D	PiStacking	0	0
ova_body_c4_22_ms25_r01__AF3	B-D	CationPi	0	0
ova_body_c4_22_ms25_r01__AF3	B-D	VdWContact	28	69
ova_body_c4_22_ms25_r01__AF3	C-D	Hydrophobic	8	11
ova_body_c4_22_ms25_r01__AF3	C-D	HydrogenBond	2	2
ova_body_c4_22_ms25_r01__AF3	C-D	SaltBridge	2	2
ova_body_c4_22_ms25_r01__AF3	C-D	PiStacking	0	0
ova_body_c4_22_ms25_r01__AF3	C-D	CationPi	0	0
ova_body_c4_22_ms25_r01__AF3	C-D	VdWContact	10	16
