rank	score	pass_gate	system	kind	n_chains	n_models	expected_models	complete	median_iptm	max_iptm	median_ptm	median_min_ova_plddt	median_min_module_plddt	median_min_incident_iptm	median_contact_pair_iptm	median_contact_pair_pae	median_total_contacts	median_ova_contacts	median_module_contacts	full_connected_fraction	module_connected_fraction	unclashed_fraction	median_interface_jaccard	best_model	best_iptm	best_min_incident_iptm	best_cif
1	0.754	1	p3_pli_c_f05	tetramer_candidate	4	15	15	1	0.55	0.58	0.64	87.29	74.47	0.48	0.48	5.115	271.0	96.0	172.0	1.0	1.0	1.0	0.5253	seed-3_sample-3	0.58	0.52	experiments/e02b_tetramer_screen1_msa/out_s1/p3_pli_c_f05/seed-3_sample-3/p3_pli_c_f05_seed-3_sample-3_model.cif
2	0.6668	0	p3_pli_c_f10	tetramer_candidate	4	15	15	1	0.24	0.25	0.38	85.13	63.93	0.19	0.18	5.175	474.0	219.0	178.0	1.0	0.9333	1.0	0.6	seed-3_sample-1	0.25	0.22	experiments/e02b_tetramer_screen1_msa/out_s2/p3_pli_c_f10/seed-3_sample-1/p3_pli_c_f10_seed-3_sample-1_model.cif
3	0.6456	0	p3_pli_c_f00	tetramer_candidate	4	15	15	1	0.25	0.27	0.39	85.39	62.14	0.19	0.185	5.965	387.0	222.0	156.0	1.0	0.9333	1.0	0.4766	seed-2_sample-3	0.27	0.21	experiments/e02b_tetramer_screen1_msa/out_s0/p3_pli_c_f00/seed-2_sample-3/p3_pli_c_f00_seed-2_sample-3_model.cif
4	0.641	0	p3_pli_c_h15	tetramer_candidate	4	15	15	1	0.25	0.26	0.37	84.67	68.66	0.19	0.19	5.505	452.0	217.0	176.0	1.0	0.8	1.0	0.5303	seed-3_sample-1	0.26	0.21	experiments/e02b_tetramer_screen1_msa/out_s6/p3_pli_c_h15/seed-3_sample-1/p3_pli_c_h15_seed-3_sample-1_model.cif
5	0.64	0	p3_pli_c_f20	tetramer_candidate	4	15	15	1	0.22	0.24	0.38	85.17	46.43	0.18	0.165	8.3	561.0	185.0	129.0	1.0	1.0	1.0	0.5669	seed-2_sample-4	0.24	0.21	experiments/e02b_tetramer_screen1_msa/out_s4/p3_pli_c_f20/seed-2_sample-4/p3_pli_c_f20_seed-2_sample-4_model.cif
6	0.623	0	p3_cct_c_f20	tetramer_candidate	4	15	15	1	0.21	0.22	0.37	84.37	41.38	0.16	0.145	9.95	584.0	164.0	154.0	1.0	1.0	1.0	0.5528	seed-1_sample-3	0.22	0.21	experiments/e02b_tetramer_screen1_msa/out_s3/p3_cct_c_f20/seed-1_sample-3/p3_cct_c_f20_seed-1_sample-3_model.cif
7	0.6177	0	p3_pli_c_h10	tetramer_candidate	4	15	15	1	0.24	0.27	0.39	84.85	64.93	0.2	0.18	5.96	416.0	174.0	176.0	1.0	0.6667	1.0	0.5455	seed-1_sample-2	0.27	0.23	experiments/e02b_tetramer_screen1_msa/out_s5/p3_pli_c_h10/seed-1_sample-2/p3_pli_c_h10_seed-1_sample-2_model.cif
8	0.6102	0	p3_pli_c_f15	tetramer_candidate	4	15	15	1	0.22	0.25	0.38	85.09	45.27	0.18	0.16	7.875	547.0	248.0	104.0	1.0	0.8	1.0	0.5674	seed-2_sample-4	0.25	0.24	experiments/e02b_tetramer_screen1_msa/out_s3/p3_pli_c_f15/seed-2_sample-4/p3_pli_c_f15_seed-2_sample-4_model.cif
9	0.6093	0	p3_pli_n_f20	tetramer_candidate	4	15	15	1	0.19	0.22	0.35	84.91	47.12	0.15	0.14	8.44	358.0	169.0	111.0	1.0	1.0	1.0	0.4125	seed-1_sample-4	0.22	0.16	experiments/e02b_tetramer_screen1_msa/out_s0/p3_pli_n_f20/seed-1_sample-4/p3_pli_n_f20_seed-1_sample-4_model.cif
10	0.5896	0	p3_cct_c_f10	tetramer_candidate	4	15	15	1	0.2	0.27	0.37	84.63	45.16	0.16	0.15	10.9	495.0	221.0	118.0	1.0	0.8	1.0	0.5345	seed-1_sample-3	0.27	0.21	experiments/e02b_tetramer_screen1_msa/out_s2/p3_cct_c_f10/seed-1_sample-3/p3_cct_c_f10_seed-1_sample-3_model.cif
11	0.5859	0	p3_cct_c_f00	tetramer_candidate	4	15	15	1	0.21	0.22	0.38	84.45	43.74	0.18	0.13	14.57	503.0	230.0	132.0	1.0	0.8667	1.0	0.5116	seed-2_sample-4	0.22	0.21	experiments/e02b_tetramer_screen1_msa/out_s1/p3_cct_c_f00/seed-2_sample-4/p3_cct_c_f00_seed-2_sample-4_model.cif
12	0.5688	0	p3_cct_n_f10	tetramer_candidate	4	15	15	1	0.2	0.25	0.36	85.15	45.27	0.16	0.13	11.56	413.0	202.0	153.0	1.0	0.8	1.0	0.4062	seed-1_sample-2	0.25	0.18	experiments/e02b_tetramer_screen1_msa/out_s4/p3_cct_n_f10/seed-1_sample-2/p3_cct_n_f10_seed-1_sample-2_model.cif
13	0.552	0	p3_cct_n_f20	tetramer_candidate	4	15	15	1	0.19	0.24	0.36	84.65	44.99	0.16	0.14	12.885	490.0	211.0	117.0	1.0	0.6667	1.0	0.472	seed-1_sample-0	0.24	0.21	experiments/e02b_tetramer_screen1_msa/out_s5/p3_cct_n_f20/seed-1_sample-0/p3_cct_n_f20_seed-1_sample-0_model.cif
14	0.5464	0	p3_pli_n_f10	tetramer_candidate	4	15	15	1	0.19	0.22	0.35	84.86	47.7	0.15	0.135	9.42	504.0	189.0	107.0	1.0	0.6	1.0	0.4113	seed-1_sample-3	0.22	0.19	experiments/e02b_tetramer_screen1_msa/out_s7/p3_pli_n_f10/seed-1_sample-3/p3_pli_n_f10_seed-1_sample-3_model.cif
