system	model	iptm	has_clash	intended_pairs	expected_ss_bonds	observed_ss_bonds	chain_component	full_ss_ring	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean_ring	interchain_ss_bonds	no_interchain_ss	noncovalent_chemically_clean	median_ss_distance_a	bonds_json	unexpected_bonds_json	cif_path
ova_body_c6_01	seed-1_sample-0	0.27	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-1_sample-0/ova_body_c6_01_seed-1_sample-0_model.cif
ova_body_c6_01	seed-1_sample-1	0.25	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-1_sample-1/ova_body_c6_01_seed-1_sample-1_model.cif
ova_body_c6_01	seed-1_sample-2	0.26	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-1_sample-2/ova_body_c6_01_seed-1_sample-2_model.cif
ova_body_c6_01	seed-1_sample-3	0.24	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-1_sample-3/ova_body_c6_01_seed-1_sample-3_model.cif
ova_body_c6_01	seed-1_sample-4	0.24	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-1_sample-4/ova_body_c6_01_seed-1_sample-4_model.cif
ova_body_c6_01	seed-2_sample-0	0.27	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-2_sample-0/ova_body_c6_01_seed-2_sample-0_model.cif
ova_body_c6_01	seed-2_sample-1	0.26	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-2_sample-1/ova_body_c6_01_seed-2_sample-1_model.cif
ova_body_c6_01	seed-2_sample-2	0.26	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-2_sample-2/ova_body_c6_01_seed-2_sample-2_model.cif
ova_body_c6_01	seed-2_sample-3	0.26	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-2_sample-3/ova_body_c6_01_seed-2_sample-3_model.cif
ova_body_c6_01	seed-2_sample-4	0.26	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-2_sample-4/ova_body_c6_01_seed-2_sample-4_model.cif
ova_body_c6_01	seed-3_sample-0	0.65	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-3_sample-0/ova_body_c6_01_seed-3_sample-0_model.cif
ova_body_c6_01	seed-3_sample-1	0.64	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-3_sample-1/ova_body_c6_01_seed-3_sample-1_model.cif
ova_body_c6_01	seed-3_sample-2	0.67	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-3_sample-2/ova_body_c6_01_seed-3_sample-2_model.cif
ova_body_c6_01	seed-3_sample-3	0.66	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-3_sample-3/ova_body_c6_01_seed-3_sample-3_model.cif
ova_body_c6_01	seed-3_sample-4	0.62	0.0		0	0	1	0	6	0	0	0	1	1	nan	[]	[]	experiments/e105_c4hit_stoichiometry/c6/out_s0/ova_body_c6_01/seed-3_sample-4/ova_body_c6_01_seed-3_sample-4_model.cif
