seed	model	iptm	weakest_chain	interface_pae_a	min_ova_plddt	full_connected	has_clash	confidence_pass	observed_ss_bonds	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean	joint_pass	cif_path
1	seed-1_sample-0	0.7	0.69	6.68	84.08720215120464	1	0	1	0	4	0	1	1	experiments/e98_d2_pose_diversity_af3/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif
1	seed-1_sample-1	0.71	0.7	6.405	84.44129516917806	1	0	1	0	4	0	1	1	experiments/e98_d2_pose_diversity_af3/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_model.cif
1	seed-1_sample-2	0.69	0.67	6.825	84.18595876347834	1	0	1	0	4	0	1	1	experiments/e98_d2_pose_diversity_af3/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif
1	seed-1_sample-3	0.71	0.69	6.4350000000000005	84.36404158043737	1	0	1	0	4	0	1	1	experiments/e98_d2_pose_diversity_af3/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif
1	seed-1_sample-4	0.7	0.69	6.53	84.31479289988779	1	0	1	0	4	0	1	1	experiments/e98_d2_pose_diversity_af3/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
2	seed-2_sample-0	0.66	0.66	5.51	83.96598451248722	1	0	1	0	4	0	1	1	experiments/e104_c4hit_multiseed/prepared/out_s0/ova_body_c4_01/seed-2_sample-0/ova_body_c4_01_seed-2_sample-0_model.cif
2	seed-2_sample-1	0.66	0.66	5.640000000000001	83.94367879165887	1	0	1	0	4	0	1	1	experiments/e104_c4hit_multiseed/prepared/out_s0/ova_body_c4_01/seed-2_sample-1/ova_body_c4_01_seed-2_sample-1_model.cif
2	seed-2_sample-2	0.64	0.65	6.005000000000001	83.86976689748813	1	0	1	0	4	0	1	1	experiments/e104_c4hit_multiseed/prepared/out_s0/ova_body_c4_01/seed-2_sample-2/ova_body_c4_01_seed-2_sample-2_model.cif
2	seed-2_sample-3	0.64	0.64	6.119999999999999	83.75886008900065	1	0	1	0	4	0	1	1	experiments/e104_c4hit_multiseed/prepared/out_s0/ova_body_c4_01/seed-2_sample-3/ova_body_c4_01_seed-2_sample-3_model.cif
2	seed-2_sample-4	0.66	0.65	5.7	83.87072512769946	1	0	1	0	4	0	1	1	experiments/e104_c4hit_multiseed/prepared/out_s0/ova_body_c4_01/seed-2_sample-4/ova_body_c4_01_seed-2_sample-4_model.cif
3	seed-3_sample-0	0.82	0.79	3.36	87.75183919797907	1	0	1	0	4	0	1	1	experiments/e104_c4hit_multiseed/prepared/out_s1/ova_body_c4_02/seed-3_sample-0/ova_body_c4_02_seed-3_sample-0_model.cif
3	seed-3_sample-1	0.83	0.8	3.3	87.92266829890909	1	0	1	0	4	0	1	1	experiments/e104_c4hit_multiseed/prepared/out_s1/ova_body_c4_02/seed-3_sample-1/ova_body_c4_02_seed-3_sample-1_model.cif
3	seed-3_sample-2	0.82	0.78	3.57	87.39867872524755	1	0	1	0	4	0	1	1	experiments/e104_c4hit_multiseed/prepared/out_s1/ova_body_c4_02/seed-3_sample-2/ova_body_c4_02_seed-3_sample-2_model.cif
