seed	model	iptm	weakest_chain	interface_pae_a	min_ova_plddt	full_connected	has_clash	confidence_pass	observed_ss_bonds	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean	joint_pass	cif_path
1	seed-1_sample-0	0.77	0.73	3.545	89.36598427925703	1	0	1	0	4	0	1	1	experiments/e110_lowmut_c4_af3_screen/out_s7/ova_body_c4_08/seed-1_sample-0/ova_body_c4_08_seed-1_sample-0_model.cif
1	seed-1_sample-1	0.78	0.74	3.44	89.40393789815161	1	0	1	0	4	0	1	1	experiments/e110_lowmut_c4_af3_screen/out_s7/ova_body_c4_08/seed-1_sample-1/ova_body_c4_08_seed-1_sample-1_model.cif
1	seed-1_sample-2	0.78	0.74	3.57	89.53038845161082	1	0	1	0	4	0	1	1	experiments/e110_lowmut_c4_af3_screen/out_s7/ova_body_c4_08/seed-1_sample-2/ova_body_c4_08_seed-1_sample-2_model.cif
1	seed-1_sample-3	0.78	0.73	3.4400000000000004	89.40367883474715	1	0	1	0	4	0	1	1	experiments/e110_lowmut_c4_af3_screen/out_s7/ova_body_c4_08/seed-1_sample-3/ova_body_c4_08_seed-1_sample-3_model.cif
1	seed-1_sample-4	0.79	0.74	3.31	89.05204638545378	1	0	1	0	4	0	1	1	experiments/e110_lowmut_c4_af3_screen/out_s7/ova_body_c4_08/seed-1_sample-4/ova_body_c4_08_seed-1_sample-4_model.cif
2	seed-2_sample-0	0.81	0.77	2.925	88.5472540484809	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s0/ova_lm_c4_08_reseed/seed-2_sample-0/ova_lm_c4_08_reseed_seed-2_sample-0_model.cif
2	seed-2_sample-1	0.8	0.75	3.12	88.81251282766075	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s0/ova_lm_c4_08_reseed/seed-2_sample-1/ova_lm_c4_08_reseed_seed-2_sample-1_model.cif
2	seed-2_sample-2	0.8	0.76	3.065	89.0671241839315	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s0/ova_lm_c4_08_reseed/seed-2_sample-2/ova_lm_c4_08_reseed_seed-2_sample-2_model.cif
2	seed-2_sample-3	0.81	0.77	2.95	89.17085474636889	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s0/ova_lm_c4_08_reseed/seed-2_sample-3/ova_lm_c4_08_reseed_seed-2_sample-3_model.cif
2	seed-2_sample-4	0.81	0.76	3.05	88.50168408013378	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s0/ova_lm_c4_08_reseed/seed-2_sample-4/ova_lm_c4_08_reseed_seed-2_sample-4_model.cif
3	seed-3_sample-0	0.8	0.76	3.22	89.28476682475194	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s1/ova_lm_c4_08_reseed/seed-3_sample-0/ova_lm_c4_08_reseed_seed-3_sample-0_model.cif
3	seed-3_sample-1	0.8	0.76	3.12	89.28126944902647	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s1/ova_lm_c4_08_reseed/seed-3_sample-1/ova_lm_c4_08_reseed_seed-3_sample-1_model.cif
3	seed-3_sample-2	0.8	0.76	3.21	89.22292741963282	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s1/ova_lm_c4_08_reseed/seed-3_sample-2/ova_lm_c4_08_reseed_seed-3_sample-2_model.cif
3	seed-3_sample-3	0.79	0.75	3.335	89.22520730408979	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s1/ova_lm_c4_08_reseed/seed-3_sample-3/ova_lm_c4_08_reseed_seed-3_sample-3_model.cif
3	seed-3_sample-4	0.8	0.75	3.26	89.70953355304935	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s1/ova_lm_c4_08_reseed/seed-3_sample-4/ova_lm_c4_08_reseed_seed-3_sample-4_model.cif
4	seed-4_sample-0	0.79	0.74	3.3	88.79142491434523	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s2/ova_lm_c4_08_reseed/seed-4_sample-0/ova_lm_c4_08_reseed_seed-4_sample-0_model.cif
4	seed-4_sample-1	0.8	0.75	3.24	89.48352312671088	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s2/ova_lm_c4_08_reseed/seed-4_sample-1/ova_lm_c4_08_reseed_seed-4_sample-1_model.cif
4	seed-4_sample-2	0.8	0.75	3.1799999999999997	88.91380810119945	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s2/ova_lm_c4_08_reseed/seed-4_sample-2/ova_lm_c4_08_reseed_seed-4_sample-2_model.cif
4	seed-4_sample-3	0.79	0.74	3.375	89.11310876836431	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s2/ova_lm_c4_08_reseed/seed-4_sample-3/ova_lm_c4_08_reseed_seed-4_sample-3_model.cif
4	seed-4_sample-4	0.8	0.75	3.1550000000000002	88.79088087526628	1	0	1	0	4	0	1	1	experiments/e111_lowmut_c4_08_multiseed/out_s2/ova_lm_c4_08_reseed/seed-4_sample-4/ova_lm_c4_08_reseed_seed-4_sample-4_model.cif
5	seed-5_sample-0	0.33	0.46	16.5	86.57284975793077	1	0	0	0	4	0	1	0	experiments/e111_lowmut_c4_08_multiseed/out_s3/ova_lm_c4_08_reseed/seed-5_sample-0/ova_lm_c4_08_reseed_seed-5_sample-0_model.cif
5	seed-5_sample-1	0.37	0.49	20.325000000000003	86.68746120077341	1	0	0	0	4	0	1	0	experiments/e111_lowmut_c4_08_multiseed/out_s3/ova_lm_c4_08_reseed/seed-5_sample-1/ova_lm_c4_08_reseed_seed-5_sample-1_model.cif
5	seed-5_sample-2	0.34	0.48	16.03	86.92616596123098	1	0	0	0	4	0	1	0	experiments/e111_lowmut_c4_08_multiseed/out_s3/ova_lm_c4_08_reseed/seed-5_sample-2/ova_lm_c4_08_reseed_seed-5_sample-2_model.cif
5	seed-5_sample-3	0.34	0.47	16.105	86.80691697313378	1	0	0	0	4	0	1	0	experiments/e111_lowmut_c4_08_multiseed/out_s3/ova_lm_c4_08_reseed/seed-5_sample-3/ova_lm_c4_08_reseed_seed-5_sample-3_model.cif
5	seed-5_sample-4	0.34	0.46	16.35	86.67365280704794	1	0	0	0	4	0	1	0	experiments/e111_lowmut_c4_08_multiseed/out_s3/ova_lm_c4_08_reseed/seed-5_sample-4/ova_lm_c4_08_reseed_seed-5_sample-4_model.cif
