seed	model	iptm	weakest_chain	interface_pae_a	min_ova_plddt	full_connected	has_clash	confidence_pass	observed_ss_bonds	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean	joint_pass	cif_path
1	seed-1_sample-0	0.66	0.66	6.17	88.61784972551573	1	0	1	0	4	0	1	1	experiments/e110_lowmut_c4_af3_screen/out_s6/ova_body_c4_07/seed-1_sample-0/ova_body_c4_07_seed-1_sample-0_model.cif
1	seed-1_sample-1	0.64	0.64	6.87	88.50979263424256	1	0	1	0	4	0	1	1	experiments/e110_lowmut_c4_af3_screen/out_s6/ova_body_c4_07/seed-1_sample-1/ova_body_c4_07_seed-1_sample-1_model.cif
1	seed-1_sample-2	0.7	0.7	5.6850000000000005	88.88660608795641	1	0	1	0	4	0	1	1	experiments/e110_lowmut_c4_af3_screen/out_s6/ova_body_c4_07/seed-1_sample-2/ova_body_c4_07_seed-1_sample-2_model.cif
1	seed-1_sample-3	0.67	0.67	6.035	88.88121756123755	1	0	1	0	4	0	1	1	experiments/e110_lowmut_c4_af3_screen/out_s6/ova_body_c4_07/seed-1_sample-3/ova_body_c4_07_seed-1_sample-3_model.cif
1	seed-1_sample-4	0.7	0.7	5.635	88.68668390185104	1	0	1	0	4	0	1	1	experiments/e110_lowmut_c4_af3_screen/out_s6/ova_body_c4_07/seed-1_sample-4/ova_body_c4_07_seed-1_sample-4_model.cif
2	seed-2_sample-0	0.77	0.73	3.7199999999999998	89.01165797179227	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s0/ova_lm_c4_07_reseed/seed-2_sample-0/ova_lm_c4_07_reseed_seed-2_sample-0_model.cif
2	seed-2_sample-1	0.8	0.77	3.185	88.7077202376924	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s0/ova_lm_c4_07_reseed/seed-2_sample-1/ova_lm_c4_07_reseed_seed-2_sample-1_model.cif
2	seed-2_sample-2	0.78	0.75	3.71	89.06613986356271	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s0/ova_lm_c4_07_reseed/seed-2_sample-2/ova_lm_c4_07_reseed_seed-2_sample-2_model.cif
2	seed-2_sample-3	0.78	0.74	3.5149999999999997	89.14917092990382	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s0/ova_lm_c4_07_reseed/seed-2_sample-3/ova_lm_c4_07_reseed_seed-2_sample-3_model.cif
2	seed-2_sample-4	0.78	0.75	3.615	88.40585489223658	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s0/ova_lm_c4_07_reseed/seed-2_sample-4/ova_lm_c4_07_reseed_seed-2_sample-4_model.cif
3	seed-3_sample-0	0.75	0.71	4.0649999999999995	88.6700001158245	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s1/ova_lm_c4_07_reseed/seed-3_sample-0/ova_lm_c4_07_reseed_seed-3_sample-0_model.cif
3	seed-3_sample-1	0.74	0.7	4.484999999999999	88.72880868467024	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s1/ova_lm_c4_07_reseed/seed-3_sample-1/ova_lm_c4_07_reseed_seed-3_sample-1_model.cif
3	seed-3_sample-2	0.72	0.69	4.715	89.06170979435579	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s1/ova_lm_c4_07_reseed/seed-3_sample-2/ova_lm_c4_07_reseed_seed-3_sample-2_model.cif
3	seed-3_sample-3	0.74	0.71	4.57	88.74489611294604	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s1/ova_lm_c4_07_reseed/seed-3_sample-3/ova_lm_c4_07_reseed_seed-3_sample-3_model.cif
3	seed-3_sample-4	0.72	0.69	4.8	88.66168386825008	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s1/ova_lm_c4_07_reseed/seed-3_sample-4/ova_lm_c4_07_reseed_seed-3_sample-4_model.cif
4	seed-4_sample-0	0.74	0.71	4.63	89.1628497523965	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s2/ova_lm_c4_07_reseed/seed-4_sample-0/ova_lm_c4_07_reseed_seed-4_sample-0_model.cif
4	seed-4_sample-1	0.79	0.76	3.255	89.42585509305174	1	0	1	0	0	0	0	0	experiments/e112_lowmut_c4_07_multiseed/out_s2/ova_lm_c4_07_reseed/seed-4_sample-1/ova_lm_c4_07_reseed_seed-4_sample-1_model.cif
4	seed-4_sample-2	0.75	0.73	4.19	89.31906717923022	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s2/ova_lm_c4_07_reseed/seed-4_sample-2/ova_lm_c4_07_reseed_seed-4_sample-2_model.cif
4	seed-4_sample-3	0.78	0.75	3.73	89.44715023534903	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s2/ova_lm_c4_07_reseed/seed-4_sample-3/ova_lm_c4_07_reseed_seed-4_sample-3_model.cif
4	seed-4_sample-4	0.76	0.72	4.220000000000001	88.96740934144647	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s2/ova_lm_c4_07_reseed/seed-4_sample-4/ova_lm_c4_07_reseed_seed-4_sample-4_model.cif
5	seed-5_sample-0	0.72	0.69	4.665	88.78108804337101	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s3/ova_lm_c4_07_reseed/seed-5_sample-0/ova_lm_c4_07_reseed_seed-5_sample-0_model.cif
5	seed-5_sample-1	0.75	0.72	4.005	88.73427450348059	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s3/ova_lm_c4_07_reseed/seed-5_sample-1/ova_lm_c4_07_reseed_seed-5_sample-1_model.cif
5	seed-5_sample-2	0.69	0.65	5.15	88.08961143394826	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s3/ova_lm_c4_07_reseed/seed-5_sample-2/ova_lm_c4_07_reseed_seed-5_sample-2_model.cif
5	seed-5_sample-3	0.72	0.69	4.6	88.42088075746527	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s3/ova_lm_c4_07_reseed/seed-5_sample-3/ova_lm_c4_07_reseed_seed-5_sample-3_model.cif
5	seed-5_sample-4	0.71	0.69	4.91	88.2821501894936	1	0	1	0	4	0	1	1	experiments/e112_lowmut_c4_07_multiseed/out_s3/ova_lm_c4_07_reseed/seed-5_sample-4/ova_lm_c4_07_reseed_seed-5_sample-4_model.cif
