source	chain_pair	unique_residue_pairs	unique_interaction_types	atom_level_events	non_vdw_interactions	Hydrophobic	HydrogenBond	SaltBridge	PiStacking	CationPi	VdWContact
OVA-C4-IPTM80-19A_AF3	A-B	10	20	34	10	6	2	2	0	0	10
OVA-C4-IPTM80-19A_AF3	A-C	28	42	79	20	9	3	8	0	0	22
OVA-C4-IPTM80-19A_AF3	A-D	15	17	68	5	3	0	2	0	0	12
OVA-C4-IPTM80-19A_AF3	B-C	17	20	74	6	4	0	2	0	0	14
OVA-C4-IPTM80-19A_AF3	B-D	25	41	78	22	9	5	8	0	0	19
OVA-C4-IPTM80-19A_AF3	C-D	11	21	35	11	7	2	2	0	0	10
OVA-C4-IPTM80-19A_Protenix	A-B	4	6	8	4	3	1	0	0	0	2
OVA-C4-IPTM80-19A_Protenix	A-C	27	41	159	16	12	2	2	0	0	25
OVA-C4-IPTM80-19A_Protenix	A-D	11	12	109	1	1	0	0	0	0	11
OVA-C4-IPTM80-19A_Protenix	B-C	14	16	110	2	2	0	0	0	0	14
OVA-C4-IPTM80-19A_Protenix	B-D	28	41	155	15	11	2	2	0	0	26
OVA-C4-IPTM80-19A_Protenix	C-D	2	2	4	2	2	0	0	0	0	0
OVA-C4-IPTM80-19B_AF3	A-B	14	20	42	9	7	2	0	0	0	11
OVA-C4-IPTM80-19B_AF3	A-C	26	42	82	16	7	5	4	0	0	26
OVA-C4-IPTM80-19B_AF3	A-D	2	4	50	2	1	0	0	1	0	2
OVA-C4-IPTM80-19B_AF3	B-C	3	5	59	3	2	0	0	1	0	2
OVA-C4-IPTM80-19B_AF3	B-D	26	41	79	15	7	4	4	0	0	26
OVA-C4-IPTM80-19B_AF3	C-D	15	21	44	9	7	2	0	0	0	12
OVA-C4-IPTM80-19B_Protenix	A-B	0	0	0	0	0	0	0	0	0	0
OVA-C4-IPTM80-19B_Protenix	A-C	17	21	72	4	4	0	0	0	0	17
OVA-C4-IPTM80-19B_Protenix	A-D	15	20	64	8	6	0	0	2	0	12
OVA-C4-IPTM80-19B_Protenix	B-C	15	19	61	7	5	0	0	2	0	12
OVA-C4-IPTM80-19B_Protenix	B-D	18	22	86	5	4	0	1	0	0	17
OVA-C4-IPTM80-19B_Protenix	C-D	1	1	6	0	0	0	0	0	0	1
OVA-C4-IPTM80-19C_AF3	A-B	12	22	39	10	8	2	0	0	0	12
OVA-C4-IPTM80-19C_AF3	A-C	29	44	104	19	9	6	4	0	0	25
OVA-C4-IPTM80-19C_AF3	A-D	17	24	86	7	3	1	2	1	0	17
OVA-C4-IPTM80-19C_AF3	B-C	16	23	86	7	3	1	2	1	0	16
OVA-C4-IPTM80-19C_AF3	B-D	29	42	96	19	9	6	4	0	0	23
OVA-C4-IPTM80-19C_AF3	C-D	12	22	41	10	8	2	0	0	0	12
