source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-19A_AF3	A-B	Hydrophobic	6	10
OVA-C4-IPTM80-19A_AF3	A-B	HydrogenBond	2	2
OVA-C4-IPTM80-19A_AF3	A-B	SaltBridge	2	2
OVA-C4-IPTM80-19A_AF3	A-B	PiStacking	0	0
OVA-C4-IPTM80-19A_AF3	A-B	CationPi	0	0
OVA-C4-IPTM80-19A_AF3	A-B	VdWContact	10	20
OVA-C4-IPTM80-19A_AF3	A-C	Hydrophobic	9	15
OVA-C4-IPTM80-19A_AF3	A-C	HydrogenBond	3	3
OVA-C4-IPTM80-19A_AF3	A-C	SaltBridge	8	10
OVA-C4-IPTM80-19A_AF3	A-C	PiStacking	0	0
OVA-C4-IPTM80-19A_AF3	A-C	CationPi	0	0
OVA-C4-IPTM80-19A_AF3	A-C	VdWContact	22	51
OVA-C4-IPTM80-19A_AF3	A-D	Hydrophobic	3	20
OVA-C4-IPTM80-19A_AF3	A-D	HydrogenBond	0	0
OVA-C4-IPTM80-19A_AF3	A-D	SaltBridge	2	4
OVA-C4-IPTM80-19A_AF3	A-D	PiStacking	0	0
OVA-C4-IPTM80-19A_AF3	A-D	CationPi	0	0
OVA-C4-IPTM80-19A_AF3	A-D	VdWContact	12	44
OVA-C4-IPTM80-19A_AF3	B-C	Hydrophobic	4	20
OVA-C4-IPTM80-19A_AF3	B-C	HydrogenBond	0	0
OVA-C4-IPTM80-19A_AF3	B-C	SaltBridge	2	4
OVA-C4-IPTM80-19A_AF3	B-C	PiStacking	0	0
OVA-C4-IPTM80-19A_AF3	B-C	CationPi	0	0
OVA-C4-IPTM80-19A_AF3	B-C	VdWContact	14	50
OVA-C4-IPTM80-19A_AF3	B-D	Hydrophobic	9	15
OVA-C4-IPTM80-19A_AF3	B-D	HydrogenBond	5	5
OVA-C4-IPTM80-19A_AF3	B-D	SaltBridge	8	10
OVA-C4-IPTM80-19A_AF3	B-D	PiStacking	0	0
OVA-C4-IPTM80-19A_AF3	B-D	CationPi	0	0
OVA-C4-IPTM80-19A_AF3	B-D	VdWContact	19	48
OVA-C4-IPTM80-19A_AF3	C-D	Hydrophobic	7	11
OVA-C4-IPTM80-19A_AF3	C-D	HydrogenBond	2	2
OVA-C4-IPTM80-19A_AF3	C-D	SaltBridge	2	2
OVA-C4-IPTM80-19A_AF3	C-D	PiStacking	0	0
OVA-C4-IPTM80-19A_AF3	C-D	CationPi	0	0
OVA-C4-IPTM80-19A_AF3	C-D	VdWContact	10	20
OVA-C4-IPTM80-19A_Protenix	A-B	Hydrophobic	3	5
OVA-C4-IPTM80-19A_Protenix	A-B	HydrogenBond	1	1
OVA-C4-IPTM80-19A_Protenix	A-B	SaltBridge	0	0
OVA-C4-IPTM80-19A_Protenix	A-B	PiStacking	0	0
OVA-C4-IPTM80-19A_Protenix	A-B	CationPi	0	0
OVA-C4-IPTM80-19A_Protenix	A-B	VdWContact	2	2
OVA-C4-IPTM80-19A_Protenix	A-C	Hydrophobic	12	30
OVA-C4-IPTM80-19A_Protenix	A-C	HydrogenBond	2	2
OVA-C4-IPTM80-19A_Protenix	A-C	SaltBridge	2	4
OVA-C4-IPTM80-19A_Protenix	A-C	PiStacking	0	0
OVA-C4-IPTM80-19A_Protenix	A-C	CationPi	0	0
OVA-C4-IPTM80-19A_Protenix	A-C	VdWContact	25	123
OVA-C4-IPTM80-19A_Protenix	A-D	Hydrophobic	1	25
OVA-C4-IPTM80-19A_Protenix	A-D	HydrogenBond	0	0
OVA-C4-IPTM80-19A_Protenix	A-D	SaltBridge	0	0
OVA-C4-IPTM80-19A_Protenix	A-D	PiStacking	0	0
OVA-C4-IPTM80-19A_Protenix	A-D	CationPi	0	0
OVA-C4-IPTM80-19A_Protenix	A-D	VdWContact	11	84
OVA-C4-IPTM80-19A_Protenix	B-C	Hydrophobic	2	26
OVA-C4-IPTM80-19A_Protenix	B-C	HydrogenBond	0	0
OVA-C4-IPTM80-19A_Protenix	B-C	SaltBridge	0	0
OVA-C4-IPTM80-19A_Protenix	B-C	PiStacking	0	0
OVA-C4-IPTM80-19A_Protenix	B-C	CationPi	0	0
OVA-C4-IPTM80-19A_Protenix	B-C	VdWContact	14	84
OVA-C4-IPTM80-19A_Protenix	B-D	Hydrophobic	11	29
OVA-C4-IPTM80-19A_Protenix	B-D	HydrogenBond	2	3
OVA-C4-IPTM80-19A_Protenix	B-D	SaltBridge	2	4
OVA-C4-IPTM80-19A_Protenix	B-D	PiStacking	0	0
OVA-C4-IPTM80-19A_Protenix	B-D	CationPi	0	0
OVA-C4-IPTM80-19A_Protenix	B-D	VdWContact	26	119
OVA-C4-IPTM80-19A_Protenix	C-D	Hydrophobic	2	4
OVA-C4-IPTM80-19A_Protenix	C-D	HydrogenBond	0	0
OVA-C4-IPTM80-19A_Protenix	C-D	SaltBridge	0	0
OVA-C4-IPTM80-19A_Protenix	C-D	PiStacking	0	0
OVA-C4-IPTM80-19A_Protenix	C-D	CationPi	0	0
OVA-C4-IPTM80-19A_Protenix	C-D	VdWContact	0	0
OVA-C4-IPTM80-19B_AF3	A-B	Hydrophobic	7	18
OVA-C4-IPTM80-19B_AF3	A-B	HydrogenBond	2	2
OVA-C4-IPTM80-19B_AF3	A-B	SaltBridge	0	0
