rank	cv_spearman	gamma	ridge
1	0.5338270425226946	0.08	0.03
2	0.5230132186653926	0.08	0.3
3	0.5226628444019749	0.08	0.01
4	0.519684663162924	0.08	0.1
5	0.5147794234750757	0.12	0.1
6	0.5084567606306737	0.12	0.03
7	0.5072463768115942	0.12	0.01
8	0.5033604077082339	0.12	0.3
9	0.4963688485427616	0.18	0.1
10	0.49276954929128847	0.18	0.03
11	0.4852683548335722	0.18	0.01
12	0.4847905717470935	0.18	0.3
13	0.4824972129319956	0.26	0.1
14	0.4815416467590381	0.26	0.03
15	0.47878643096034407	0.26	0.01
16	0.4782130912565695	0.26	0.3
17	0.4692626214365345	0.38	0.1
18	0.46736741519350217	0.38	0.03
19	0.4670011148272018	0.38	0.01
20	0.459356585443542	0.38	0.3
