rank	cv_spearman	gamma	ridge
1	0.6689396973154311	0.12	0.3
2	0.6663745098187368	0.26	0.3
3	0.6652713658584499	0.08	0.3
4	0.6651504733696514	0.18	0.3
5	0.6594760821766693	0.12	0.1
6	0.6563404332484567	0.18	0.1
7	0.6559664221112362	0.08	0.1
8	0.6547348298816009	0.26	0.1
9	0.6486902054416732	0.38	0.3
10	0.6453316609872384	0.38	0.1
11	0.6436429440343335	0.26	0.03
12	0.6428155860641184	0.18	0.03
13	0.635739597579128	0.38	0.03
14	0.6353542527710825	0.12	0.03
15	0.6313081322866059	0.38	0.01
16	0.6302805461318182	0.26	0.01
17	0.6292416263062056	0.08	0.03
18	0.622932549547031	0.18	0.01
19	0.6158678947328654	0.12	0.01
20	0.6025734988552993	0.08	0.01
