source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-20A_AF3	A-B	Hydrophobic	2	27
OVA-C4-IPTM80-20A_AF3	A-B	HydrogenBond	0	0
OVA-C4-IPTM80-20A_AF3	A-B	SaltBridge	0	0
OVA-C4-IPTM80-20A_AF3	A-B	PiStacking	1	1
OVA-C4-IPTM80-20A_AF3	A-B	CationPi	0	0
OVA-C4-IPTM80-20A_AF3	A-B	VdWContact	11	45
OVA-C4-IPTM80-20A_AF3	A-C	Hydrophobic	7	13
OVA-C4-IPTM80-20A_AF3	A-C	HydrogenBond	6	6
OVA-C4-IPTM80-20A_AF3	A-C	SaltBridge	2	4
OVA-C4-IPTM80-20A_AF3	A-C	PiStacking	0	0
OVA-C4-IPTM80-20A_AF3	A-C	CationPi	0	0
OVA-C4-IPTM80-20A_AF3	A-C	VdWContact	28	82
OVA-C4-IPTM80-20A_AF3	A-D	Hydrophobic	8	10
OVA-C4-IPTM80-20A_AF3	A-D	HydrogenBond	2	2
OVA-C4-IPTM80-20A_AF3	A-D	SaltBridge	0	0
OVA-C4-IPTM80-20A_AF3	A-D	PiStacking	0	0
OVA-C4-IPTM80-20A_AF3	A-D	CationPi	0	0
OVA-C4-IPTM80-20A_AF3	A-D	VdWContact	6	13
OVA-C4-IPTM80-20A_AF3	B-C	Hydrophobic	8	10
OVA-C4-IPTM80-20A_AF3	B-C	HydrogenBond	2	2
OVA-C4-IPTM80-20A_AF3	B-C	SaltBridge	0	0
OVA-C4-IPTM80-20A_AF3	B-C	PiStacking	0	0
OVA-C4-IPTM80-20A_AF3	B-C	CationPi	0	0
OVA-C4-IPTM80-20A_AF3	B-C	VdWContact	8	12
OVA-C4-IPTM80-20A_AF3	B-D	Hydrophobic	7	12
OVA-C4-IPTM80-20A_AF3	B-D	HydrogenBond	6	6
OVA-C4-IPTM80-20A_AF3	B-D	SaltBridge	2	4
OVA-C4-IPTM80-20A_AF3	B-D	PiStacking	0	0
OVA-C4-IPTM80-20A_AF3	B-D	CationPi	0	0
OVA-C4-IPTM80-20A_AF3	B-D	VdWContact	26	83
OVA-C4-IPTM80-20A_AF3	C-D	Hydrophobic	2	27
OVA-C4-IPTM80-20A_AF3	C-D	HydrogenBond	0	0
OVA-C4-IPTM80-20A_AF3	C-D	SaltBridge	0	0
OVA-C4-IPTM80-20A_AF3	C-D	PiStacking	1	1
OVA-C4-IPTM80-20A_AF3	C-D	CationPi	0	0
OVA-C4-IPTM80-20A_AF3	C-D	VdWContact	14	48
OVA-C4-IPTM80-20A_Protenix31	A-B	Hydrophobic	8	18
OVA-C4-IPTM80-20A_Protenix31	A-B	HydrogenBond	2	2
OVA-C4-IPTM80-20A_Protenix31	A-B	SaltBridge	0	0
OVA-C4-IPTM80-20A_Protenix31	A-B	PiStacking	0	0
OVA-C4-IPTM80-20A_Protenix31	A-B	CationPi	0	0
OVA-C4-IPTM80-20A_Protenix31	A-B	VdWContact	10	69
OVA-C4-IPTM80-20A_Protenix31	A-C	Hydrophobic	4	71
OVA-C4-IPTM80-20A_Protenix31	A-C	HydrogenBond	0	0
OVA-C4-IPTM80-20A_Protenix31	A-C	SaltBridge	0	0
OVA-C4-IPTM80-20A_Protenix31	A-C	PiStacking	2	2
OVA-C4-IPTM80-20A_Protenix31	A-C	CationPi	0	0
OVA-C4-IPTM80-20A_Protenix31	A-C	VdWContact	9	61
OVA-C4-IPTM80-20A_Protenix31	A-D	Hydrophobic	6	14
OVA-C4-IPTM80-20A_Protenix31	A-D	HydrogenBond	4	4
OVA-C4-IPTM80-20A_Protenix31	A-D	SaltBridge	2	4
OVA-C4-IPTM80-20A_Protenix31	A-D	PiStacking	0	0
OVA-C4-IPTM80-20A_Protenix31	A-D	CationPi	0	0
OVA-C4-IPTM80-20A_Protenix31	A-D	VdWContact	12	41
OVA-C4-IPTM80-20A_Protenix31	B-C	Hydrophobic	12	24
OVA-C4-IPTM80-20A_Protenix31	B-C	HydrogenBond	4	4
OVA-C4-IPTM80-20A_Protenix31	B-C	SaltBridge	2	4
OVA-C4-IPTM80-20A_Protenix31	B-C	PiStacking	0	0
OVA-C4-IPTM80-20A_Protenix31	B-C	CationPi	0	0
OVA-C4-IPTM80-20A_Protenix31	B-C	VdWContact	20	60
OVA-C4-IPTM80-20A_Protenix31	B-D	Hydrophobic	4	64
OVA-C4-IPTM80-20A_Protenix31	B-D	HydrogenBond	0	0
OVA-C4-IPTM80-20A_Protenix31	B-D	SaltBridge	0	0
OVA-C4-IPTM80-20A_Protenix31	B-D	PiStacking	2	2
OVA-C4-IPTM80-20A_Protenix31	B-D	CationPi	0	0
OVA-C4-IPTM80-20A_Protenix31	B-D	VdWContact	8	54
OVA-C4-IPTM80-20A_Protenix31	C-D	Hydrophobic	8	20
OVA-C4-IPTM80-20A_Protenix31	C-D	HydrogenBond	2	2
OVA-C4-IPTM80-20A_Protenix31	C-D	SaltBridge	0	0
OVA-C4-IPTM80-20A_Protenix31	C-D	PiStacking	1	1
OVA-C4-IPTM80-20A_Protenix31	C-D	CationPi	0	0
OVA-C4-IPTM80-20A_Protenix31	C-D	VdWContact	10	77
