submitted_utc	shard	name	job_id	queue_id	mode	status	response
2026-08-31T09:44:06.059053+00:00	0	ky-20260831-321	t-20260831174403-x6d28	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608311744035AC11F61412E7276FD60"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831174403-x6d28""     } }"
2026-08-31T09:44:09.565964+00:00	1	ky-20260831-322	t-20260831174407-t6xb9	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608311744060B5022AC65601DC774E2"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831174407-t6xb9""     } }"
2026-08-31T09:44:13.619872+00:00	2	ky-20260831-323	t-20260831174411-zxr99	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831174410C67C9E5B4EB27667F24A"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831174411-zxr99""     } }"
2026-08-31T09:44:17.518197+00:00	3	ky-20260831-324	t-20260831174415-rs8gq	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608311744146E20583AA104702C0856"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831174415-rs8gq""     } }"
2026-08-31T09:44:21.320318+00:00	4	ky-20260831-325	t-20260831174419-66jqz	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831174418BF19029C63589831D304"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831174419-66jqz""     } }"
2026-08-31T09:44:24.912165+00:00	5	ky-20260831-326	t-20260831174422-xdrh9	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831174422CCF2845856E6F40E4AF7"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831174422-xdrh9""     } }"
2026-08-31T09:44:28.408618+00:00	6	ky-20260831-327	t-20260831174426-2fvxl	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""2026083117442591962560DCDF72738EBA"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831174426-2fvxl""     } }"
2026-08-31T09:44:32.678134+00:00	7	ky-20260831-328	t-20260831174430-m7pn7	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""202608311744290B682095090CD2851314"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831174430-m7pn7""     } }"
2026-08-31T09:45:01.109212+00:00	0	ky-20260831-321	t-20260831174458-jwwzm	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831174458B9F74E6E1E60E8860BC3"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831174458-jwwzm""     } }"
2026-08-31T09:45:04.763494+00:00	1	ky-20260831-322	t-20260831174502-46dbs	q-20251224105744-qhrgl	submit	ok	"{     ""ResponseMetadata"": {         ""Action"": ""CreateJob"",         ""Region"": ""cn-beijing"",         ""RequestId"": ""20260831174501013DB8D3D7D8B1A23928"",         ""Service"": ""ml_platform"",         ""Version"": ""2024-07-01""     },     ""Result"": {         ""Id"": ""t-20260831174502-46dbs""     } }"
