system	model	n_chains	iptm	ptm	min_ova_plddt	min_module_plddt	min_binder_plddt	ranking_score	has_clash	contact_edges	largest_component	full_connected	module_full_connected	total_contacts	ova_contacts	module_contacts	min_incident_iptm	contact_pair_iptm_median	contact_pair_pae_median	contacts_json	interface_residues_json	summary_path	cif_path
ova_c4_iptm80_20a_c1	seed-1_sample-0	1	0.0	0.92	91.20398982942413	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-1_sample-0/ova_c4_iptm80_20a_c1_seed-1_sample-0_summary_confidences.json	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-1_sample-0/ova_c4_iptm80_20a_c1_seed-1_sample-0_model.cif
ova_c4_iptm80_20a_c1	seed-1_sample-1	1	0.0	0.92	90.63562180711816	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-1_sample-1/ova_c4_iptm80_20a_c1_seed-1_sample-1_summary_confidences.json	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-1_sample-1/ova_c4_iptm80_20a_c1_seed-1_sample-1_model.cif
ova_c4_iptm80_20a_c1	seed-1_sample-2	1	0.0	0.92	90.93155438912348	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-1_sample-2/ova_c4_iptm80_20a_c1_seed-1_sample-2_summary_confidences.json	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-1_sample-2/ova_c4_iptm80_20a_c1_seed-1_sample-2_model.cif
ova_c4_iptm80_20a_c1	seed-1_sample-3	1	0.0	0.92	91.10751324984693	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-1_sample-3/ova_c4_iptm80_20a_c1_seed-1_sample-3_summary_confidences.json	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-1_sample-3/ova_c4_iptm80_20a_c1_seed-1_sample-3_model.cif
ova_c4_iptm80_20a_c1	seed-1_sample-4	1	0.0	0.92	91.0684456306418	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-1_sample-4/ova_c4_iptm80_20a_c1_seed-1_sample-4_summary_confidences.json	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-1_sample-4/ova_c4_iptm80_20a_c1_seed-1_sample-4_model.cif
ova_c4_iptm80_20a_c1	seed-2_sample-0	1	0.0	0.92	91.00841971876707	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-2_sample-0/ova_c4_iptm80_20a_c1_seed-2_sample-0_summary_confidences.json	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-2_sample-0/ova_c4_iptm80_20a_c1_seed-2_sample-0_model.cif
ova_c4_iptm80_20a_c1	seed-2_sample-1	1	0.0	0.93	91.59329024991841	nan	nan	0.93	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-2_sample-1/ova_c4_iptm80_20a_c1_seed-2_sample-1_summary_confidences.json	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-2_sample-1/ova_c4_iptm80_20a_c1_seed-2_sample-1_model.cif
ova_c4_iptm80_20a_c1	seed-2_sample-2	1	0.0	0.92	90.98816053360855	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-2_sample-2/ova_c4_iptm80_20a_c1_seed-2_sample-2_summary_confidences.json	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-2_sample-2/ova_c4_iptm80_20a_c1_seed-2_sample-2_model.cif
ova_c4_iptm80_20a_c1	seed-2_sample-3	1	0.0	0.92	91.33797918329584	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-2_sample-3/ova_c4_iptm80_20a_c1_seed-2_sample-3_summary_confidences.json	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-2_sample-3/ova_c4_iptm80_20a_c1_seed-2_sample-3_model.cif
ova_c4_iptm80_20a_c1	seed-2_sample-4	1	0.0	0.92	91.25616588493703	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-2_sample-4/ova_c4_iptm80_20a_c1_seed-2_sample-4_summary_confidences.json	experiments/e149_final20_stoichiometry_v1/out_s0/ova_c4_iptm80_20a_c1/seed-2_sample-4/ova_c4_iptm80_20a_c1_seed-2_sample-4_model.cif
