system	model	n_chains	iptm	ptm	min_ova_plddt	min_module_plddt	min_binder_plddt	ranking_score	has_clash	contact_edges	largest_component	full_connected	module_full_connected	total_contacts	ova_contacts	module_contacts	min_incident_iptm	contact_pair_iptm_median	contact_pair_pae_median	contacts_json	interface_residues_json	summary_path	cif_path
bindcraft_patch1_binder_n4	seed-1_sample-0	4	0.35	0.48	nan	81.43585771833148	81.43585771833148	0.38	0.0	4	4	1	1	76	0	76	0.29	0.29	8.315	"{""A-B"": 18, ""A-C"": 19, ""A-D"": 1, ""B-C"": 1, ""B-D"": 18, ""C-D"": 19}"	[5, 8, 39, 40, 41, 42, 44, 45, 46, 48, 49, 51, 52, 55, 56, 67]	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-1_sample-0/bindcraft_patch1_binder_n4_seed-1_sample-0_summary_confidences.json	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-1_sample-0/bindcraft_patch1_binder_n4_seed-1_sample-0_model.cif
bindcraft_patch1_binder_n4	seed-1_sample-1	4	0.31	0.45	nan	80.7724284035819	80.7724284035819	0.33	0.0	4	4	1	1	92	0	92	0.25	0.25	8.315000000000001	"{""A-B"": 22, ""A-C"": 1, ""A-D"": 22, ""B-C"": 23, ""B-D"": 1, ""C-D"": 23}"	[5, 9, 12, 16, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 51, 52, 55, 56, 60, 63, 67, 70]	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-1_sample-1/bindcraft_patch1_binder_n4_seed-1_sample-1_summary_confidences.json	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-1_sample-1/bindcraft_patch1_binder_n4_seed-1_sample-1_model.cif
bindcraft_patch1_binder_n4	seed-1_sample-2	4	0.26	0.42	nan	80.00028561183385	80.00028561183385	0.3	0.0	4	4	1	1	105	0	105	0.21	0.21	9.3	"{""A-B"": 25, ""A-C"": 1, ""A-D"": 26, ""B-C"": 25, ""B-D"": 1, ""C-D"": 27}"	[5, 8, 9, 12, 16, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 51, 52, 55, 56, 60, 63, 67, 70]	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-1_sample-2/bindcraft_patch1_binder_n4_seed-1_sample-2_summary_confidences.json	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-1_sample-2/bindcraft_patch1_binder_n4_seed-1_sample-2_model.cif
bindcraft_patch1_binder_n4	seed-1_sample-3	4	0.39	0.51	nan	81.99514236450196	81.99514236450196	0.41	0.0	4	4	1	1	82	0	82	0.32	0.325	7.645	"{""A-B"": 21, ""A-C"": 20, ""A-D"": 1, ""B-C"": 1, ""B-D"": 20, ""C-D"": 19}"	[1, 5, 8, 12, 39, 40, 41, 42, 44, 45, 46, 48, 49, 51, 52, 55, 56, 64, 67, 68]	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-1_sample-3/bindcraft_patch1_binder_n4_seed-1_sample-3_summary_confidences.json	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-1_sample-3/bindcraft_patch1_binder_n4_seed-1_sample-3_model.cif
bindcraft_patch1_binder_n4	seed-1_sample-4	4	0.28	0.44	nan	80.53457129342216	80.53457129342216	0.31	0.0	4	4	1	1	80	0	80	0.22	0.225	9.115	"{""A-B"": 22, ""A-C"": 1, ""A-D"": 18, ""B-C"": 20, ""B-D"": 1, ""C-D"": 18}"	[5, 9, 12, 16, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 52, 55, 56, 60, 63, 67, 70]	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-1_sample-4/bindcraft_patch1_binder_n4_seed-1_sample-4_summary_confidences.json	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-1_sample-4/bindcraft_patch1_binder_n4_seed-1_sample-4_model.cif
bindcraft_patch1_binder_n4	seed-2_sample-0	4	0.33	0.47	nan	81.91028605869838	81.91028605869838	0.36	0.0	4	4	1	1	58	0	58	0.27	0.27	8.105	"{""A-B"": 14, ""A-C"": 1, ""A-D"": 14, ""B-C"": 14, ""B-D"": 1, ""C-D"": 14}"	[39, 40, 41, 42, 44, 45, 46, 48, 49, 55, 56]	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-2_sample-0/bindcraft_patch1_binder_n4_seed-2_sample-0_summary_confidences.json	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-2_sample-0/bindcraft_patch1_binder_n4_seed-2_sample-0_model.cif
bindcraft_patch1_binder_n4	seed-2_sample-1	4	0.38	0.51	nan	82.18985715593611	82.18985715593611	0.41	0.0	4	4	1	1	86	0	86	0.32	0.32	7.645	"{""A-B"": 22, ""A-C"": 1, ""A-D"": 21, ""B-C"": 20, ""B-D"": 1, ""C-D"": 21}"	[5, 8, 12, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 51, 52, 55, 56, 64, 67, 68]	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-2_sample-1/bindcraft_patch1_binder_n4_seed-2_sample-1_summary_confidences.json	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-2_sample-1/bindcraft_patch1_binder_n4_seed-2_sample-1_model.cif
bindcraft_patch1_binder_n4	seed-2_sample-2	4	0.31	0.46	nan	81.56500020708357	81.56500020708357	0.34	0.0	4	4	1	1	66	0	66	0.25	0.255	8.465	"{""A-B"": 16, ""A-C"": 1, ""A-D"": 15, ""B-C"": 17, ""B-D"": 1, ""C-D"": 16}"	[5, 39, 40, 41, 42, 44, 45, 46, 48, 49, 51, 52, 55, 56, 67]	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-2_sample-2/bindcraft_patch1_binder_n4_seed-2_sample-2_summary_confidences.json	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-2_sample-2/bindcraft_patch1_binder_n4_seed-2_sample-2_model.cif
bindcraft_patch1_binder_n4	seed-2_sample-3	4	0.34	0.48	nan	81.37542877197265	81.37542877197265	0.37	0.0	4	4	1	1	83	0	83	0.28	0.28500000000000003	8.505	"{""A-B"": 22, ""A-C"": 20, ""A-D"": 1, ""B-C"": 1, ""B-D"": 20, ""C-D"": 19}"	[5, 8, 9, 12, 16, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 51, 52, 55, 56, 60, 64, 67]	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-2_sample-3/bindcraft_patch1_binder_n4_seed-2_sample-3_summary_confidences.json	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-2_sample-3/bindcraft_patch1_binder_n4_seed-2_sample-3_model.cif
bindcraft_patch1_binder_n4	seed-2_sample-4	4	0.41	0.53	nan	81.44871439252582	81.44871439252582	0.44	0.0	4	4	1	1	74	0	74	0.35	0.355	7.18	"{""A-B"": 17, ""A-C"": 1, ""A-D"": 17, ""B-C"": 20, ""B-D"": 1, ""C-D"": 18}"	[1, 5, 8, 12, 39, 41, 42, 44, 45, 46, 48, 49, 51, 52, 55, 56, 64, 67, 68]	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-2_sample-4/bindcraft_patch1_binder_n4_seed-2_sample-4_summary_confidences.json	experiments/e14_bindcraft_binder_stoichiometry/out_s2/bindcraft_patch1_binder_n4/seed-2_sample-4/bindcraft_patch1_binder_n4_seed-2_sample-4_model.cif
