candidate	model_a	model_b	best_chain_permutation_contact_jaccard
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-1_sample-1	0.9058823529411765
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-1_sample-2	0.8918918918918919
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-1_sample-3	0.8897338403041825
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-1_sample-4	0.8415094339622642
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-2_sample-0	0.8984375
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-2_sample-1	0.8651685393258427
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-2_sample-2	0.8884615384615384
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-2_sample-3	0.8659003831417624
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-2_sample-4	0.8461538461538461
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-3_sample-0	0.861003861003861
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-3_sample-1	0.9007936507936508
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-3_sample-2	0.8045112781954887
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-3_sample-3	0.8798449612403101
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-3_sample-4	0.90234375
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-4_sample-0	0.8984375
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-4_sample-1	0.888030888030888
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-4_sample-2	0.8363636363636363
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-4_sample-3	0.7747440273037542
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-4_sample-4	0.8432835820895522
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-5_sample-0	0.8932806324110671
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-5_sample-1	0.9087301587301587
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-5_sample-2	0.8928571428571429
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-5_sample-3	0.8432835820895522
OVA-C4-IPTM80-20A	seed-1_sample-0	seed-5_sample-4	0.8438661710037175
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-1_sample-2	0.9384615384615385
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-1_sample-3	0.9210526315789473
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-1_sample-4	0.8731343283582089
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-2_sample-0	0.937984496124031
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-2_sample-1	0.8823529411764706
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-2_sample-2	0.9348659003831418
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-2_sample-3	0.9195402298850575
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-2_sample-4	0.8700361010830325
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-3_sample-0	0.9076923076923077
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-3_sample-1	0.9108527131782945
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-3_sample-2	0.8029197080291971
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-3_sample-3	0.8973384030418251
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-3_sample-4	0.8834586466165414
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-4_sample-0	0.937984496124031
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-4_sample-1	0.9198473282442748
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-4_sample-2	0.8210526315789474
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-4_sample-3	0.8413793103448276
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-4_sample-4	0.9097744360902256
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-5_sample-0	0.8816793893129771
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-5_sample-1	0.9038461538461539
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-5_sample-2	0.8957528957528957
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-5_sample-3	0.8884758364312267
OVA-C4-IPTM80-20A	seed-1_sample-1	seed-5_sample-4	0.9029850746268657
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-1_sample-3	0.9074074074074074
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-1_sample-4	0.8602941176470589
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-2_sample-0	0.984251968503937
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-2_sample-1	0.8970588235294118
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-2_sample-2	0.935361216730038
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-2_sample-3	0.9201520912547528
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-2_sample-4	0.8776978417266187
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-3_sample-0	0.9083969465648855
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-3_sample-1	0.9490196078431372
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-3_sample-2	0.8043478260869565
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-3_sample-3	0.9571984435797666
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-3_sample-4	0.9274809160305344
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-4_sample-0	0.984251968503937
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-4_sample-1	0.9351145038167938
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-4_sample-2	0.8350877192982457
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-4_sample-3	0.8424657534246576
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-4_sample-4	0.8823529411764706
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-5_sample-0	0.918918918918919
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-5_sample-1	0.9045801526717557
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-5_sample-2	0.9488188976377953
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-5_sample-3	0.9176029962546817
OVA-C4-IPTM80-20A	seed-1_sample-2	seed-5_sample-4	0.917910447761194
OVA-C4-IPTM80-20A	seed-1_sample-3	seed-1_sample-4	0.8586956521739131
OVA-C4-IPTM80-20A	seed-1_sample-3	seed-2_sample-0	0.9210526315789473
OVA-C4-IPTM80-20A	seed-1_sample-3	seed-2_sample-1	0.8678571428571429
OVA-C4-IPTM80-20A	seed-1_sample-3	seed-2_sample-2	0.9325842696629213
OVA-C4-IPTM80-20A	seed-1_sample-3	seed-2_sample-3	0.8892988929889298
OVA-C4-IPTM80-20A	seed-1_sample-3	seed-2_sample-4	0.8432055749128919
OVA-C4-IPTM80-20A	seed-1_sample-3	seed-3_sample-0	0.898876404494382
OVA-C4-IPTM80-20A	seed-1_sample-3	seed-3_sample-1	0.8736059479553904
