source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-20A__AF3	A-B	Hydrophobic	2	27
OVA-C4-IPTM80-20A__AF3	A-B	HydrogenBond	0	0
OVA-C4-IPTM80-20A__AF3	A-B	SaltBridge	0	0
OVA-C4-IPTM80-20A__AF3	A-B	PiStacking	1	1
OVA-C4-IPTM80-20A__AF3	A-B	CationPi	0	0
OVA-C4-IPTM80-20A__AF3	A-B	VdWContact	11	45
OVA-C4-IPTM80-20A__AF3	A-C	Hydrophobic	7	13
OVA-C4-IPTM80-20A__AF3	A-C	HydrogenBond	6	6
OVA-C4-IPTM80-20A__AF3	A-C	SaltBridge	2	4
OVA-C4-IPTM80-20A__AF3	A-C	PiStacking	0	0
OVA-C4-IPTM80-20A__AF3	A-C	CationPi	0	0
OVA-C4-IPTM80-20A__AF3	A-C	VdWContact	28	82
OVA-C4-IPTM80-20A__AF3	A-D	Hydrophobic	8	10
OVA-C4-IPTM80-20A__AF3	A-D	HydrogenBond	2	2
OVA-C4-IPTM80-20A__AF3	A-D	SaltBridge	0	0
OVA-C4-IPTM80-20A__AF3	A-D	PiStacking	0	0
OVA-C4-IPTM80-20A__AF3	A-D	CationPi	0	0
OVA-C4-IPTM80-20A__AF3	A-D	VdWContact	6	13
OVA-C4-IPTM80-20A__AF3	B-C	Hydrophobic	8	10
OVA-C4-IPTM80-20A__AF3	B-C	HydrogenBond	2	2
OVA-C4-IPTM80-20A__AF3	B-C	SaltBridge	0	0
OVA-C4-IPTM80-20A__AF3	B-C	PiStacking	0	0
OVA-C4-IPTM80-20A__AF3	B-C	CationPi	0	0
OVA-C4-IPTM80-20A__AF3	B-C	VdWContact	8	12
OVA-C4-IPTM80-20A__AF3	B-D	Hydrophobic	7	12
OVA-C4-IPTM80-20A__AF3	B-D	HydrogenBond	6	6
OVA-C4-IPTM80-20A__AF3	B-D	SaltBridge	2	4
OVA-C4-IPTM80-20A__AF3	B-D	PiStacking	0	0
OVA-C4-IPTM80-20A__AF3	B-D	CationPi	0	0
OVA-C4-IPTM80-20A__AF3	B-D	VdWContact	26	83
OVA-C4-IPTM80-20A__AF3	C-D	Hydrophobic	2	27
OVA-C4-IPTM80-20A__AF3	C-D	HydrogenBond	0	0
OVA-C4-IPTM80-20A__AF3	C-D	SaltBridge	0	0
OVA-C4-IPTM80-20A__AF3	C-D	PiStacking	1	1
OVA-C4-IPTM80-20A__AF3	C-D	CationPi	0	0
OVA-C4-IPTM80-20A__AF3	C-D	VdWContact	14	48
OVA-C4-IPTM80-20A__Protenix	A-B	Hydrophobic	8	22
OVA-C4-IPTM80-20A__Protenix	A-B	HydrogenBond	2	2
OVA-C4-IPTM80-20A__Protenix	A-B	SaltBridge	0	0
OVA-C4-IPTM80-20A__Protenix	A-B	PiStacking	1	1
OVA-C4-IPTM80-20A__Protenix	A-B	CationPi	0	0
OVA-C4-IPTM80-20A__Protenix	A-B	VdWContact	8	49
OVA-C4-IPTM80-20A__Protenix	A-C	Hydrophobic	2	33
OVA-C4-IPTM80-20A__Protenix	A-C	HydrogenBond	0	0
