system	model	iptm	ptm	atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path
ova_body_c4_01	seed-1_sample-0	0.84	0.87	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	2,6	0	203	44	11	0.6875	99,191,271,276,278,342,345,346,348,350,354	4	0	90.3799352522341	90.3583421064782	1.592854776286053	1.6050777876979618	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
ova_body_c4_01	seed-1_sample-1	0.85	0.87	4	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	5,2,7	1	255	53	12	0.75	99,191,271,276,278,342,345,346,347,348,350,354	4	0	90.13643775455692	90.12520721909914	1.667963145517307	1.6838715657233796	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
ova_body_c4_01	seed-1_sample-2	0.85	0.88	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	7,2,6	1	241	51	13	0.8125	99,191,271,276,278,342,345,346,347,348,349,350,354	4	0	89.70332890841627	89.66891161271327	1.2120450497564557	1.2181414372726653	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
ova_body_c4_01	seed-1_sample-3	0.84	0.87	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	1,6	0	190	41	10	0.625	99,191,271,278,342,345,346,348,350,354	4	0	90.36826423536311	90.35062170275752	1.6020727152942618	1.6096709136363576	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
ova_body_c4_01	seed-1_sample-4	0.84	0.87	2	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	5,2,7	1	268	51	12	0.75	99,191,271,276,278,342,345,346,347,348,350,354	4	0	90.26294691698538	90.23753870830635	1.6817650497207794	1.6851135889330597	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_09	seed-1_sample-0	0.27	0.44	10	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	14,4	1	409	82	16	0.8888888888888888	89,93,96,186,191,219,237,271,278,285,341,345,346,347,349,350	4	0	84.19502581710024	84.06660613618367	1.5593770577166883	1.566675703164354	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-0/ova_body_c4_09_seed-1_sample-0_model.cif
ova_body_c4_09	seed-1_sample-1	0.26	0.43	14	0	2	A-B,C-D	2	1	0	1	2	A-B,C-D	14	0	389	77	16	0.8888888888888888	89,93,96,186,191,219,237,271,278,285,341,345,346,347,349,350	4	0	84.08911918482015	83.91515549971032	1.5616709750308375	1.5689248458541045	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-1/ova_body_c4_09_seed-1_sample-1_model.cif
ova_body_c4_09	seed-1_sample-2	0.3	0.46	17	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	15,5,3	1	464	90	16	0.8888888888888888	89,93,96,186,191,219,237,271,278,341,342,345,346,347,349,350	4	0	84.21987049567267	84.06531099704881	1.5550726752972373	1.5628838879435951	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-2/ova_body_c4_09_seed-1_sample-2_model.cif
ova_body_c4_09	seed-1_sample-3	0.3	0.46	29	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	15,4,2	1	449	88	16	0.8888888888888888	89,93,96,186,191,219,237,271,278,341,342,345,346,347,349,350	4	0	83.89363347434009	83.7154663560304	1.6016012749124282	1.6081470242304625	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-3/ova_body_c4_09_seed-1_sample-3_model.cif
ova_body_c4_09	seed-1_sample-4	0.28	0.45	16	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	14,6	1	414	81	17	0.9444444444444444	89,93,96,186,191,219,237,271,278,285,341,342,345,346,347,349,350	4	0	84.13249360712081	83.97826443805596	1.5344868993966783	1.539567978055049	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-4/ova_body_c4_09_seed-1_sample-4_model.cif
ova_body_c4_105	seed-1_sample-0	0.8	0.84	0	0	5	A-C,A-D,B-C,B-D,C-D	4	2	1	3	2,2,1	A-C,B-D|A-D,B-C|C-D	5,8,1	1	216	45	11	0.6470588235294118	191,271,278,342,343,345,346,347,349,350,354	4	0	89.8767875488558	89.78367883553777	1.541522535619365	1.5471914385355283	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-0/ova_body_c4_105_seed-1_sample-0_model.cif
ova_body_c4_105	seed-1_sample-1	0.81	0.84	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	4,8	1	246	48	11	0.6470588235294118	191,271,278,342,343,345,346,347,349,350,354	4	0	89.86824478139532	89.78632133365295	1.5114135804714708	1.5202657171476956	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-1/ova_body_c4_105_seed-1_sample-1_model.cif
ova_body_c4_105	seed-1_sample-2	0.81	0.85	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,8	1	234	47	11	0.6470588235294118	191,271,278,342,343,345,346,347,349,350,354	4	0	90.07723457702083	89.99678779760173	1.5297936766268982	1.5310179139104785	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-2/ova_body_c4_105_seed-1_sample-2_model.cif
ova_body_c4_105	seed-1_sample-3	0.81	0.85	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,8	1	246	48	11	0.6470588235294118	191,271,278,342,343,345,346,347,349,350,354	4	0	90.05949486352002	89.97803115844727	1.5516279428852837	1.556919740026018	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-3/ova_body_c4_105_seed-1_sample-3_model.cif
ova_body_c4_105	seed-1_sample-4	0.82	0.85	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,8	1	235	47	11	0.6470588235294118	191,271,278,342,343,345,346,347,349,350,354	4	0	90.20764896412588	90.11961142386797	1.5453662811027118	1.5515210134009396	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-4/ova_body_c4_105_seed-1_sample-4_model.cif
