candidate	model_a	model_b	best_chain_permutation_contact_jaccard
ova_body_c4_073_ms	seed-1_sample-0	seed-1_sample-1	0.8290909090909091
ova_body_c4_073_ms	seed-1_sample-0	seed-1_sample-2	0.8450184501845018
ova_body_c4_073_ms	seed-1_sample-0	seed-1_sample-3	0.864963503649635
ova_body_c4_073_ms	seed-1_sample-0	seed-1_sample-4	0.8122743682310469
ova_body_c4_073_ms	seed-1_sample-0	seed-2_sample-0	0.8777777777777778
ova_body_c4_073_ms	seed-1_sample-0	seed-2_sample-1	0.91015625
ova_body_c4_073_ms	seed-1_sample-0	seed-2_sample-2	0.879245283018868
ova_body_c4_073_ms	seed-1_sample-0	seed-2_sample-3	0.8825757575757576
ova_body_c4_073_ms	seed-1_sample-0	seed-2_sample-4	0.8450184501845018
ova_body_c4_073_ms	seed-1_sample-0	seed-3_sample-0	0.8876404494382022
ova_body_c4_073_ms	seed-1_sample-0	seed-3_sample-1	0.8796992481203008
ova_body_c4_073_ms	seed-1_sample-0	seed-3_sample-2	0.8646616541353384
ova_body_c4_073_ms	seed-1_sample-0	seed-3_sample-3	0.8450184501845018
ova_body_c4_073_ms	seed-1_sample-0	seed-3_sample-4	0.8278388278388278
ova_body_c4_073_ms	seed-1_sample-0	seed-4_sample-0	0.8345588235294118
ova_body_c4_073_ms	seed-1_sample-0	seed-4_sample-1	0.8544776119402985
ova_body_c4_073_ms	seed-1_sample-0	seed-4_sample-2	0.8374558303886925
ova_body_c4_073_ms	seed-1_sample-0	seed-4_sample-3	0.8302583025830258
ova_body_c4_073_ms	seed-1_sample-0	seed-4_sample-4	0.8962962962962963
ova_body_c4_073_ms	seed-1_sample-0	seed-5_sample-0	0.8555133079847909
ova_body_c4_073_ms	seed-1_sample-0	seed-5_sample-1	0.875
ova_body_c4_073_ms	seed-1_sample-0	seed-5_sample-2	0.8272058823529411
ova_body_c4_073_ms	seed-1_sample-0	seed-5_sample-3	0.7972027972027972
ova_body_c4_073_ms	seed-1_sample-0	seed-5_sample-4	0.8013937282229965
ova_body_c4_073_ms	seed-1_sample-1	seed-1_sample-2	0.9135338345864662
ova_body_c4_073_ms	seed-1_sample-1	seed-1_sample-3	0.8439716312056738
ova_body_c4_073_ms	seed-1_sample-1	seed-1_sample-4	0.8717948717948718
ova_body_c4_073_ms	seed-1_sample-1	seed-2_sample-0	0.8970588235294118
ova_body_c4_073_ms	seed-1_sample-1	seed-2_sample-1	0.8582089552238806
ova_body_c4_073_ms	seed-1_sample-1	seed-2_sample-2	0.8303249097472925
ova_body_c4_073_ms	seed-1_sample-1	seed-2_sample-3	0.8880597014925373
ova_body_c4_073_ms	seed-1_sample-1	seed-2_sample-4	0.8644688644688645
ova_body_c4_073_ms	seed-1_sample-1	seed-3_sample-0	0.8929889298892989
ova_body_c4_073_ms	seed-1_sample-1	seed-3_sample-1	0.9063670411985019
ova_body_c4_073_ms	seed-1_sample-1	seed-3_sample-2	0.8773234200743495
ova_body_c4_073_ms	seed-1_sample-1	seed-3_sample-3	0.8921933085501859
ova_body_c4_073_ms	seed-1_sample-1	seed-3_sample-4	0.9097744360902256
ova_body_c4_073_ms	seed-1_sample-1	seed-4_sample-0	0.9242424242424242
ova_body_c4_073_ms	seed-1_sample-1	seed-4_sample-1	0.9166666666666666
ova_body_c4_073_ms	seed-1_sample-1	seed-4_sample-2	0.9097472924187726
ova_body_c4_073_ms	seed-1_sample-1	seed-4_sample-3	0.8913857677902621
ova_body_c4_073_ms	seed-1_sample-1	seed-4_sample-4	0.8475177304964538
ova_body_c4_073_ms	seed-1_sample-1	seed-5_sample-0	0.8825757575757576
ova_body_c4_073_ms	seed-1_sample-1	seed-5_sample-1	0.8394160583941606
ova_body_c4_073_ms	seed-1_sample-1	seed-5_sample-2	0.8333333333333334
ova_body_c4_073_ms	seed-1_sample-1	seed-5_sample-3	0.8350877192982457
ova_body_c4_073_ms	seed-1_sample-1	seed-5_sample-4	0.8652482269503546
ova_body_c4_073_ms	seed-1_sample-2	seed-1_sample-3	0.8530465949820788
ova_body_c4_073_ms	seed-1_sample-2	seed-1_sample-4	0.8884758364312267
ova_body_c4_073_ms	seed-1_sample-2	seed-2_sample-0	0.9070631970260223
ova_body_c4_073_ms	seed-1_sample-2	seed-2_sample-1	0.9111969111969112
ova_body_c4_073_ms	seed-1_sample-2	seed-2_sample-2	0.8260869565217391
ova_body_c4_073_ms	seed-1_sample-2	seed-2_sample-3	0.9346153846153846
ova_body_c4_073_ms	seed-1_sample-2	seed-2_sample-4	0.8880597014925373
ova_body_c4_073_ms	seed-1_sample-2	seed-3_sample-0	0.8819188191881919
ova_body_c4_073_ms	seed-1_sample-2	seed-3_sample-1	0.909433962264151
ova_body_c4_073_ms	seed-1_sample-2	seed-3_sample-2	0.8731343283582089
ova_body_c4_073_ms	seed-1_sample-2	seed-3_sample-3	0.9166666666666666
ova_body_c4_073_ms	seed-1_sample-2	seed-3_sample-4	0.9348659003831418
ova_body_c4_073_ms	seed-1_sample-2	seed-4_sample-0	0.8843283582089553
ova_body_c4_073_ms	seed-1_sample-2	seed-4_sample-1	0.9198473282442748
ova_body_c4_073_ms	seed-1_sample-2	seed-4_sample-2	0.8456140350877193
ova_body_c4_073_ms	seed-1_sample-2	seed-4_sample-3	0.8872180451127819
ova_body_c4_073_ms	seed-1_sample-2	seed-4_sample-4	0.8368794326241135
ova_body_c4_073_ms	seed-1_sample-2	seed-5_sample-0	0.9221789883268483
ova_body_c4_073_ms	seed-1_sample-2	seed-5_sample-1	0.8487084870848709
ova_body_c4_073_ms	seed-1_sample-2	seed-5_sample-2	0.8560885608856088
ova_body_c4_073_ms	seed-1_sample-2	seed-5_sample-3	0.8055555555555556
ova_body_c4_073_ms	seed-1_sample-2	seed-5_sample-4	0.8612099644128114
ova_body_c4_073_ms	seed-1_sample-3	seed-1_sample-4	0.8941605839416058
ova_body_c4_073_ms	seed-1_sample-3	seed-2_sample-0	0.8848920863309353
ova_body_c4_073_ms	seed-1_sample-3	seed-2_sample-1	0.8671586715867159
ova_body_c4_073_ms	seed-1_sample-3	seed-2_sample-2	0.9216417910447762
ova_body_c4_073_ms	seed-1_sample-3	seed-2_sample-3	0.8897058823529411
ova_body_c4_073_ms	seed-1_sample-3	seed-2_sample-4	0.9219330855018587
ova_body_c4_073_ms	seed-1_sample-3	seed-3_sample-0	0.9296296296296296
ova_body_c4_073_ms	seed-1_sample-3	seed-3_sample-1	0.88
ova_body_c4_073_ms	seed-1_sample-3	seed-3_sample-2	0.9285714285714286
ova_body_c4_073_ms	seed-1_sample-3	seed-3_sample-3	0.9077490774907749
ova_body_c4_073_ms	seed-1_sample-3	seed-3_sample-4	0.8832116788321168
ova_body_c4_073_ms	seed-1_sample-3	seed-4_sample-0	0.8561151079136691
ova_body_c4_073_ms	seed-1_sample-3	seed-4_sample-1	0.8966789667896679
ova_body_c4_073_ms	seed-1_sample-3	seed-4_sample-2	0.845360824742268
ova_body_c4_073_ms	seed-1_sample-3	seed-4_sample-3	0.8791208791208791
ova_body_c4_073_ms	seed-1_sample-3	seed-4_sample-4	0.8496503496503497
ova_body_c4_073_ms	seed-1_sample-3	seed-5_sample-0	0.8703703703703703
ova_body_c4_073_ms	seed-1_sample-3	seed-5_sample-1	0.8823529411764706
ova_body_c4_073_ms	seed-1_sample-3	seed-5_sample-2	0.9323308270676691
ova_body_c4_073_ms	seed-1_sample-3	seed-5_sample-3	0.8829787234042553
ova_body_c4_073_ms	seed-1_sample-3	seed-5_sample-4	0.8802816901408451
ova_body_c4_073_ms	seed-1_sample-4	seed-2_sample-0	0.8525179856115108
ova_body_c4_073_ms	seed-1_sample-4	seed-2_sample-1	0.8544776119402985
ova_body_c4_073_ms	seed-1_sample-4	seed-2_sample-2	0.8740740740740741
ova_body_c4_073_ms	seed-1_sample-4	seed-2_sample-3	0.8913857677902621
