source	chain_pair	category	unique_residue_pair_types	atom_level_events
ova_body_c4_073_ms_AF3	A-B	Hydrophobic	8	10
ova_body_c4_073_ms_AF3	A-B	HydrogenBond	2	2
ova_body_c4_073_ms_AF3	A-B	SaltBridge	4	6
ova_body_c4_073_ms_AF3	A-B	PiStacking	0	0
ova_body_c4_073_ms_AF3	A-B	CationPi	0	0
ova_body_c4_073_ms_AF3	A-B	VdWContact	12	30
ova_body_c4_073_ms_AF3	A-C	Hydrophobic	8	14
ova_body_c4_073_ms_AF3	A-C	HydrogenBond	7	7
ova_body_c4_073_ms_AF3	A-C	SaltBridge	2	4
ova_body_c4_073_ms_AF3	A-C	PiStacking	0	0
ova_body_c4_073_ms_AF3	A-C	CationPi	0	0
ova_body_c4_073_ms_AF3	A-C	VdWContact	23	57
ova_body_c4_073_ms_AF3	A-D	Hydrophobic	3	30
ova_body_c4_073_ms_AF3	A-D	HydrogenBond	0	0
ova_body_c4_073_ms_AF3	A-D	SaltBridge	0	0
ova_body_c4_073_ms_AF3	A-D	PiStacking	0	0
ova_body_c4_073_ms_AF3	A-D	CationPi	0	0
ova_body_c4_073_ms_AF3	A-D	VdWContact	13	48
ova_body_c4_073_ms_AF3	B-C	Hydrophobic	4	27
ova_body_c4_073_ms_AF3	B-C	HydrogenBond	0	0
ova_body_c4_073_ms_AF3	B-C	SaltBridge	0	0
ova_body_c4_073_ms_AF3	B-C	PiStacking	0	0
ova_body_c4_073_ms_AF3	B-C	CationPi	0	0
ova_body_c4_073_ms_AF3	B-C	VdWContact	11	41
ova_body_c4_073_ms_AF3	B-D	Hydrophobic	8	14
ova_body_c4_073_ms_AF3	B-D	HydrogenBond	6	6
ova_body_c4_073_ms_AF3	B-D	SaltBridge	2	4
ova_body_c4_073_ms_AF3	B-D	PiStacking	0	0
ova_body_c4_073_ms_AF3	B-D	CationPi	0	0
ova_body_c4_073_ms_AF3	B-D	VdWContact	24	61
ova_body_c4_073_ms_AF3	C-D	Hydrophobic	8	10
ova_body_c4_073_ms_AF3	C-D	HydrogenBond	2	2
ova_body_c4_073_ms_AF3	C-D	SaltBridge	4	6
ova_body_c4_073_ms_AF3	C-D	PiStacking	0	0
ova_body_c4_073_ms_AF3	C-D	CationPi	0	0
ova_body_c4_073_ms_AF3	C-D	VdWContact	12	32
