candidate	seed	model	iptm	min_incident_iptm	interface_pae	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path	topology_cluster	in_main_topology_cluster	main_topology_medoid
ova_body_c4_multihit11_ms	1	seed-1_sample-0	0.84	0.81	2.495	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,9,7	1	243	49	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.7189700887611	90.68313466205498	1.549334355207727	1.5521589367357655	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-0/ova_body_c4_11_seed-1_sample-0_model.cif	1	1	0
ova_body_c4_multihit11_ms	1	seed-1_sample-1	0.84	0.81	2.48	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,9,7	1	259	50	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.57262952587148	90.54652862351175	1.5831343988086723	1.5889698597591002	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-1/ova_body_c4_11_seed-1_sample-1_model.cif	1	1	0
ova_body_c4_multihit11_ms	1	seed-1_sample-2	0.84	0.82	2.5149999999999997	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,9,7	1	255	51	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.52983811729312	90.50344561048122	1.5572464765873466	1.5621368694583873	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-2/ova_body_c4_11_seed-1_sample-2_model.cif	1	1	0
ova_body_c4_multihit11_ms	1	seed-1_sample-3	0.84	0.81	2.49	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,9,6	1	250	51	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.61874358024005	90.58248702726216	1.5723747723843968	1.5753760577977056	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-3/ova_body_c4_11_seed-1_sample-3_model.cif	1	1	0
ova_body_c4_multihit11_ms	1	seed-1_sample-4	0.84	0.81	2.45	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,9,6	1	272	56	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.51803761319175	90.49580305227961	1.5845042374115121	1.6027194441245567	experiments/e174_c4_073_multihit_ai_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-4/ova_body_c4_11_seed-1_sample-4_model.cif	1	1	0
ova_body_c4_multihit11_ms	2	seed-2_sample-0	0.84	0.81	2.455	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	9,8,1	1	244	45	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.56347808936718	90.52474119749712	1.5550822208617883	1.5591473528818605	experiments/e186_c4_multihit11_multiseed/out_s0/ova_body_c4_multihit11_ms/seed-2_sample-0/ova_body_c4_multihit11_ms_seed-2_sample-0_model.cif	1	1	0
ova_body_c4_multihit11_ms	2	seed-2_sample-1	0.84	0.81	2.465	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	8,7,1	1	240	48	13	0.65	99,182,191,271,278,342,343,345,346,347,349,350,354	4	0	90.61211788839627	90.58101053188501	1.587088107957836	1.5916489148671478	experiments/e186_c4_multihit11_multiseed/out_s0/ova_body_c4_multihit11_ms/seed-2_sample-1/ova_body_c4_multihit11_ms_seed-2_sample-1_model.cif	1	1	0
ova_body_c4_multihit11_ms	2	seed-2_sample-2	0.83	0.81	2.49	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	9,7,1	1	226	47	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.53900912141553	90.504171045333	1.5665929402568264	1.574849640916845	experiments/e186_c4_multihit11_multiseed/out_s0/ova_body_c4_multihit11_ms/seed-2_sample-2/ova_body_c4_multihit11_ms_seed-2_sample-2_model.cif	1	1	0
ova_body_c4_multihit11_ms	2	seed-2_sample-3	0.84	0.81	2.415	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	10,6,2	1	236	50	15	0.75	99,182,191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.62892490347431	90.59349731089537	1.5384755440607578	1.543413575733238	experiments/e186_c4_multihit11_multiseed/out_s0/ova_body_c4_multihit11_ms/seed-2_sample-3/ova_body_c4_multihit11_ms_seed-2_sample-3_model.cif	1	1	0
ova_body_c4_multihit11_ms	2	seed-2_sample-4	0.84	0.8	2.51	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	9,7,2	1	249	50	14	0.7	99,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.37136013396663	90.3381346272681	1.5661905497498263	1.5744495240341834	experiments/e186_c4_multihit11_multiseed/out_s0/ova_body_c4_multihit11_ms/seed-2_sample-4/ova_body_c4_multihit11_ms_seed-2_sample-4_model.cif	1	1	0
