candidate	model_a	model_b	best_chain_permutation_contact_jaccard
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-1_sample-1	0.8057553956834532
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-1_sample-2	0.7849462365591398
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-1_sample-3	0.8888888888888888
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-1_sample-4	0.8133802816901409
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-2_sample-0	0.8446969696969697
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-2_sample-1	0.9015748031496063
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-2_sample-2	0.8611111111111112
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-2_sample-3	0.87109375
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-2_sample-4	0.8923076923076924
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-3_sample-0	0.9254901960784314
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-3_sample-1	0.8931297709923665
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-3_sample-2	0.916
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-3_sample-3	0.8533834586466166
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-3_sample-4	0.9333333333333333
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-4_sample-0	0.8863636363636364
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-4_sample-1	0.9019607843137255
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-4_sample-2	0.743859649122807
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-4_sample-3	0.8068181818181818
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-4_sample-4	0.8488372093023255
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-5_sample-0	0.9036144578313253
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-5_sample-1	0.8941176470588236
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-5_sample-2	0.9212598425196851
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-5_sample-3	0.855595667870036
ova_body_c4_multihit11_ms	seed-1_sample-0	seed-5_sample-4	0.8481481481481481
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-1_sample-2	0.8098591549295775
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-1_sample-3	0.8049645390070922
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-1_sample-4	0.8247422680412371
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-2_sample-0	0.8357664233576643
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-2_sample-1	0.7758007117437722
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-2_sample-2	0.7509025270758123
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-2_sample-3	0.8065693430656934
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-2_sample-4	0.8273381294964028
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-3_sample-0	0.8436363636363636
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-3_sample-1	0.855072463768116
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-3_sample-2	0.8
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-3_sample-3	0.8851851851851852
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-3_sample-4	0.8375451263537906
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-4_sample-0	0.8291814946619217
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-4_sample-1	0.7829181494661922
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-4_sample-2	0.7331081081081081
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-4_sample-3	0.779783393501805
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-4_sample-4	0.8674242424242424
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-5_sample-0	0.8631178707224335
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-5_sample-1	0.8014440433212996
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-5_sample-2	0.7872340425531915
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-5_sample-3	0.8088737201365188
ova_body_c4_multihit11_ms	seed-1_sample-1	seed-5_sample-4	0.8727272727272727
ova_body_c4_multihit11_ms	seed-1_sample-2	seed-1_sample-3	0.797153024911032
ova_body_c4_multihit11_ms	seed-1_sample-2	seed-1_sample-4	0.8888888888888888
