source	chain_pair	category	unique_residue_pair_types	atom_level_events
ova_body_c4_multihit11_ms_AF3	A-B	Hydrophobic	8	11
ova_body_c4_multihit11_ms_AF3	A-B	HydrogenBond	2	2
ova_body_c4_multihit11_ms_AF3	A-B	SaltBridge	2	2
ova_body_c4_multihit11_ms_AF3	A-B	PiStacking	0	0
ova_body_c4_multihit11_ms_AF3	A-B	CationPi	0	0
ova_body_c4_multihit11_ms_AF3	A-B	VdWContact	8	13
ova_body_c4_multihit11_ms_AF3	A-C	Hydrophobic	10	28
ova_body_c4_multihit11_ms_AF3	A-C	HydrogenBond	8	8
ova_body_c4_multihit11_ms_AF3	A-C	SaltBridge	2	3
ova_body_c4_multihit11_ms_AF3	A-C	PiStacking	0	0
ova_body_c4_multihit11_ms_AF3	A-C	CationPi	0	0
ova_body_c4_multihit11_ms_AF3	A-C	VdWContact	25	60
ova_body_c4_multihit11_ms_AF3	A-D	Hydrophobic	2	25
ova_body_c4_multihit11_ms_AF3	A-D	HydrogenBond	0	0
ova_body_c4_multihit11_ms_AF3	A-D	SaltBridge	0	0
ova_body_c4_multihit11_ms_AF3	A-D	PiStacking	1	1
ova_body_c4_multihit11_ms_AF3	A-D	CationPi	0	0
ova_body_c4_multihit11_ms_AF3	A-D	VdWContact	11	39
ova_body_c4_multihit11_ms_AF3	B-C	Hydrophobic	2	25
ova_body_c4_multihit11_ms_AF3	B-C	HydrogenBond	0	0
ova_body_c4_multihit11_ms_AF3	B-C	SaltBridge	0	0
ova_body_c4_multihit11_ms_AF3	B-C	PiStacking	1	1
ova_body_c4_multihit11_ms_AF3	B-C	CationPi	0	0
ova_body_c4_multihit11_ms_AF3	B-C	VdWContact	13	42
ova_body_c4_multihit11_ms_AF3	B-D	Hydrophobic	10	30
ova_body_c4_multihit11_ms_AF3	B-D	HydrogenBond	6	6
ova_body_c4_multihit11_ms_AF3	B-D	SaltBridge	2	3
ova_body_c4_multihit11_ms_AF3	B-D	PiStacking	0	0
ova_body_c4_multihit11_ms_AF3	B-D	CationPi	0	0
ova_body_c4_multihit11_ms_AF3	B-D	VdWContact	24	66
ova_body_c4_multihit11_ms_AF3	C-D	Hydrophobic	8	12
ova_body_c4_multihit11_ms_AF3	C-D	HydrogenBond	2	2
ova_body_c4_multihit11_ms_AF3	C-D	SaltBridge	2	2
ova_body_c4_multihit11_ms_AF3	C-D	PiStacking	0	0
ova_body_c4_multihit11_ms_AF3	C-D	CationPi	0	0
ova_body_c4_multihit11_ms_AF3	C-D	VdWContact	8	22
