candidate	kind	seed	iptm	ptm	plddt_normalized	min_incident_iptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path	summary_path	topology_cluster	in_main_topology_cluster
ova_body_c4_multihit11_ms	accepted_af3_candidate	101	0.28353676199913025	0.4481807053089142	0.8408992767333985	0.39995869994163513	339	0	339	273	7	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	10,7,10	1	543	49	12	0.6	191,271,276,278,343,345,346,347,349,350,354,356	4	0	86.6251943593198	86.5003110263014	1.730497896784246	1.7367569294072418	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_101/predictions/ova_body_c4_multihit11_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_101/predictions/ova_body_c4_multihit11_ms_opendde_c4_summary_confidence_sample_0.json	1	1
ova_body_c4_multihit11_ms	accepted_af3_candidate	102	0.2695169746875763	0.4362948536872864	0.8394203186035156	0.27747222781181335	23	1	22	20	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	9,8	1	269	48	15	0.75	99,155,182,191,276,278,285,337,342,343,345,346,349,350,354	4	0	86.4376748831161	86.29722796820606	1.6457948555796427	1.6562779246616142	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_102/predictions/ova_body_c4_multihit11_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_102/predictions/ova_body_c4_multihit11_ms_opendde_c4_summary_confidence_sample_0.json	2	0
ova_body_c4_multihit11_ms	accepted_af3_candidate	103	0.26840874552726746	0.43548235297203064	0.8400688171386719	0.27218255400657654	49	0	49	38	0	5	A-B,A-C,A-D,B-C,B-D	4	2	1	3	2,2,1	A-C,B-D|A-D,B-C|A-B	10,8,0	1	298	61	15	0.75	99,155,182,191,271,276,278,342,343,345,346,349,350,354,356	4	0	86.47570603375607	86.34961165788877	1.6693244115073143	1.6778682329125525	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_103/predictions/ova_body_c4_multihit11_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_103/predictions/ova_body_c4_multihit11_ms_opendde_c4_summary_confidence_sample_0.json	3	0
ova_body_c4_multihit11_ms	accepted_af3_candidate	104	0.23113660514354706	0.40750986337661743	0.8401558685302735	0.19213172793388367	18	0	18	12	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	9,7	1	304	56	14	0.7	99,155,182,191,271,276,278,342,343,345,346,349,350,354	4	0	86.52703373419806	86.39932629481498	1.6800416334703159	1.6942090763885578	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_104/predictions/ova_body_c4_multihit11_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_104/predictions/ova_body_c4_multihit11_ms_opendde_c4_summary_confidence_sample_0.json	4	0
ova_body_c4_multihit11_ms	accepted_af3_candidate	105	0.2621930241584778	0.43066713213920593	0.8376424407958984	0.26513969898223877	32	0	32	3	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,9,9	1	485	77	17	0.85	89,99,155,182,191,271,276,278,337,342,343,345,346,347,349,350,354	4	0	86.20676815200963	86.06463712978857	1.6355913183550344	1.6395125190694906	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_105/predictions/ova_body_c4_multihit11_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_105/predictions/ova_body_c4_multihit11_ms_opendde_c4_summary_confidence_sample_0.json	5	0
ova_body_c4_multihit11_ms	accepted_af3_candidate	106	0.25312796235084534	0.4238150417804718	0.8383839416503907	0.24908660352230072	15	0	15	4	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,9,7	1	387	70	15	0.75	89,99,155,182,191,271,276,278,342,343,345,346,349,350,354	4	0	86.29408033894751	86.13937848343133	1.64173751821731	1.650136072671644	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_106/predictions/ova_body_c4_multihit11_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_106/predictions/ova_body_c4_multihit11_ms_opendde_c4_summary_confidence_sample_0.json	6	0
ova_body_c4_multihit11_ms	accepted_af3_candidate	107	0.26285770535469055	0.4312841296195984	0.8401116180419922	0.2615240216255188	16	0	16	4	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	0,9,7	1	310	56	14	0.7	99,155,182,191,271,276,278,342,343,345,346,349,350,354	4	0	86.48933936894866	86.36476678798853	1.616531291057278	1.6258715855304904	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_107/predictions/ova_body_c4_multihit11_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_107/predictions/ova_body_c4_multihit11_ms_opendde_c4_summary_confidence_sample_0.json	7	0
ova_body_c4_multihit11_ms	accepted_af3_candidate	108	0.3323344588279724	0.478649765253067	0.8462418365478516	0.42071783542633057	19	0	19	13	0	4	A-B,A-D,B-C,C-D	4	2	1	3	2,1,1	A-B,C-D|A-D|B-C	10,7,2	1	344	79	17	0.85	99,155,182,191,271,276,278,285,337,342,343,345,346,349,350,354,356	4	0	87.14073828959094	87.03652848357363	1.6799561846137039	1.6820788974288807	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_108/predictions/ova_body_c4_multihit11_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_108/predictions/ova_body_c4_multihit11_ms_opendde_c4_summary_confidence_sample_0.json	8	0
ova_body_c4_multihit11_ms	accepted_af3_candidate	109	0.24814316630363464	0.4194999933242798	0.832972412109375	0.2327440232038498	97	1	96	45	2	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	10,7,7	1	430	59	16	0.8	99,155,182,191,271,276,278,285,337,342,343,345,346,347,349,350	4	0	85.77320596961778	85.62316060436822	1.6920143211709986	1.7031711670601763	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_109/predictions/ova_body_c4_multihit11_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_109/predictions/ova_body_c4_multihit11_ms_opendde_c4_summary_confidence_sample_0.json	9	0
ova_body_c4_multihit11_ms	accepted_af3_candidate	110	0.2822710871696472	0.44775518774986267	0.8414138793945313	0.3958841562271118	467	0	467	403	14	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	10,7,11	1	505	51	13	0.65	191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	86.67070597564617	86.55354921805426	1.6951189347990954	1.7127110313996698	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_110/predictions/ova_body_c4_multihit11_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e203_c4_multihit11_opendde_msa1024_v2/out/ova_body_c4_multihit11_ms_opendde_c4/seed_110/predictions/ova_body_c4_multihit11_ms_opendde_c4_summary_confidence_sample_0.json	1	1
