source	chain_pair	category	unique_residue_pair_types	atom_level_events
ova_body_c4_073_ms__AF3	A-B	Hydrophobic	8	10
ova_body_c4_073_ms__AF3	A-B	HydrogenBond	2	2
ova_body_c4_073_ms__AF3	A-B	SaltBridge	2	2
ova_body_c4_073_ms__AF3	A-B	PiStacking	0	0
ova_body_c4_073_ms__AF3	A-B	CationPi	0	0
ova_body_c4_073_ms__AF3	A-B	VdWContact	9	13
ova_body_c4_073_ms__AF3	A-C	Hydrophobic	8	16
ova_body_c4_073_ms__AF3	A-C	HydrogenBond	6	6
ova_body_c4_073_ms__AF3	A-C	SaltBridge	2	4
ova_body_c4_073_ms__AF3	A-C	PiStacking	0	0
ova_body_c4_073_ms__AF3	A-C	CationPi	0	0
ova_body_c4_073_ms__AF3	A-C	VdWContact	24	65
ova_body_c4_073_ms__AF3	A-D	Hydrophobic	2	25
ova_body_c4_073_ms__AF3	A-D	HydrogenBond	0	0
ova_body_c4_073_ms__AF3	A-D	SaltBridge	0	0
ova_body_c4_073_ms__AF3	A-D	PiStacking	1	1
ova_body_c4_073_ms__AF3	A-D	CationPi	0	0
ova_body_c4_073_ms__AF3	A-D	VdWContact	12	39
ova_body_c4_073_ms__AF3	B-C	Hydrophobic	2	25
ova_body_c4_073_ms__AF3	B-C	HydrogenBond	0	0
ova_body_c4_073_ms__AF3	B-C	SaltBridge	0	0
ova_body_c4_073_ms__AF3	B-C	PiStacking	1	1
ova_body_c4_073_ms__AF3	B-C	CationPi	0	0
ova_body_c4_073_ms__AF3	B-C	VdWContact	12	36
ova_body_c4_073_ms__AF3	B-D	Hydrophobic	8	16
ova_body_c4_073_ms__AF3	B-D	HydrogenBond	7	7
ova_body_c4_073_ms__AF3	B-D	SaltBridge	2	4
ova_body_c4_073_ms__AF3	B-D	PiStacking	0	0
ova_body_c4_073_ms__AF3	B-D	CationPi	0	0
ova_body_c4_073_ms__AF3	B-D	VdWContact	22	63
ova_body_c4_073_ms__AF3	C-D	Hydrophobic	8	10
ova_body_c4_073_ms__AF3	C-D	HydrogenBond	2	2
ova_body_c4_073_ms__AF3	C-D	SaltBridge	2	2
ova_body_c4_073_ms__AF3	C-D	PiStacking	0	0
ova_body_c4_073_ms__AF3	C-D	CationPi	0	0
ova_body_c4_073_ms__AF3	C-D	VdWContact	7	11
ova_body_c4_073_ms__Protenix	A-B	Hydrophobic	8	11
ova_body_c4_073_ms__Protenix	A-B	HydrogenBond	2	2
ova_body_c4_073_ms__Protenix	A-B	SaltBridge	0	0
ova_body_c4_073_ms__Protenix	A-B	PiStacking	0	0
ova_body_c4_073_ms__Protenix	A-B	CationPi	0	0
ova_body_c4_073_ms__Protenix	A-B	VdWContact	11	57
ova_body_c4_073_ms__Protenix	A-C	Hydrophobic	9	17
ova_body_c4_073_ms__Protenix	A-C	HydrogenBond	1	1
ova_body_c4_073_ms__Protenix	A-C	SaltBridge	2	2
ova_body_c4_073_ms__Protenix	A-C	PiStacking	1	1
ova_body_c4_073_ms__Protenix	A-C	CationPi	0	0
ova_body_c4_073_ms__Protenix	A-C	VdWContact	16	61
ova_body_c4_073_ms__Protenix	A-D	Hydrophobic	3	51
ova_body_c4_073_ms__Protenix	A-D	HydrogenBond	0	0
ova_body_c4_073_ms__Protenix	A-D	SaltBridge	0	0
ova_body_c4_073_ms__Protenix	A-D	PiStacking	1	1
ova_body_c4_073_ms__Protenix	A-D	CationPi	0	0
ova_body_c4_073_ms__Protenix	A-D	VdWContact	7	60
ova_body_c4_073_ms__Protenix	B-C	Hydrophobic	3	52
ova_body_c4_073_ms__Protenix	B-C	HydrogenBond	0	0
ova_body_c4_073_ms__Protenix	B-C	SaltBridge	0	0
ova_body_c4_073_ms__Protenix	B-C	PiStacking	1	1
ova_body_c4_073_ms__Protenix	B-C	CationPi	0	0
ova_body_c4_073_ms__Protenix	B-C	VdWContact	7	69
ova_body_c4_073_ms__Protenix	B-D	Hydrophobic	8	18
ova_body_c4_073_ms__Protenix	B-D	HydrogenBond	0	0
ova_body_c4_073_ms__Protenix	B-D	SaltBridge	2	2
ova_body_c4_073_ms__Protenix	B-D	PiStacking	1	1
ova_body_c4_073_ms__Protenix	B-D	CationPi	0	0
ova_body_c4_073_ms__Protenix	B-D	VdWContact	16	62
ova_body_c4_073_ms__Protenix	C-D	Hydrophobic	8	13
ova_body_c4_073_ms__Protenix	C-D	HydrogenBond	2	2
ova_body_c4_073_ms__Protenix	C-D	SaltBridge	0	0
ova_body_c4_073_ms__Protenix	C-D	PiStacking	0	0
ova_body_c4_073_ms__Protenix	C-D	CationPi	0	0
ova_body_c4_073_ms__Protenix	C-D	VdWContact	10	56
