outcome	rank	cv_spearman	gamma	ridge	n_labels
af3	1	0.8042248495924472	0.06	0.3	251
af3	2	0.7999521139609262	0.1	0.3	251
af3	3	0.7998667351405806	0.06	1.0	251
af3	4	0.7982612338566583	0.06	0.1	251
af3	5	0.7950673070528829	0.1	0.1	251
af3	6	0.7926338209423194	0.1	1.0	251
af3	7	0.7874723866563561	0.16	0.3	251
af3	8	0.7837707404675918	0.16	0.1	251
af3	9	0.7791735653187574	0.06	0.03	251
af3	10	0.7776526839323331	0.16	1.0	251
af3	11	0.7773696057102092	0.1	0.03	251
af3	12	0.7711009029897186	0.16	0.03	251
af3	13	0.7661386859512285	0.24	0.3	251
af3	14	0.7652283579956317	0.24	0.1	251
af3	15	0.7596089137711919	0.24	0.03	251
af3	16	0.7458367408573002	0.24	1.0	251
af3	17	0.7282862705470451	0.36	0.1	251
af3	18	0.727854063985384	0.36	0.03	251
af3	19	0.721695784539207	0.36	0.3	251
af3	20	0.6951137528820753	0.36	1.0	251
protenix	1	0.6973461321287409	0.06	0.03	22
protenix	2	0.6431394692264258	0.06	0.1	22
protenix	3	0.6284584980237156	0.1	0.03	22
protenix	4	0.5652173913043479	0.1	0.1	22
protenix	5	0.5607001693958217	0.06	0.3	22
protenix	6	0.5110107284020329	0.16	0.1	22
protenix	7	0.5098814229249012	0.16	0.03	22
protenix	8	0.5087521174477697	0.1	0.3	22
protenix	9	0.45454545454545453	0.06	1.0	22
protenix	10	0.43986448334274425	0.16	0.3	22
protenix	11	0.4206662902315077	0.24	0.03	22
protenix	12	0.4116318464144552	0.1	1.0	22
protenix	13	0.40033879164313946	0.24	0.1	22
protenix	14	0.37436476566911353	0.24	0.3	22
protenix	15	0.30660643704121965	0.16	1.0	22
protenix	16	0.27724449463579903	0.36	0.1	22
protenix	17	0.2614342179559571	0.36	0.03	22
protenix	18	0.2275550536420102	0.24	1.0	22
protenix	19	0.21626199887069456	0.36	0.3	22
protenix	20	0.11575381140598533	0.36	1.0	22
clean_fraction	1	0.38049677819196126	0.06	0.03	22
clean_fraction	2	0.3544120512220205	0.1	0.03	22
clean_fraction	3	0.2857978781054374	0.16	0.03	22
clean_fraction	4	0.27048727749264606	0.1	0.1	22
clean_fraction	5	0.24213431339488445	0.06	0.1	22
clean_fraction	6	0.23362842416555593	0.16	0.1	22
clean_fraction	7	0.18145897022567453	0.1	0.3	22
clean_fraction	8	0.16501425104897274	0.06	0.3	22
clean_fraction	9	0.14970365043618147	0.24	0.03	22
clean_fraction	10	0.11171067854518088	0.16	0.3	22
clean_fraction	11	0.08902830726697156	0.24	0.1	22
clean_fraction	12	-0.06351063957898609	0.24	0.3	22
clean_fraction	13	-0.09810125577825529	0.06	1.0	22
clean_fraction	14	-0.15650836181964428	0.1	1.0	22
clean_fraction	15	-0.17181896243243555	0.36	0.03	22
clean_fraction	16	-0.20981193432343614	0.36	0.1	22
clean_fraction	17	-0.22512253493622747	0.16	1.0	22
clean_fraction	18	-0.2943037673347659	0.24	1.0	22
clean_fraction	19	-0.3402355691731397	0.36	0.3	22
clean_fraction	20	-0.3912709045491107	0.36	1.0	22
crossmodel_prolif	1	0.6873602501376546	0.06	0.03	22
crossmodel_prolif	2	0.6856532296489021	0.1	0.1	22
crossmodel_prolif	3	0.6776871340347239	0.16	0.1	22
crossmodel_prolif	4	0.6640309701247044	0.24	0.03	22
crossmodel_prolif	5	0.6526508335330213	0.06	0.1	22
crossmodel_prolif	6	0.6526508335330213	0.24	0.1	22
crossmodel_prolif	7	0.6498057993851006	0.16	0.03	22
crossmodel_prolif	8	0.6452537447484273	0.36	0.03	22
crossmodel_prolif	9	0.6446847379188433	0.1	0.3	22
crossmodel_prolif	10	0.6418397037709224	0.1	0.03	22
crossmodel_prolif	11	0.6378566559638335	0.36	0.1	22
crossmodel_prolif	12	0.6333046013271603	0.16	0.3	22
crossmodel_prolif	13	0.6156653896100515	0.24	0.3	22
crossmodel_prolif	14	0.6014402188704477	0.16	1.0	22
crossmodel_prolif	15	0.583801007153339	0.1	1.0	22
crossmodel_prolif	16	0.5769729251983293	0.24	1.0	22
crossmodel_prolif	17	0.5712828569024878	0.06	0.3	22
crossmodel_prolif	18	0.5707138500729035	0.36	0.3	22
crossmodel_prolif	19	0.5416945017641118	0.06	1.0	22
crossmodel_prolif	20	0.5143821739440726	0.36	1.0	22
opendde	1	0.23433088650479958	0.36	0.1	22
opendde	2	0.2298136645962733	0.36	0.3	22
opendde	3	0.21852060982495766	0.36	0.03	22
opendde	4	0.19141727837380013	0.36	1.0	22
opendde	5	0.17673630717108982	0.16	0.1	22
opendde	6	0.16883116883116886	0.24	0.03	22
opendde	7	0.1643139469226426	0.16	0.03	22
opendde	8	0.1485036702428007	0.1	0.3	22
opendde	9	0.14059853190287974	0.1	0.1	22
opendde	10	0.1394692264257482	0.1	0.03	22
opendde	11	0.13495200451722192	0.16	0.3	22
opendde	12	0.13043478260869568	0.24	0.1	22
opendde	13	0.11914172783738003	0.06	1.0	22
opendde	14	0.11688311688311688	0.24	0.3	22
opendde	15	0.11575381140598533	0.24	1.0	22
opendde	16	0.1044607566346697	0.06	0.3	22
opendde	17	0.09090909090909091	0.1	1.0	22
opendde	18	0.07848673066064371	0.06	0.03	22
opendde	19	0.06606437041219651	0.06	0.1	22
opendde	20	0.06380575945793338	0.16	1.0	22
