system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path	source_system	seed
ova_body_c4_01_ms25_r01	seed-1_sample-0	0.86	0.88	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	6,10	1	255	49	14	0.8235294117647058	182,191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.88450785622078	90.82404164329094	1.5636042648116024	1.5683917339983262	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif	ova_body_c4_01	1
ova_body_c4_01_ms25_r01	seed-1_sample-1	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,10	1	257	47	14	0.8235294117647058	182,191,271,276,278,342,343,345,346,347,349,350,354,356	4	0	90.69387308180023	90.61176153785824	1.5290096323220508	1.5362235960068023	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif	ova_body_c4_01	1
ova_body_c4_01_ms25_r01	seed-1_sample-2	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,9	1	249	47	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.82610117956764	90.76295351611518	1.5532226957943434	1.5540075748770226	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif	ova_body_c4_01	1
ova_body_c4_01_ms25_r01	seed-1_sample-3	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	254	49	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.78795983754291	90.73347140099717	1.5715285740331	1.5757029514056986	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif	ova_body_c4_01	1
ova_body_c4_01_ms25_r01	seed-1_sample-4	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,9	1	266	50	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.79589371854159	90.73253859880674	1.5573189447460523	1.5640784201447382	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif	ova_body_c4_01	1
ova_body_c4_01_ms25_r01	seed-2_sample-0	0.85	0.87	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	7,9	1	242	46	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	89.8843848001154	89.80854937696704	1.6800272796181457	1.683762403569101	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s0/ova_body_c4_01_ms25_r01/seed-2_sample-0/ova_body_c4_01_ms25_r01_seed-2_sample-0_model.cif	ova_body_c4_01	2
ova_body_c4_01_ms25_r01	seed-2_sample-1	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,5,9	1	251	49	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.30973442848483	90.2194558474684	1.5576578522025901	1.5628006480316965	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s0/ova_body_c4_01_ms25_r01/seed-2_sample-1/ova_body_c4_01_ms25_r01_seed-2_sample-1_model.cif	ova_body_c4_01	2
ova_body_c4_01_ms25_r01	seed-2_sample-2	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,6,8	1	265	52	12	0.7058823529411765	182,191,271,278,342,343,345,346,347,349,350,354	4	0	90.05213732793541	89.98367871892268	1.9551797821175676	1.9646376806469439	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s0/ova_body_c4_01_ms25_r01/seed-2_sample-2/ova_body_c4_01_ms25_r01_seed-2_sample-2_model.cif	ova_body_c4_01	2
ova_body_c4_01_ms25_r01	seed-2_sample-3	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,8	1	269	54	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	90.17109451639837	90.09113999599002	1.8727517833830905	1.876418002424531	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s0/ova_body_c4_01_ms25_r01/seed-2_sample-3/ova_body_c4_01_ms25_r01_seed-2_sample-3_model.cif	ova_body_c4_01	2
ova_body_c4_01_ms25_r01	seed-2_sample-4	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,6,9	1	246	50	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	89.79562824377741	89.70476689116325	1.6747055723179407	1.6787130692446184	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s0/ova_body_c4_01_ms25_r01/seed-2_sample-4/ova_body_c4_01_ms25_r01_seed-2_sample-4_model.cif	ova_body_c4_01	2
