seed	model	iptm	weakest_chain	interface_pae_a	min_ova_plddt	full_connected	has_clash	confidence_pass	observed_ss_bonds	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean_ring	joint_pass	cif_path
1	seed-1_sample-0	0.76	0.77	2.165	89.66266841591948	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
1	seed-1_sample-1	0.76	0.77	2.1500000000000004	90.16318642413678	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
1	seed-1_sample-2	0.76	0.76	2.25	90.03051810190468	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
1	seed-1_sample-3	0.77	0.77	2.0999999999999996	90.23810872883377	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
1	seed-1_sample-4	0.76	0.77	2.125	90.12663223582845	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
2	seed-2_sample-0	0.81	0.81	1.67	90.03481860976144	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-2_sample-0/ova_body_c4_01_seed-2_sample-0_model.cif
2	seed-2_sample-1	0.8	0.81	1.6949999999999998	90.6610361998563	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-2_sample-1/ova_body_c4_01_seed-2_sample-1_model.cif
2	seed-2_sample-2	0.8	0.8	1.77	90.50386022656693	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-2_sample-2/ova_body_c4_01_seed-2_sample-2_model.cif
2	seed-2_sample-3	0.8	0.8	1.69	90.3536009319088	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-2_sample-3/ova_body_c4_01_seed-2_sample-3_model.cif
2	seed-2_sample-4	0.81	0.81	1.685	90.57002594310384	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-2_sample-4/ova_body_c4_01_seed-2_sample-4_model.cif
3	seed-3_sample-0	0.8	0.8	1.8	89.85308285451306	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-3_sample-0/ova_body_c4_01_seed-3_sample-0_model.cif
3	seed-3_sample-1	0.81	0.81	1.8050000000000002	89.8473575374623	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-3_sample-1/ova_body_c4_01_seed-3_sample-1_model.cif
3	seed-3_sample-2	0.8	0.8	1.8849999999999998	90.14215025630023	1	0	1	8	4	0	1	1	experiments/e37_expanded_ai_lock/af3/out_s0/ova_body_c4_01/seed-3_sample-2/ova_body_c4_01_seed-3_sample-2_model.cif
