system	model	n_chains	iptm	ptm	min_ova_plddt	min_module_plddt	min_binder_plddt	ranking_score	has_clash	contact_edges	largest_component	full_connected	module_full_connected	total_contacts	ova_contacts	module_contacts	min_incident_iptm	contact_pair_iptm_median	contact_pair_pae_median	contacts_json	interface_residues_json	summary_path	cif_path
ova_body_c4_01_n1	seed-1_sample-0	1	0.0	0.92	90.71992244621633	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-1_sample-0/ova_body_c4_01_n1_seed-1_sample-0_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-1_sample-0/ova_body_c4_01_n1_seed-1_sample-0_model.cif
ova_body_c4_01_n1	seed-1_sample-1	1	0.0	0.92	90.41321226722836	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-1_sample-1/ova_body_c4_01_n1_seed-1_sample-1_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-1_sample-1/ova_body_c4_01_n1_seed-1_sample-1_model.cif
ova_body_c4_01_n1	seed-1_sample-2	1	0.0	0.92	90.36235745089041	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-1_sample-2/ova_body_c4_01_n1_seed-1_sample-2_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-1_sample-2/ova_body_c4_01_n1_seed-1_sample-2_model.cif
ova_body_c4_01_n1	seed-1_sample-3	1	0.0	0.92	90.68191694348587	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-1_sample-3/ova_body_c4_01_n1_seed-1_sample-3_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-1_sample-3/ova_body_c4_01_n1_seed-1_sample-3_model.cif
ova_body_c4_01_n1	seed-1_sample-4	1	0.0	0.92	90.96067357433893	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-1_sample-4/ova_body_c4_01_n1_seed-1_sample-4_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-1_sample-4/ova_body_c4_01_n1_seed-1_sample-4_model.cif
ova_body_c4_01_n1	seed-2_sample-0	1	0.0	0.92	91.1398965114139	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-2_sample-0/ova_body_c4_01_n1_seed-2_sample-0_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-2_sample-0/ova_body_c4_01_n1_seed-2_sample-0_model.cif
ova_body_c4_01_n1	seed-2_sample-1	1	0.0	0.92	91.51269431435382	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-2_sample-1/ova_body_c4_01_n1_seed-2_sample-1_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-2_sample-1/ova_body_c4_01_n1_seed-2_sample-1_model.cif
ova_body_c4_01_n1	seed-2_sample-2	1	0.0	0.92	91.19883429571755	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-2_sample-2/ova_body_c4_01_n1_seed-2_sample-2_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-2_sample-2/ova_body_c4_01_n1_seed-2_sample-2_model.cif
ova_body_c4_01_n1	seed-2_sample-3	1	0.0	0.92	91.37950785543016	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-2_sample-3/ova_body_c4_01_n1_seed-2_sample-3_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-2_sample-3/ova_body_c4_01_n1_seed-2_sample-3_model.cif
ova_body_c4_01_n1	seed-2_sample-4	1	0.0	0.92	91.31225370496048	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-2_sample-4/ova_body_c4_01_n1_seed-2_sample-4_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-2_sample-4/ova_body_c4_01_n1_seed-2_sample-4_model.cif
ova_body_c4_01_n1	seed-3_sample-0	1	0.0	0.92	91.12072524629109	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-3_sample-0/ova_body_c4_01_n1_seed-3_sample-0_summary_confidences.json	experiments/e43_ai_p208f_stoichiometry/out_s0/ova_body_c4_01_n1/seed-3_sample-0/ova_body_c4_01_n1_seed-3_sample-0_model.cif
