seed	model	iptm	weakest_chain	interface_pae_a	min_ova_plddt	full_connected	has_clash	confidence_pass	observed_ss_bonds	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean_ring	joint_pass	cif_path
1	seed-1_sample-0	0.66	0.69	2.855	89.41334200646592	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
1	seed-1_sample-1	0.66	0.68	2.9450000000000003	88.91759067990002	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
1	seed-1_sample-2	0.67	0.69	2.825	89.57259076370477	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
1	seed-1_sample-3	0.68	0.71	2.71	89.30476692674074	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
1	seed-1_sample-4	0.65	0.67	3.1	89.35865284618319	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
2	seed-2_sample-0	0.77	0.78	1.8050000000000002	89.55689119922064	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-2_sample-0/ova_body_c4_01_seed-2_sample-0_model.cif
2	seed-2_sample-1	0.74	0.75	2.12	89.77132117315895	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-2_sample-1/ova_body_c4_01_seed-2_sample-1_model.cif
2	seed-2_sample-2	0.75	0.76	1.9649999999999999	89.9448964311669	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-2_sample-2/ova_body_c4_01_seed-2_sample-2_model.cif
2	seed-2_sample-3	0.75	0.75	1.99	89.60844563696669	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-2_sample-3/ova_body_c4_01_seed-2_sample-3_model.cif
2	seed-2_sample-4	0.74	0.75	2.3049999999999997	89.61487064460398	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-2_sample-4/ova_body_c4_01_seed-2_sample-4_model.cif
3	seed-3_sample-0	0.76	0.77	1.98	89.13821238186694	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-3_sample-0/ova_body_c4_01_seed-3_sample-0_model.cif
3	seed-3_sample-1	0.73	0.75	2.33	88.83725388680098	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-3_sample-1/ova_body_c4_01_seed-3_sample-1_model.cif
3	seed-3_sample-2	0.76	0.77	2.0	89.25033699786725	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-3_sample-2/ova_body_c4_01_seed-3_sample-2_model.cif
3	seed-3_sample-3	0.74	0.75	2.145	89.38163197967054	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-3_sample-3/ova_body_c4_01_seed-3_sample-3_model.cif
3	seed-3_sample-4	0.75	0.77	2.04	89.41401558712974	1	0	1	8	4	0	1	1	experiments/e44_c2_c3_negative_ai/af3/out_s0/ova_body_c4_01/seed-3_sample-4/ova_body_c4_01_seed-3_sample-4_model.cif
4	seed-4_sample-0	0.76	0.77	1.9249999999999998	89.60873053358009	1	0	1	8	4	0	1	1	experiments/e47_c23neg_ai01_reseed/out_s0/ova_body_c23neg_ai01_reseed/seed-4_sample-0/ova_body_c23neg_ai01_reseed_seed-4_sample-0_model.cif
4	seed-4_sample-1	0.74	0.76	1.9649999999999999	89.9988600281236	1	0	1	8	4	0	1	1	experiments/e47_c23neg_ai01_reseed/out_s0/ova_body_c23neg_ai01_reseed/seed-4_sample-1/ova_body_c23neg_ai01_reseed_seed-4_sample-1_model.cif
4	seed-4_sample-2	0.73	0.75	2.105	89.72134693916597	1	0	1	8	4	0	1	1	experiments/e47_c23neg_ai01_reseed/out_s0/ova_body_c23neg_ai01_reseed/seed-4_sample-2/ova_body_c23neg_ai01_reseed_seed-4_sample-2_model.cif
4	seed-4_sample-3	0.77	0.78	1.8599999999999999	89.68222787096093	1	0	1	8	4	0	1	1	experiments/e47_c23neg_ai01_reseed/out_s0/ova_body_c23neg_ai01_reseed/seed-4_sample-3/ova_body_c23neg_ai01_reseed_seed-4_sample-3_model.cif
4	seed-4_sample-4	0.71	0.73	2.21	89.58930055094507	1	0	1	8	4	0	1	1	experiments/e47_c23neg_ai01_reseed/out_s0/ova_body_c23neg_ai01_reseed/seed-4_sample-4/ova_body_c23neg_ai01_reseed_seed-4_sample-4_model.cif
5	seed-5_sample-0	0.71	0.73	2.51	89.08598443263553	1	0	1	8	4	0	1	1	experiments/e47_c23neg_ai01_reseed/out_s1/ova_body_c23neg_ai01_reseed/seed-5_sample-0/ova_body_c23neg_ai01_reseed_seed-5_sample-0_model.cif
5	seed-5_sample-1	0.65	0.67	3.17	88.58243512366103	1	0	1	8	4	0	1	1	experiments/e47_c23neg_ai01_reseed/out_s1/ova_body_c23neg_ai01_reseed/seed-5_sample-1/ova_body_c23neg_ai01_reseed_seed-5_sample-1_model.cif
5	seed-5_sample-2	0.71	0.72	2.585	88.94642494873679	1	0	1	8	4	0	1	1	experiments/e47_c23neg_ai01_reseed/out_s1/ova_body_c23neg_ai01_reseed/seed-5_sample-2/ova_body_c23neg_ai01_reseed_seed-5_sample-2_model.cif
5	seed-5_sample-3	0.72	0.73	2.52	88.80510372695528	1	0	1	8	4	0	1	1	experiments/e47_c23neg_ai01_reseed/out_s1/ova_body_c23neg_ai01_reseed/seed-5_sample-3/ova_body_c23neg_ai01_reseed_seed-5_sample-3_model.cif
5	seed-5_sample-4	0.7	0.72	2.5949999999999998	88.86702090841501	1	0	1	8	4	0	1	1	experiments/e47_c23neg_ai01_reseed/out_s1/ova_body_c23neg_ai01_reseed/seed-5_sample-4/ova_body_c23neg_ai01_reseed_seed-5_sample-4_model.cif
6	seed-6_sample-0	0.24	0.34	21.35	85.35968913933156	1	0	0	0	4	0	0	0	experiments/e47_c23neg_ai01_reseed/out_s2/ova_body_c23neg_ai01_reseed/seed-6_sample-0/ova_body_c23neg_ai01_reseed_seed-6_sample-0_model.cif
6	seed-6_sample-1	0.2	0.19	18.705	85.24147679027499	1	0	0	8	4	0	1	0	experiments/e47_c23neg_ai01_reseed/out_s2/ova_body_c23neg_ai01_reseed/seed-6_sample-1/ova_body_c23neg_ai01_reseed_seed-6_sample-1_model.cif
6	seed-6_sample-2	0.26	0.35	21.675	85.38292749434555	1	0	0	0	4	0	0	0	experiments/e47_c23neg_ai01_reseed/out_s2/ova_body_c23neg_ai01_reseed/seed-6_sample-2/ova_body_c23neg_ai01_reseed_seed-6_sample-2_model.cif
6	seed-6_sample-3	0.24	0.34	26.305	85.29020717601084	1	0	0	0	4	0	0	0	experiments/e47_c23neg_ai01_reseed/out_s2/ova_body_c23neg_ai01_reseed/seed-6_sample-3/ova_body_c23neg_ai01_reseed_seed-6_sample-3_model.cif
6	seed-6_sample-4	0.19	0.15	23.69	84.94181370117504	1	0	0	0	4	0	0	0	experiments/e47_c23neg_ai01_reseed/out_s2/ova_body_c23neg_ai01_reseed/seed-6_sample-4/ova_body_c23neg_ai01_reseed_seed-6_sample-4_model.cif
