seed	model	iptm	weakest_chain	interface_pae_a	min_ova_plddt	full_connected	has_clash	confidence_pass	observed_ss_bonds	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean_ring	joint_pass	cif_path
1	seed-1_sample-0	0.78	0.78	1.7850000000000001	89.30082914125116	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
1	seed-1_sample-1	0.78	0.77	1.81	88.88608813903492	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
1	seed-1_sample-2	0.79	0.78	1.78	89.37202066213973	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
1	seed-1_sample-3	0.79	0.78	1.725	89.192538968022	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
1	seed-1_sample-4	0.78	0.78	1.83	89.36458548115942	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
2	seed-2_sample-0	0.81	0.8	1.5750000000000002	89.11759079058554	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-2_sample-0/ova_body_c4_01_seed-2_sample-0_model.cif
2	seed-2_sample-1	0.8	0.79	1.64	89.64437814821234	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-2_sample-1/ova_body_c4_01_seed-2_sample-1_model.cif
2	seed-2_sample-2	0.8	0.79	1.68	89.56082880682278	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-2_sample-2/ova_body_c4_01_seed-2_sample-2_model.cif
2	seed-2_sample-3	0.8	0.79	1.6349999999999998	89.2276424842795	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-2_sample-3/ova_body_c4_01_seed-2_sample-3_model.cif
2	seed-2_sample-4	0.8	0.79	1.74	89.5583938835816	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-2_sample-4/ova_body_c4_01_seed-2_sample-4_model.cif
3	seed-3_sample-0	0.79	0.78	1.75	89.04031104250893	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-3_sample-0/ova_body_c4_01_seed-3_sample-0_model.cif
3	seed-3_sample-1	0.8	0.79	1.63	89.6076684171054	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-3_sample-1/ova_body_c4_01_seed-3_sample-1_model.cif
3	seed-3_sample-2	0.8	0.79	1.6749999999999998	89.48761664276914	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-3_sample-2/ova_body_c4_01_seed-3_sample-2_model.cif
3	seed-3_sample-3	0.81	0.8	1.65	89.56264248783724	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-3_sample-3/ova_body_c4_01_seed-3_sample-3_model.cif
3	seed-3_sample-4	0.8	0.79	1.71	89.5425907589611	1	0	1	12	4	0	1	1	experiments/e45_c3_contact_negative_design/af3/out_s0/ova_body_c4_01/seed-3_sample-4/ova_body_c4_01_seed-3_sample-4_model.cif
4	seed-4_sample-0	0.81	0.8	1.605	89.68689114071545	1	0	1	12	4	0	1	1	experiments/e52_c3hot_ai01_reseed/out_s0/ova_body_c3hot_ai01_reseed/seed-4_sample-0/ova_body_c3hot_ai01_reseed_seed-4_sample-0_model.cif
4	seed-4_sample-1	0.81	0.8	1.62	89.90655449387941	1	0	1	12	4	0	1	1	experiments/e52_c3hot_ai01_reseed/out_s0/ova_body_c3hot_ai01_reseed/seed-4_sample-1/ova_body_c3hot_ai01_reseed_seed-4_sample-1_model.cif
4	seed-4_sample-2	0.81	0.8	1.605	89.90305689085334	1	0	1	12	4	0	1	1	experiments/e52_c3hot_ai01_reseed/out_s0/ova_body_c3hot_ai01_reseed/seed-4_sample-2/ova_body_c3hot_ai01_reseed_seed-4_sample-2_model.cif
