system	model	n_chains	iptm	ptm	min_ova_plddt	min_module_plddt	min_binder_plddt	ranking_score	has_clash	contact_edges	largest_component	full_connected	module_full_connected	total_contacts	ova_contacts	module_contacts	min_incident_iptm	contact_pair_iptm_median	contact_pair_pae_median	contacts_json	interface_residues_json	summary_path	cif_path
ova_body_c4_01_n1	seed-1_sample-0	1	0.0	0.92	89.90396352382521	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-1_sample-0/ova_body_c4_01_n1_seed-1_sample-0_summary_confidences.json	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-1_sample-0/ova_body_c4_01_n1_seed-1_sample-0_model.cif
ova_body_c4_01_n1	seed-1_sample-1	1	0.0	0.91	89.05126938301046	nan	nan	0.91	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-1_sample-1/ova_body_c4_01_n1_seed-1_sample-1_summary_confidences.json	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-1_sample-1/ova_body_c4_01_n1_seed-1_sample-1_model.cif
ova_body_c4_01_n1	seed-1_sample-2	1	0.0	0.91	89.43225392158784	nan	nan	0.91	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-1_sample-2/ova_body_c4_01_n1_seed-1_sample-2_summary_confidences.json	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-1_sample-2/ova_body_c4_01_n1_seed-1_sample-2_model.cif
ova_body_c4_01_n1	seed-1_sample-3	1	0.0	0.91	89.54463723533512	nan	nan	0.91	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-1_sample-3/ova_body_c4_01_n1_seed-1_sample-3_summary_confidences.json	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-1_sample-3/ova_body_c4_01_n1_seed-1_sample-3_model.cif
ova_body_c4_01_n1	seed-1_sample-4	1	0.0	0.92	89.83935210865397	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-1_sample-4/ova_body_c4_01_n1_seed-1_sample-4_summary_confidences.json	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-1_sample-4/ova_body_c4_01_n1_seed-1_sample-4_model.cif
ova_body_c4_01_n1	seed-2_sample-0	1	0.0	0.92	90.31606239358378	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-2_sample-0/ova_body_c4_01_n1_seed-2_sample-0_summary_confidences.json	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-2_sample-0/ova_body_c4_01_n1_seed-2_sample-0_model.cif
ova_body_c4_01_n1	seed-2_sample-1	1	0.0	0.92	90.58575142974063	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-2_sample-1/ova_body_c4_01_n1_seed-2_sample-1_summary_confidences.json	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-2_sample-1/ova_body_c4_01_n1_seed-2_sample-1_model.cif
ova_body_c4_01_n1	seed-2_sample-2	1	0.0	0.92	90.39549228687979	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-2_sample-2/ova_body_c4_01_n1_seed-2_sample-2_summary_confidences.json	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-2_sample-2/ova_body_c4_01_n1_seed-2_sample-2_model.cif
ova_body_c4_01_n1	seed-2_sample-3	1	0.0	0.92	90.44634706368718	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-2_sample-3/ova_body_c4_01_n1_seed-2_sample-3_summary_confidences.json	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-2_sample-3/ova_body_c4_01_n1_seed-2_sample-3_model.cif
ova_body_c4_01_n1	seed-2_sample-4	1	0.0	0.92	90.37388614792899	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-2_sample-4/ova_body_c4_01_n1_seed-2_sample-4_summary_confidences.json	experiments/e53_c3hot_ai01_stoichiometry_extra/out_s0/ova_body_c4_01_n1/seed-2_sample-4/ova_body_c4_01_n1_seed-2_sample-4_model.cif
