rank	index	phi_deg	axial_offset_a	fitted_dimer_rotation_deg	min_interdimer_heavy_a	clash_atom_pairs	ca_pairs_lt8	ca_clash_pairs_lt3_5	residue_contact_pairs	chain_pair_contacts	pdb
1	33	132.0	-32.0	179.58885519559564	2.125385270838821	0	52	0	60	4	experiments/e77_d2_completion_geometry_shifted/d2_complete_01_phi132.0.pdb
2	39	156.0	-32.0	179.58885519559564	2.0547783578501027	0	34	0	42	4	experiments/e77_d2_completion_geometry_shifted/d2_complete_02_phi156.0.pdb
3	41	164.0	32.0	179.58885519559564	4.562430103445982	0	8	0	8	4	experiments/e77_d2_completion_geometry_shifted/d2_complete_03_phi164.0.pdb
4	12	48.0	36.0	179.58885519559564	2.1464091287606193	0	52	0	46	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_04_phi48.0.pdb
5	23	92.0	32.0	179.58885519559564	2.1237086562383927	0	42	0	32	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_05_phi92.0.pdb
6	0	0.0	32.0	179.58885519559564	2.4897744003882125	0	30	0	30	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_06_phi0.0.pdb
7	35	140.0	36.0	179.58885519559564	2.7177351917227064	0	34	0	28	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_07_phi140.0.pdb
8	22	88.0	32.0	179.58885519559564	2.829280359351679	0	22	0	28	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_08_phi88.0.pdb
9	17	68.0	32.0	179.58885519559564	2.543250589175695	0	34	0	24	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_09_phi68.0.pdb
10	31	124.0	40.0	179.58885519559564	2.7223930089735173	0	26	0	17	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_10_phi124.0.pdb
11	44	176.0	32.0	179.58885519559564	3.4374890873547232	0	22	0	16	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_11_phi176.0.pdb
12	13	52.0	36.0	179.58885519559564	2.9402770325758185	0	28	0	14	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_12_phi52.0.pdb
13	8	32.0	40.0	179.58885519559564	3.267132123966243	0	26	0	12	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_13_phi32.0.pdb
14	40	160.0	32.0	179.58885519559564	3.141239801129821	0	20	0	12	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_14_phi160.0.pdb
15	18	72.0	32.0	179.58885519559564	3.8908249143126463	0	16	0	8	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_15_phi72.0.pdb
16	30	120.0	40.0	179.58885519559564	3.311812356922934	0	15	0	8	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_16_phi120.0.pdb
17	12	48.0	40.0	179.58885519559564	2.9488180595780995	0	4	0	8	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_17_phi48.0.pdb
18	0	0.0	36.0	179.58885519559564	2.048950054488738	0	14	0	6	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_18_phi0.0.pdb
19	21	84.0	32.0	179.58885519559564	3.5780063660802273	0	14	0	6	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_19_phi84.0.pdb
20	36	144.0	36.0	179.58885519559564	3.175409662662531	0	12	0	6	2	experiments/e77_d2_completion_geometry_shifted/d2_complete_20_phi144.0.pdb
