rank	index	phi_deg	axial_offset_a	fitted_dimer_rotation_deg	min_interdimer_heavy_a	clash_atom_pairs	ca_pairs_lt8	ca_clash_pairs_lt3_5	residue_contact_pairs	chain_pair_contacts	pdb
1	41	164.0	20.0	179.25921900847013	2.1930706734142245	0	78	0	112	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_01_phi164.0.pdb
2	18	72.0	20.0	179.25921900847013	2.162456804653801	0	61	0	100	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_02_phi72.0.pdb
3	39	156.0	20.0	179.25921900847013	2.2002050740354577	0	55	0	76	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_03_phi156.0.pdb
4	40	160.0	-20.0	179.25921900847013	2.160297359969346	0	16	0	40	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_04_phi160.0.pdb
5	3	12.0	-20.0	179.25921900847013	3.1357524451522205	0	22	0	36	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_05_phi12.0.pdb
6	26	104.0	-20.0	179.25921900847013	2.781375880714611	0	27	0	35	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_06_phi104.0.pdb
7	18	72.0	-20.0	179.25921900847013	2.216081650453537	0	14	0	35	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_07_phi72.0.pdb
8	25	100.0	-20.0	179.25921900847013	2.1430318597932145	0	17	0	26	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_08_phi100.0.pdb
9	1	4.0	-20.0	179.25921900847013	3.2078797006941797	0	1	0	26	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_09_phi4.0.pdb
10	23	92.0	-20.0	179.25921900847013	2.9184206732809197	0	4	0	25	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_10_phi92.0.pdb
11	24	96.0	-20.0	179.25921900847013	2.0450309578542605	0	2	0	22	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_11_phi96.0.pdb
12	19	76.0	-20.0	179.25921900847013	2.4491161586532666	0	6	0	20	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_12_phi76.0.pdb
13	2	8.0	-20.0	179.25921900847013	2.107970024901736	0	10	0	16	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_13_phi8.0.pdb
14	20	80.0	-20.0	179.25921900847013	2.6196476793876085	0	10	0	16	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_14_phi80.0.pdb
15	42	168.0	-20.0	179.25921900847013	2.0213408757168168	0	8	0	16	4	experiments/e83_d2_completion_from_free_dimer/d2_complete_15_phi168.0.pdb
16	12	48.0	20.0	179.25921900847013	2.591232265829548	0	52	0	76	2	experiments/e83_d2_completion_from_free_dimer/d2_complete_16_phi48.0.pdb
17	30	120.0	-24.0	179.25921900847013	2.8040650232881443	0	3	0	10	2	experiments/e83_d2_completion_from_free_dimer/d2_complete_17_phi120.0.pdb
18	7	28.0	-24.0	179.25921900847013	2.2999595002389888	0	2	0	10	2	experiments/e83_d2_completion_from_free_dimer/d2_complete_18_phi28.0.pdb
19	43	172.0	24.0	179.25921900847013	2.5634562867226327	0	2	0	10	2	experiments/e83_d2_completion_from_free_dimer/d2_complete_19_phi172.0.pdb
20	0	0.0	24.0	179.25921900847013	2.4738798224042293	0	2	0	8	2	experiments/e83_d2_completion_from_free_dimer/d2_complete_20_phi0.0.pdb
