system	model	n_chains	iptm	ptm	min_ova_plddt	min_module_plddt	min_binder_plddt	ranking_score	has_clash	contact_edges	largest_component	full_connected	module_full_connected	total_contacts	ova_contacts	module_contacts	min_incident_iptm	contact_pair_iptm_median	contact_pair_pae_median	contacts_json	interface_residues_json	summary_path	cif_path
ova_body_c4_01	seed-1_sample-0	4	0.33	0.47	81.13554415431048	nan	nan	0.36	0.0	6	4	1	0	173	173	0	0.5	0.15	23.439999999999998	"{""A-B"": 61, ""A-C"": 10, ""A-D"": 17, ""B-C"": 6, ""B-D"": 22, ""C-D"": 57}"	[1, 64, 65, 68, 70, 71, 72, 79, 86, 95, 96, 97, 98, 127, 141, 144, 145, 148, 149, 151, 152, 155, 156, 157, 182, 188, 196, 208, 209, 210, 216, 217, 237, 238, 271, 275, 276, 278, 285, 287, 334, 336, 339, 340, 342, 343, 344, 347, 348, 349, 350, 351, 372, 373]	experiments/e95_freebase_d2_mpnn_af3/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
ova_body_c4_01	seed-1_sample-1	4	0.37	0.51	81.3991449385727	nan	nan	0.4	0.0	6	4	1	0	383	383	0	0.47	0.255	20.884999999999998	"{""A-B"": 55, ""A-C"": 10, ""A-D"": 122, ""B-C"": 133, ""B-D"": 10, ""C-D"": 53}"	[1, 2, 3, 4, 5, 64, 65, 68, 70, 71, 72, 78, 79, 82, 83, 86, 87, 89, 90, 92, 93, 94, 95, 96, 97, 98, 99, 127, 152, 155, 156, 157, 159, 182, 184, 186, 187, 188, 210, 216, 217, 219, 232, 234, 236, 237, 238, 239, 241, 266, 270, 271, 275, 276, 277, 278, 285, 287, 289, 332, 334, 339, 340, 342, 343, 344, 346, 347, 348, 349, 351, 353, 354, 356, 372, 373, 374, 375]	experiments/e95_freebase_d2_mpnn_af3/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
ova_body_c4_01	seed-1_sample-2	4	0.37	0.5	81.43888596055422	nan	nan	0.39	0.0	4	4	1	0	325	325	0	0.5	0.36	15.049999999999999	"{""A-B"": 55, ""A-C"": 1, ""A-D"": 105, ""B-C"": 105, ""B-D"": 1, ""C-D"": 58}"	[1, 2, 3, 4, 5, 64, 65, 68, 69, 70, 71, 72, 79, 83, 86, 89, 90, 92, 93, 94, 95, 97, 98, 99, 101, 127, 141, 145, 148, 149, 151, 152, 155, 156, 157, 182, 184, 186, 187, 188, 196, 208, 210, 216, 217, 219, 234, 236, 237, 238, 239, 241, 270, 271, 275, 276, 277, 278, 285, 287, 334, 336, 339, 340, 342, 343, 351, 354, 372, 373, 374, 375]	experiments/e95_freebase_d2_mpnn_af3/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
ova_body_c4_01	seed-1_sample-3	4	0.32	0.46	81.26867852680424	nan	nan	0.35	0.0	6	4	1	0	269	269	0	0.48	0.15	23.605	"{""A-B"": 63, ""A-C"": 28, ""A-D"": 41, ""B-C"": 40, ""B-D"": 31, ""C-D"": 66}"	[1, 3, 64, 65, 68, 69, 71, 78, 79, 82, 83, 86, 89, 92, 94, 95, 96, 97, 99, 123, 127, 128, 141, 145, 148, 149, 151, 152, 153, 155, 156, 157, 182, 184, 186, 187, 188, 189, 196, 208, 210, 216, 217, 234, 237, 238, 271, 272, 276, 278, 285, 287, 334, 336, 339, 340, 342, 343, 346, 347, 348, 350, 373]	experiments/e95_freebase_d2_mpnn_af3/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
ova_body_c4_01	seed-1_sample-4	4	0.38	0.51	81.79873056856462	nan	nan	0.41	0.0	4	4	1	0	363	363	0	0.52	0.375	14.665	"{""A-B"": 59, ""A-C"": 4, ""A-D"": 118, ""B-C"": 120, ""B-D"": 4, ""C-D"": 58}"	[1, 2, 3, 4, 5, 64, 65, 68, 70, 72, 78, 79, 82, 83, 86, 87, 89, 90, 92, 93, 94, 95, 96, 97, 98, 99, 127, 141, 145, 148, 149, 151, 152, 155, 156, 157, 182, 184, 186, 187, 188, 189, 196, 208, 210, 216, 217, 219, 234, 236, 237, 238, 239, 241, 270, 271, 275, 276, 277, 278, 285, 287, 332, 334, 336, 339, 340, 342, 351, 353, 354, 372, 373, 374]	experiments/e95_freebase_d2_mpnn_af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_02	seed-1_sample-0	4	0.36	0.5	81.4847149972471	nan	nan	0.39	0.0	6	4	1	0	224	224	0	0.53	0.18	22.35	"{""A-B"": 61, ""A-C"": 13, ""A-D"": 37, ""B-C"": 33, ""B-D"": 22, ""C-D"": 58}"	[1, 2, 3, 64, 65, 68, 70, 79, 86, 89, 90, 93, 94, 95, 96, 97, 98, 127, 128, 141, 144, 145, 148, 149, 151, 152, 155, 156, 157, 182, 186, 187, 188, 189, 190, 196, 208, 210, 217, 237, 238, 239, 276, 285, 287, 334, 336, 339, 340, 342, 343, 346, 348, 354, 372, 373, 374]	experiments/e95_freebase_d2_mpnn_af3/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif
ova_body_c4_02	seed-1_sample-1	4	0.42	0.54	81.86189105967783	nan	nan	0.44	0.0	6	4	1	0	344	344	0	0.58	0.26	19.395	"{""A-B"": 54, ""A-C"": 14, ""A-D"": 99, ""B-C"": 109, ""B-D"": 17, ""C-D"": 51}"	[1, 2, 3, 4, 5, 64, 65, 68, 71, 73, 78, 79, 82, 83, 86, 87, 89, 90, 93, 94, 95, 97, 98, 99, 123, 124, 141, 145, 148, 149, 151, 152, 155, 156, 157, 182, 186, 187, 188, 196, 208, 210, 216, 217, 234, 237, 238, 239, 241, 270, 271, 275, 276, 277, 278, 285, 287, 332, 334, 336, 339, 340, 341, 342, 343, 344, 345, 346, 348, 350, 351, 354, 372, 373, 374]	experiments/e95_freebase_d2_mpnn_af3/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_model.cif
ova_body_c4_02	seed-1_sample-2	4	0.36	0.49	81.59891201671542	nan	nan	0.39	0.0	6	4	1	0	240	240	0	0.54	0.18	22.494999999999997	"{""A-B"": 60, ""A-C"": 17, ""A-D"": 45, ""B-C"": 42, ""B-D"": 17, ""C-D"": 59}"	[1, 2, 3, 64, 65, 68, 70, 78, 79, 82, 85, 86, 89, 90, 93, 94, 95, 96, 97, 98, 127, 128, 141, 145, 148, 149, 151, 152, 155, 156, 157, 182, 187, 188, 190, 196, 208, 210, 217, 237, 238, 276, 285, 287, 334, 336, 339, 340, 342, 343, 345, 348, 354, 373, 374]	experiments/e95_freebase_d2_mpnn_af3/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif
ova_body_c4_02	seed-1_sample-3	4	0.34	0.48	81.10847160359121	nan	nan	0.37	0.0	6	4	1	0	304	304	0	0.53	0.15	22.915	"{""A-B"": 61, ""A-C"": 58, ""A-D"": 28, ""B-C"": 37, ""B-D"": 58, ""C-D"": 62}"	[1, 2, 3, 64, 65, 68, 69, 70, 72, 78, 79, 82, 83, 85, 86, 89, 90, 93, 94, 95, 96, 97, 98, 101, 123, 127, 141, 144, 145, 148, 149, 151, 152, 155, 156, 157, 182, 187, 188, 190, 196, 208, 210, 217, 219, 234, 237, 238, 239, 241, 276, 278, 285, 287, 332, 334, 336, 341, 342, 343, 344, 345, 348, 349, 351, 354, 372, 373, 374]	experiments/e95_freebase_d2_mpnn_af3/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif
ova_body_c4_02	seed-1_sample-4	4	0.36	0.5	81.60761647891505	nan	nan	0.39	0.0	6	4	1	0	236	236	0	0.53	0.18	22.115000000000002	"{""A-B"": 55, ""A-C"": 32, ""A-D"": 36, ""B-C"": 30, ""B-D"": 28, ""C-D"": 55}"	[1, 2, 3, 64, 65, 68, 79, 82, 85, 86, 89, 90, 93, 94, 95, 96, 97, 98, 123, 127, 128, 141, 144, 145, 148, 149, 151, 152, 155, 156, 157, 182, 184, 186, 187, 188, 189, 190, 196, 208, 210, 217, 234, 237, 238, 239, 241, 276, 285, 287, 332, 334, 336, 338, 339, 341, 342, 343, 344, 345, 348, 354, 372, 373, 374]	experiments/e95_freebase_d2_mpnn_af3/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
ova_body_c4_03	seed-1_sample-0	4	0.34	0.48	81.2009845941178	nan	nan	0.37	0.0	4	4	1	0	139	139	0	0.49	0.33	15.76	"{""A-B"": 58, ""A-C"": 7, ""A-D"": 3, ""B-C"": 3, ""B-D"": 14, ""C-D"": 54}"	[95, 96, 97, 98, 127, 141, 144, 145, 148, 149, 151, 152, 155, 156, 157, 182, 196, 208, 210, 216, 217, 238, 271, 278, 285, 287, 332, 334, 336, 339, 340, 342, 343, 344, 348, 349, 372, 373]	experiments/e95_freebase_d2_mpnn_af3/out_s2/ova_body_c4_03/seed-1_sample-0/ova_body_c4_03_seed-1_sample-0_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s2/ova_body_c4_03/seed-1_sample-0/ova_body_c4_03_seed-1_sample-0_model.cif
ova_body_c4_03	seed-1_sample-1	4	0.32	0.47	81.13111377380055	nan	nan	0.35	0.0	5	4	1	0	195	195	0	0.46	0.16	22.41	"{""A-B"": 54, ""A-C"": 35, ""A-D"": 1, ""B-C"": 19, ""B-D"": 32, ""C-D"": 54}"	[1, 64, 65, 68, 71, 79, 89, 92, 93, 95, 96, 97, 98, 99, 124, 127, 145, 148, 149, 151, 152, 155, 156, 157, 182, 186, 187, 188, 196, 208, 210, 216, 217, 219, 237, 238, 271, 275, 276, 278, 285, 287, 334, 336, 339, 341, 342, 343, 344, 345, 346, 348, 349, 350, 351, 372, 373]	experiments/e95_freebase_d2_mpnn_af3/out_s2/ova_body_c4_03/seed-1_sample-1/ova_body_c4_03_seed-1_sample-1_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s2/ova_body_c4_03/seed-1_sample-1/ova_body_c4_03_seed-1_sample-1_model.cif
ova_body_c4_03	seed-1_sample-2	4	0.33	0.48	81.36373047507489	nan	nan	0.36	0.0	6	4	1	0	242	242	0	0.48	0.17	22.93	"{""A-B"": 59, ""A-C"": 22, ""A-D"": 43, ""B-C"": 43, ""B-D"": 17, ""C-D"": 58}"	[1, 2, 3, 64, 65, 68, 79, 82, 85, 86, 89, 90, 93, 94, 95, 96, 97, 98, 99, 127, 128, 141, 145, 148, 149, 151, 152, 155, 156, 157, 182, 186, 187, 188, 189, 190, 196, 208, 210, 217, 237, 238, 239, 276, 285, 287, 334, 336, 339, 340, 342, 343, 346, 348, 354, 373, 374]	experiments/e95_freebase_d2_mpnn_af3/out_s2/ova_body_c4_03/seed-1_sample-2/ova_body_c4_03_seed-1_sample-2_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s2/ova_body_c4_03/seed-1_sample-2/ova_body_c4_03_seed-1_sample-2_model.cif
ova_body_c4_03	seed-1_sample-3	4	0.34	0.48	80.90487047798275	nan	nan	0.37	0.0	4	4	1	0	311	311	0	0.47	0.32999999999999996	15.989999999999998	"{""A-B"": 46, ""A-C"": 3, ""A-D"": 105, ""B-C"": 107, ""B-D"": 3, ""C-D"": 47}"	[1, 2, 3, 4, 5, 64, 65, 68, 69, 70, 71, 72, 79, 83, 86, 87, 89, 90, 93, 94, 97, 98, 99, 123, 127, 145, 148, 149, 151, 152, 155, 156, 157, 182, 186, 187, 188, 189, 208, 210, 216, 217, 219, 234, 237, 238, 239, 241, 270, 271, 275, 276, 277, 278, 285, 287, 332, 334, 336, 339, 340, 342, 343, 346, 351, 353, 354, 355, 356, 372, 373, 374, 375]	experiments/e95_freebase_d2_mpnn_af3/out_s2/ova_body_c4_03/seed-1_sample-3/ova_body_c4_03_seed-1_sample-3_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s2/ova_body_c4_03/seed-1_sample-3/ova_body_c4_03_seed-1_sample-3_model.cif
ova_body_c4_03	seed-1_sample-4	4	0.34	0.48	81.14681357546792	nan	nan	0.37	0.0	6	4	1	0	225	225	0	0.48	0.17	22.695	"{""A-B"": 61, ""A-C"": 24, ""A-D"": 29, ""B-C"": 28, ""B-D"": 20, ""C-D"": 63}"	[1, 3, 64, 65, 68, 79, 82, 86, 89, 90, 92, 93, 94, 95, 96, 97, 98, 99, 101, 127, 128, 141, 145, 148, 149, 151, 152, 155, 156, 157, 182, 186, 187, 188, 189, 190, 191, 196, 208, 210, 217, 237, 238, 239, 276, 285, 287, 332, 334, 336, 339, 340, 342, 343, 346, 348, 354, 373, 374]	experiments/e95_freebase_d2_mpnn_af3/out_s2/ova_body_c4_03/seed-1_sample-4/ova_body_c4_03_seed-1_sample-4_summary_confidences.json	experiments/e95_freebase_d2_mpnn_af3/out_s2/ova_body_c4_03/seed-1_sample-4/ova_body_c4_03_seed-1_sample-4_model.cif
