candidate	source_system	seed	model	iptm	min_incident_iptm	contact_pair_pae_median	full_connected	has_clash	cif_path	summary_path
OVA-C4-IPTM80-20A	ova_body_c4_103	1	seed-1_sample-0	0.85	0.82	2.45	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-0/ova_body_c4_103_seed-1_sample-0_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-0/ova_body_c4_103_seed-1_sample-0_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	1	seed-1_sample-1	0.85	0.81	2.455	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-1/ova_body_c4_103_seed-1_sample-1_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-1/ova_body_c4_103_seed-1_sample-1_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	1	seed-1_sample-2	0.85	0.81	2.45	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-2/ova_body_c4_103_seed-1_sample-2_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-2/ova_body_c4_103_seed-1_sample-2_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	1	seed-1_sample-3	0.85	0.82	2.42	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-3/ova_body_c4_103_seed-1_sample-3_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-3/ova_body_c4_103_seed-1_sample-3_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	1	seed-1_sample-4	0.85	0.81	2.4000000000000004	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-4/ova_body_c4_103_seed-1_sample-4_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-4/ova_body_c4_103_seed-1_sample-4_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	2	seed-2_sample-0	0.84	0.8	2.62	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-2_sample-0/ova_body_c4_05_seed-2_sample-0_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-2_sample-0/ova_body_c4_05_seed-2_sample-0_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	2	seed-2_sample-1	0.83	0.8	2.635	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-2_sample-1/ova_body_c4_05_seed-2_sample-1_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-2_sample-1/ova_body_c4_05_seed-2_sample-1_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	2	seed-2_sample-2	0.84	0.8	2.55	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-2_sample-2/ova_body_c4_05_seed-2_sample-2_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-2_sample-2/ova_body_c4_05_seed-2_sample-2_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	2	seed-2_sample-3	0.84	0.8	2.5949999999999998	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-2_sample-3/ova_body_c4_05_seed-2_sample-3_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-2_sample-3/ova_body_c4_05_seed-2_sample-3_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	2	seed-2_sample-4	0.84	0.8	2.7300000000000004	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-2_sample-4/ova_body_c4_05_seed-2_sample-4_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-2_sample-4/ova_body_c4_05_seed-2_sample-4_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	3	seed-3_sample-0	0.84	0.81	2.635	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-3_sample-0/ova_body_c4_05_seed-3_sample-0_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-3_sample-0/ova_body_c4_05_seed-3_sample-0_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	3	seed-3_sample-1	0.85	0.82	2.425	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-3_sample-1/ova_body_c4_05_seed-3_sample-1_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-3_sample-1/ova_body_c4_05_seed-3_sample-1_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	3	seed-3_sample-2	0.84	0.81	2.62	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-3_sample-2/ova_body_c4_05_seed-3_sample-2_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-3_sample-2/ova_body_c4_05_seed-3_sample-2_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	3	seed-3_sample-3	0.85	0.81	2.46	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-3_sample-3/ova_body_c4_05_seed-3_sample-3_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-3_sample-3/ova_body_c4_05_seed-3_sample-3_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	3	seed-3_sample-4	0.85	0.81	2.5549999999999997	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-3_sample-4/ova_body_c4_05_seed-3_sample-4_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-3_sample-4/ova_body_c4_05_seed-3_sample-4_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	4	seed-4_sample-0	0.85	0.82	2.375	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-0/ova_body_c4_05_seed-4_sample-0_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-0/ova_body_c4_05_seed-4_sample-0_summary_confidences.json
