candidate	n_models	mean_iptm	median_iptm	min_iptm	min_seed_mean_iptm	mean_weakest_interface_iptm	min_weakest_interface_iptm	mean_interface_pae	max_interface_pae	zero_atomic_clash_models	zero_ca_overlap_models	valid_c4_network_models	zero_interchain_ss_models	native_ss_complete_models	two_interfaces_design_ge3_models	main_topology_cluster_size	topology_cluster_sizes	mean_pairwise_permutation_jaccard	mean_design_interface_recurrence	design_mutations_recurrence_ge80_fraction	mean_chain_plddt	min_model_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	gate_af3_model_count_25	gate_af3_mean_iptm_gt_0p80	gate_af3_median_iptm_ge_0p80	gate_af3_min_iptm_ge_0p75	gate_af3_each_seed_mean_ge_0p78	gate_af3_mean_weakest_ge_0p75	gate_af3_min_weakest_ge_0p70	gate_af3_mean_pae_le_4p0	gate_af3_max_pae_le_5p0	gate_af3_25_zero_atomic_clash	gate_af3_25_zero_ca_overlap	gate_af3_25_valid_c4_network	gate_af3_25_zero_interchain_ss	gate_af3_25_native_ss_complete	gate_af3_main_topology_cluster_ge20	gate_af3_mean_design_recurrence_ge_0p65	gate_af3_design_ge80_fraction_ge_0p60	gate_af3_two_interfaces_design_ge3_in_ge20_models	gate_af3_mean_plddt_ge_85	gate_af3_max_chain_rmsd_le_2p0	accepted_af3_recomputed	failed_af3_gates
OVA-C4-IPTM80-20A	25	0.8468	0.85	0.83	0.838	0.8116	0.8	2.4856	2.7300000000000004	12	25	25	25	25	25	25	25	0.8801279873956191	0.746	0.75	90.82334869977724	90.12282391286267	1.529985951880082	1.6019787071236389	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-21B	25	0.8408	0.84	0.82	0.832	0.8064	0.78	2.6844	3.37	8	25	25	25	25	25	25	25	0.8362077260646492	0.7523809523809524	0.7619047619047619	90.69687021522324	89.82595858796273	1.6122235445332143	1.984893875884357	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-21C	25	0.8363999999999999	0.84	0.81	0.828	0.8012	0.78	2.4528	2.7	12	25	25	25	24	25	25	25	0.66346767535143	0.72	0.7142857142857143	90.29257331067416	89.64044052084493	1.592628696245458	1.844909037327631	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash;gate_af3_25_native_ss_complete
OVA-C4-IPTM80-20D	25	0.8316	0.83	0.81	0.824	0.7956000000000001	0.78	2.5404	2.715	11	25	25	25	25	25	25	25	0.6417983631707204	0.708	0.7	90.28305051576288	89.4773317149266	1.569294027496493	1.8368438537473697	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-21E	25	0.8308	0.83	0.81	0.8160000000000001	0.794	0.77	2.5764	2.95	19	25	25	25	25	25	25	25	0.6586637287107994	0.6952380952380952	0.6190476190476191	90.24875905565648	89.45598440219702	1.549972976570955	1.6736590743769455	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-19F	25	0.824	0.82	0.81	0.818	0.7904	0.77	2.6402	2.8049999999999997	20	25	25	25	25	25	25	25	0.7940144595803347	0.7305263157894737	0.7368421052631579	90.11905596115429	89.51474094885	1.5820505718712212	1.9742666571063905	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-21G	25	0.8231999999999999	0.82	0.8	0.812	0.7916000000000001	0.77	2.7678	3.05	16	25	25	25	25	25	25	25	0.6823340717117031	0.6914285714285714	0.6666666666666666	90.00269015692676	89.19494830512012	1.6393358614669074	1.8808508344533317	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-21H	25	0.8224	0.82	0.8	0.808	0.7904	0.77	2.7296	2.9400000000000004	16	25	25	25	25	25	25	25	0.7540690578260992	0.7142857142857143	0.7142857142857143	89.87485155678783	88.76748690827523	1.5709111635535202	1.7150194868938808	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-21I	25	0.822	0.82	0.81	0.818	0.786	0.77	2.677	2.96	9	25	25	25	25	25	25	25	0.6608265174802949	0.7371428571428571	0.7142857142857143	89.79074067802627	89.01870458731379	1.6126934953719843	1.990034223919667	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-19J	25	0.8216	0.82	0.8	0.808	0.7864	0.76	2.8052	3.085	15	25	25	25	25	17	25	25	0.7843729117897147	0.6778947368421052	0.6842105263157895	89.86155958343664	89.22471499072455	1.6648334039450277	2.0783717889176296	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	gate_af3_25_zero_atomic_clash;gate_af3_two_interfaces_design_ge3_in_ge20_models;gate_af3_max_chain_rmsd_le_2p0
