system	model	iptm	has_clash	intended_pairs	expected_ss_bonds	observed_ss_bonds	chain_component	full_ss_ring	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean_ring	interchain_ss_bonds	no_interchain_ss	noncovalent_chemically_clean	median_ss_distance_a	bonds_json	unexpected_bonds_json	cif_path
ova_body_c2_01	seed-1_sample-0	0.15	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s0/ova_body_c2_01/seed-1_sample-0/ova_body_c2_01_seed-1_sample-0_model.cif
ova_body_c2_01	seed-1_sample-1	0.11	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s0/ova_body_c2_01/seed-1_sample-1/ova_body_c2_01_seed-1_sample-1_model.cif
ova_body_c2_01	seed-1_sample-2	0.13	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s0/ova_body_c2_01/seed-1_sample-2/ova_body_c2_01_seed-1_sample-2_model.cif
ova_body_c2_01	seed-1_sample-3	0.11	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s0/ova_body_c2_01/seed-1_sample-3/ova_body_c2_01_seed-1_sample-3_model.cif
ova_body_c2_01	seed-1_sample-4	0.11	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s0/ova_body_c2_01/seed-1_sample-4/ova_body_c2_01_seed-1_sample-4_model.cif
ova_body_c2_02	seed-1_sample-0	0.15	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s1/ova_body_c2_02/seed-1_sample-0/ova_body_c2_02_seed-1_sample-0_model.cif
ova_body_c2_02	seed-1_sample-1	0.13	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s1/ova_body_c2_02/seed-1_sample-1/ova_body_c2_02_seed-1_sample-1_model.cif
ova_body_c2_02	seed-1_sample-2	0.13	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s1/ova_body_c2_02/seed-1_sample-2/ova_body_c2_02_seed-1_sample-2_model.cif
ova_body_c2_02	seed-1_sample-3	0.11	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s1/ova_body_c2_02/seed-1_sample-3/ova_body_c2_02_seed-1_sample-3_model.cif
ova_body_c2_02	seed-1_sample-4	0.14	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s1/ova_body_c2_02/seed-1_sample-4/ova_body_c2_02_seed-1_sample-4_model.cif
ova_body_c2_03	seed-1_sample-0	0.11	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s2/ova_body_c2_03/seed-1_sample-0/ova_body_c2_03_seed-1_sample-0_model.cif
ova_body_c2_03	seed-1_sample-1	0.11	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s2/ova_body_c2_03/seed-1_sample-1/ova_body_c2_03_seed-1_sample-1_model.cif
ova_body_c2_03	seed-1_sample-2	0.12	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s2/ova_body_c2_03/seed-1_sample-2/ova_body_c2_03_seed-1_sample-2_model.cif
ova_body_c2_03	seed-1_sample-3	0.11	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s2/ova_body_c2_03/seed-1_sample-3/ova_body_c2_03_seed-1_sample-3_model.cif
ova_body_c2_03	seed-1_sample-4	0.11	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s2/ova_body_c2_03/seed-1_sample-4/ova_body_c2_03_seed-1_sample-4_model.cif
ova_body_c2_04	seed-1_sample-0	0.13	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s3/ova_body_c2_04/seed-1_sample-0/ova_body_c2_04_seed-1_sample-0_model.cif
ova_body_c2_04	seed-1_sample-1	0.13	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s3/ova_body_c2_04/seed-1_sample-1/ova_body_c2_04_seed-1_sample-1_model.cif
ova_body_c2_04	seed-1_sample-2	0.13	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s3/ova_body_c2_04/seed-1_sample-2/ova_body_c2_04_seed-1_sample-2_model.cif
ova_body_c2_04	seed-1_sample-3	0.11	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s3/ova_body_c2_04/seed-1_sample-3/ova_body_c2_04_seed-1_sample-3_model.cif
ova_body_c2_04	seed-1_sample-4	0.13	0.0		0	0	1	0	2	0	0	0	1	1	nan	[]	[]	experiments/e70_dimer41_af3_c2/out_s3/ova_body_c2_04/seed-1_sample-4/ova_body_c2_04_seed-1_sample-4_model.cif
