shard	name	kind	n_seeds	input_json
0	CTRL-WT-C4	negative_background	10	input/ctrl_wt_c4_opendde_c4.json
1	CTRL-P3-13R-C4	negative_background	10	input/ctrl_p3_13r_c4_opendde_c4.json
2	OVA-C4-IPTM80-19K	process_positive	10	input/ova_c4_iptm80_19k_opendde_c4.json
3	OVA-C4-IPTM80-20A	process_positive	10	input/ova_c4_iptm80_20a_opendde_c4.json
4	OVA-C4-IPTM80-21B	final_candidate	10	input/ova_c4_iptm80_21b_opendde_c4.json
5	OVA-C4-IPTM80-21C	final_candidate	10	input/ova_c4_iptm80_21c_opendde_c4.json
6	OVA-C4-IPTM80-20D	final_candidate	10	input/ova_c4_iptm80_20d_opendde_c4.json
7	OVA-C4-IPTM80-21E	final_candidate	10	input/ova_c4_iptm80_21e_opendde_c4.json
0	OVA-C4-IPTM80-19F	final_candidate	10	input/ova_c4_iptm80_19f_opendde_c4.json
1	OVA-C4-IPTM80-21G	final_candidate	10	input/ova_c4_iptm80_21g_opendde_c4.json
2	OVA-C4-IPTM80-21H	final_candidate	10	input/ova_c4_iptm80_21h_opendde_c4.json
3	OVA-C4-IPTM80-21I	final_candidate	10	input/ova_c4_iptm80_21i_opendde_c4.json
4	OVA-C4-IPTM80-19J	final_candidate	10	input/ova_c4_iptm80_19j_opendde_c4.json
5	OVA-C4-IPTM80-19L	final_candidate	10	input/ova_c4_iptm80_19l_opendde_c4.json
6	OVA-C4-IPTM80-21M	final_candidate	10	input/ova_c4_iptm80_21m_opendde_c4.json
7	OVA-C4-IPTM80-20N	final_candidate	10	input/ova_c4_iptm80_20n_opendde_c4.json
0	OVA-C4-IPTM80-20O	final_candidate	10	input/ova_c4_iptm80_20o_opendde_c4.json
1	OVA-C4-IPTM80-21P	final_candidate	10	input/ova_c4_iptm80_21p_opendde_c4.json
2	OVA-C4-IPTM80-22Q	final_candidate	10	input/ova_c4_iptm80_22q_opendde_c4.json
3	OVA-C4-IPTM80-19R	final_candidate	10	input/ova_c4_iptm80_19r_opendde_c4.json
4	OVA-C4-IPTM80-21S	final_candidate	10	input/ova_c4_iptm80_21s_opendde_c4.json
5	OVA-C4-IPTM80-20T	final_candidate	10	input/ova_c4_iptm80_20t_opendde_c4.json
