candidate	n_models	zero_atomic_clash_models
OVA-C4-IPTM80-20A	25	12
OVA-C4-IPTM80-21B	25	8
OVA-C4-IPTM80-20D	25	11
OVA-C4-IPTM80-21C	25	12
OVA-C4-IPTM80-21E	25	19
OVA-C4-IPTM80-19K	25	22
OVA-C4-IPTM80-19F	25	20
OVA-C4-IPTM80-19L	25	13
OVA-C4-IPTM80-21H	25	16
OVA-C4-IPTM80-21G	25	16
OVA-C4-IPTM80-21I	25	9
OVA-C4-IPTM80-19J	25	15
OVA-C4-IPTM80-20N	25	13
OVA-C4-IPTM80-19R	25	17
OVA-C4-IPTM80-20O	25	14
OVA-C4-IPTM80-21M	25	16
OVA-C4-IPTM80-21P	25	16
OVA-C4-IPTM80-20T	25	4
OVA-C4-IPTM80-21S	25	19
OVA-C4-IPTM80-22Q	25	11
ova_body_c4_multihit11_ms	25	25
ova_body_c4_073_ms	25	25
