system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path
ova_body_c4_01	seed-1_sample-0	0.82	0.85	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	4,8	1	229	48	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	90.48707258145427	90.41269428865897	1.580045416668138	1.5861768052925984	experiments/e178_c4_073_af3ensemble_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
ova_body_c4_01	seed-1_sample-1	0.81	0.85	1	0	1	1	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	4,8	1	230	46	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	90.25952727065803	90.21686534189807	1.546275497807406	1.5569116502358922	experiments/e178_c4_073_af3ensemble_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
ova_body_c4_01	seed-1_sample-2	0.82	0.85	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,7	1	230	44	10	0.6666666666666666	191,271,278,342,345,346,347,349,350,354	4	0	90.45683293762602	90.39443015063982	1.5906787981920112	1.5929980869611797	experiments/e178_c4_073_af3ensemble_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
ova_body_c4_01	seed-1_sample-3	0.82	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,5,7	1	229	45	10	0.6666666666666666	191,271,278,342,345,346,347,349,350,354	4	0	90.49170343616466	90.44984471612644	1.6099561562663203	1.615410254209494	experiments/e178_c4_073_af3ensemble_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
ova_body_c4_01	seed-1_sample-4	0.82	0.85	10	0	10	10	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,5,8	1	255	50	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	90.34902846627902	90.30455959893261	1.6132229858447364	1.6185908529618196	experiments/e178_c4_073_af3ensemble_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_09	seed-1_sample-0	0.75	0.8	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,5	1	217	47	12	0.75	99,191,271,278,340,342,345,346,347,349,350,354	4	0	88.75733162825588	88.60295344140245	1.7349661787579975	1.7491199250153067	experiments/e178_c4_073_af3ensemble_ai_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-0/ova_body_c4_09_seed-1_sample-0_model.cif
ova_body_c4_09	seed-1_sample-1	0.75	0.8	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	7,6	1	223	45	12	0.75	99,191,271,278,340,342,345,346,347,349,350,354	4	0	88.7555310022028	88.64621747466566	1.644042247169002	1.6548849670278214	experiments/e178_c4_073_af3ensemble_ai_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-1/ova_body_c4_09_seed-1_sample-1_model.cif
ova_body_c4_09	seed-1_sample-2	0.75	0.8	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,8,6	1	226	48	12	0.75	99,191,271,278,340,342,345,346,347,349,350,354	4	0	89.32428112919466	89.20575126094522	1.6433231863989262	1.6530680552461323	experiments/e178_c4_073_af3ensemble_ai_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-2/ova_body_c4_09_seed-1_sample-2_model.cif
ova_body_c4_09	seed-1_sample-3	0.77	0.81	0	0	0	0	0	5	A-C,A-D,B-C,B-D,C-D	4	2	1	3	2,2,1	A-C,B-D|A-D,B-C|C-D	8,6,1	1	220	47	12	0.75	99,191,271,278,340,342,345,346,347,349,350,354	4	0	88.98276545470243	88.8553885227658	1.7141410957658108	1.721715903912682	experiments/e178_c4_073_af3ensemble_ai_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-3/ova_body_c4_09_seed-1_sample-3_model.cif
ova_body_c4_09	seed-1_sample-4	0.77	0.81	2	0	2	2	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,7,6	1	255	51	12	0.75	99,191,271,278,340,342,345,346,347,349,350,354	4	0	89.05693641227762	88.91424856037673	1.7018873453840702	1.7069825304053448	experiments/e178_c4_073_af3ensemble_ai_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-4/ova_body_c4_09_seed-1_sample-4_model.cif
