model	chain	matched_ca	sequence_identity	ca_rmsd_a	ca_rmsd_plddt70_a	within_2a	within_3a	within_5a	cif_path
seed-1_sample-0	A	385	0.98182	1.6762	0.6203	0.90649	0.94286	0.96104	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-1_sample-0/p3_dimer_msa_seed-1_sample-0_model.cif
seed-1_sample-0	B	385	0.98182	1.6733	0.6249	0.90909	0.94286	0.96104	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-1_sample-0/p3_dimer_msa_seed-1_sample-0_model.cif
seed-1_sample-1	A	385	0.98182	1.7574	0.6811	0.91688	0.93766	0.96623	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-1_sample-1/p3_dimer_msa_seed-1_sample-1_model.cif
seed-1_sample-1	B	385	0.98182	1.7576	0.6763	0.91688	0.93766	0.96883	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-1_sample-1/p3_dimer_msa_seed-1_sample-1_model.cif
seed-1_sample-2	A	385	0.98182	1.4264	0.6013	0.95584	0.96104	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-1_sample-2/p3_dimer_msa_seed-1_sample-2_model.cif
seed-1_sample-2	B	385	0.98182	1.4246	0.6024	0.95584	0.96104	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-1_sample-2/p3_dimer_msa_seed-1_sample-2_model.cif
seed-1_sample-3	A	385	0.98182	1.516	0.7303	0.94286	0.96364	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-1_sample-3/p3_dimer_msa_seed-1_sample-3_model.cif
seed-1_sample-3	B	385	0.98182	1.5062	0.719	0.94286	0.96104	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-1_sample-3/p3_dimer_msa_seed-1_sample-3_model.cif
seed-1_sample-4	A	385	0.98182	1.4575	0.6631	0.95065	0.96104	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-1_sample-4/p3_dimer_msa_seed-1_sample-4_model.cif
seed-1_sample-4	B	385	0.98182	1.4675	0.6799	0.95065	0.96364	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-1_sample-4/p3_dimer_msa_seed-1_sample-4_model.cif
seed-2_sample-0	A	385	0.98182	1.3549	0.6111	0.92727	0.95065	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-2_sample-0/p3_dimer_msa_seed-2_sample-0_model.cif
seed-2_sample-0	B	385	0.98182	1.3466	0.6017	0.92468	0.95065	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-2_sample-0/p3_dimer_msa_seed-2_sample-0_model.cif
seed-2_sample-1	A	385	0.98182	1.3522	0.6741	0.92727	0.94805	0.98182	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-2_sample-1/p3_dimer_msa_seed-2_sample-1_model.cif
