candidate	seed	n_models	mean_iptm	min_iptm	max_iptm
OVA-C4-IPTM80-20A	1	5	0.85	0.85	0.85
OVA-C4-IPTM80-20A	2	5	0.8379999999999999	0.83	0.84
OVA-C4-IPTM80-20A	3	5	0.8459999999999999	0.84	0.85
OVA-C4-IPTM80-20A	4	5	0.852	0.85	0.86
OVA-C4-IPTM80-20A	5	5	0.8480000000000001	0.84	0.85
OVA-C4-IPTM80-21B	1	5	0.8480000000000001	0.84	0.85
OVA-C4-IPTM80-21B	2	5	0.8319999999999999	0.82	0.84
OVA-C4-IPTM80-21B	3	5	0.844	0.84	0.85
OVA-C4-IPTM80-21B	4	5	0.844	0.84	0.85
OVA-C4-IPTM80-21B	5	5	0.836	0.83	0.84
OVA-C4-IPTM80-21C	1	5	0.8319999999999999	0.83	0.84
OVA-C4-IPTM80-21C	2	5	0.842	0.83	0.85
OVA-C4-IPTM80-21C	3	5	0.8320000000000001	0.83	0.84
OVA-C4-IPTM80-21C	4	5	0.828	0.81	0.84
OVA-C4-IPTM80-21C	5	5	0.8480000000000001	0.84	0.85
OVA-C4-IPTM80-20D	1	5	0.844	0.84	0.85
OVA-C4-IPTM80-20D	2	5	0.8299999999999998	0.82	0.84
OVA-C4-IPTM80-20D	3	5	0.8320000000000001	0.83	0.84
OVA-C4-IPTM80-20D	4	5	0.8240000000000001	0.81	0.83
OVA-C4-IPTM80-20D	5	5	0.828	0.82	0.83
OVA-C4-IPTM80-21E	1	5	0.834	0.83	0.84
OVA-C4-IPTM80-21E	2	5	0.836	0.83	0.84
OVA-C4-IPTM80-21E	3	5	0.8160000000000001	0.81	0.83
OVA-C4-IPTM80-21E	4	5	0.836	0.82	0.84
OVA-C4-IPTM80-21E	5	5	0.8320000000000001	0.82	0.84
OVA-C4-IPTM80-19F	1	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-19F	2	5	0.828	0.82	0.84
OVA-C4-IPTM80-19F	3	5	0.828	0.82	0.83
OVA-C4-IPTM80-19F	4	5	0.8240000000000001	0.82	0.84
OVA-C4-IPTM80-19F	5	5	0.818	0.81	0.83
OVA-C4-IPTM80-21G	1	5	0.8219999999999998	0.81	0.83
