candidate	source_model	iptm	effective_edges	cif_path
OVA-C4-IPTM80-19F	AF3	0.84	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e135_c4_iptm80_multiseed_batch04/af3/out_s2/ova_body_c4_03/seed-4_sample-1/ova_body_c4_03_seed-4_sample-1_model.cif
OVA-C4-IPTM80-19J	AF3	0.84	A-C,A-D,B-C,B-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e134_c4_iptm80_multiseed_batch03/af3/out_s6/ova_body_c4_07/seed-4_sample-4/ova_body_c4_07_seed-4_sample-4_model.cif
OVA-C4-IPTM80-19K	AF3	0.83	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e120_c4_iptm80_top6_seeds2_5_af3/out_s2/ova_body_c4_03/seed-5_sample-4/ova_body_c4_03_seed-5_sample-4_model.cif
OVA-C4-IPTM80-19L	AF3	0.84	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e120_c4_iptm80_top6_seeds2_5_af3/out_s3/ova_body_c4_04/seed-2_sample-3/ova_body_c4_04_seed-2_sample-3_model.cif
OVA-C4-IPTM80-19R	AF3	0.83	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s0/ova_body_c4_01/seed-2_sample-2/ova_body_c4_01_seed-2_sample-2_model.cif
OVA-C4-IPTM80-20A	AF3	0.86	A-B,A-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-1/ova_body_c4_05_seed-4_sample-1_model.cif
OVA-C4-IPTM80-20D	AF3	0.85	A-C,A-D,B-C,B-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
OVA-C4-IPTM80-20N	AF3	0.83	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e134_c4_iptm80_multiseed_batch03/af3/out_s4/ova_body_c4_05/seed-4_sample-0/ova_body_c4_05_seed-4_sample-0_model.cif
OVA-C4-IPTM80-20O	AF3	0.83	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e134_c4_iptm80_multiseed_batch03/af3/out_s5/ova_body_c4_06/seed-4_sample-0/ova_body_c4_06_seed-4_sample-0_model.cif
OVA-C4-IPTM80-20T	AF3	0.83	A-C,A-D,B-C,B-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e135_c4_iptm80_multiseed_batch04/af3/out_s6/ova_body_c4_07/seed-4_sample-1/ova_body_c4_07_seed-4_sample-1_model.cif
