system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path	source_system	seed
ova_body_c4_16_ms25_r01	seed-1_sample-0	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,8	1	248	46	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	89.73760354333591	89.67816056365176	1.5547618308334958	1.5630469203698836	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s7/ova_body_c4_16/seed-1_sample-0/ova_body_c4_16_seed-1_sample-0_model.cif	ova_body_c4_16	1
ova_body_c4_16_ms25_r01	seed-1_sample-1	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,8	1	247	48	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	89.65915149481185	89.61072535341886	1.6229334249717788	1.6307224927047705	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s7/ova_body_c4_16/seed-1_sample-1/ova_body_c4_16_seed-1_sample-1_model.cif	ova_body_c4_16	1
ova_body_c4_16_ms25_r01	seed-1_sample-2	0.84	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,8	1	241	45	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	90.1338665522442	90.08440417946929	1.5436057944531727	1.5524180549662887	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s7/ova_body_c4_16/seed-1_sample-2/ova_body_c4_16_seed-1_sample-2_model.cif	ova_body_c4_16	1
ova_body_c4_16_ms25_r01	seed-1_sample-3	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,7	1	241	47	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	89.488419705722	89.43225386229204	1.5734071126830682	1.5766556789303359	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s7/ova_body_c4_16/seed-1_sample-3/ova_body_c4_16_seed-1_sample-3_model.cif	ova_body_c4_16	1
ova_body_c4_16_ms25_r01	seed-1_sample-4	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,7	1	252	49	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	89.57617877802083	89.52681331931001	1.5979108888597024	1.6028006503669725	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s7/ova_body_c4_16/seed-1_sample-4/ova_body_c4_16_seed-1_sample-4_model.cif	ova_body_c4_16	1
ova_body_c4_16_ms25_r01	seed-2_sample-0	0.84	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,9,4	1	253	48	12	0.8	191,271,276,278,342,345,346,347,349,350,354,356	4	0	89.83444943452746	89.77860081134065	1.5641768837821466	1.567062087626832	experiments/e291_e289_remaining5_af3_multiseed/out_s0/ova_body_c4_16_ms25_r01/seed-2_sample-0/ova_body_c4_16_ms25_r01_seed-2_sample-0_model.cif	ova_body_c4_16	2
ova_body_c4_16_ms25_r01	seed-2_sample-1	0.84	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,4	1	255	47	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	89.56911270111954	89.53251295139135	1.5319765549621371	1.5351470048033438	experiments/e291_e289_remaining5_af3_multiseed/out_s0/ova_body_c4_16_ms25_r01/seed-2_sample-1/ova_body_c4_16_ms25_r01_seed-2_sample-1_model.cif	ova_body_c4_16	2
ova_body_c4_16_ms25_r01	seed-2_sample-2	0.83	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,7,4	1	252	48	10	0.6666666666666666	191,271,278,342,345,346,347,349,350,354	4	0	89.84375652253937	89.77388593446405	1.5824127849602692	1.5845210764340147	experiments/e291_e289_remaining5_af3_multiseed/out_s0/ova_body_c4_16_ms25_r01/seed-2_sample-2/ova_body_c4_16_ms25_r01_seed-2_sample-2_model.cif	ova_body_c4_16	2
ova_body_c4_16_ms25_r01	seed-2_sample-3	0.84	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,4	1	238	45	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	89.50038202809546	89.46624338812161	1.629297386952282	1.6316092939567373	experiments/e291_e289_remaining5_af3_multiseed/out_s0/ova_body_c4_16_ms25_r01/seed-2_sample-3/ova_body_c4_16_ms25_r01_seed-2_sample-3_model.cif	ova_body_c4_16	2
ova_body_c4_16_ms25_r01	seed-2_sample-4	0.83	0.86	61	0	61	61	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,8,4	1	244	49	11	0.7333333333333333	191,271,276,278,342,345,346,347,349,350,354	4	0	89.7436529144722	89.67606219355925	1.5560463877648576	1.5589321976563433	experiments/e291_e289_remaining5_af3_multiseed/out_s0/ova_body_c4_16_ms25_r01/seed-2_sample-4/ova_body_c4_16_ms25_r01_seed-2_sample-4_model.cif	ova_body_c4_16	2
