system	model	iptm	ptm	atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path
ova_body_c4_01	seed-1_sample-0	0.82	0.85	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,5,8	1	242	47	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	90.11250654032811	89.99310892727709	1.550345815274623	1.5557375767080686	experiments/e162_c4_105_reversion_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-0/ova_body_c4_01_seed-1_sample-0_model.cif
ova_body_c4_01	seed-1_sample-1	0.83	0.86	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,8	1	232	45	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	90.18623698684218	90.0765285689596	1.5280783347691496	1.5366393568778056	experiments/e162_c4_105_reversion_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
ova_body_c4_01	seed-1_sample-2	0.83	0.86	3	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,5,8	1	276	55	12	0.75	191,271,278,342,343,345,346,347,349,350,354,356	4	0	89.98350389016107	89.90525917685711	1.6420351369666542	1.6474103323396008	experiments/e162_c4_105_reversion_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-2/ova_body_c4_01_seed-1_sample-2_model.cif
ova_body_c4_01	seed-1_sample-3	0.83	0.86	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,5,8	1	252	48	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	90.25277837694	90.15784957371845	1.5661631609748576	1.5720233088341933	experiments/e162_c4_105_reversion_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-3/ova_body_c4_01_seed-1_sample-3_model.cif
ova_body_c4_01	seed-1_sample-4	0.83	0.85	1	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,5,8	1	251	47	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	90.15256468866774	90.06132110042276	1.566768041945476	1.5733639948322176	experiments/e162_c4_105_reversion_ai_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_02	seed-1_sample-0	0.8	0.83	0	0	5	A-C,A-D,B-C,B-D,C-D	4	2	1	3	2,2,1	A-C,B-D|A-D,B-C|C-D	5,8,1	1	216	45	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	89.81150249619557	89.7304921125501	1.5104026396068608	1.517102063304007	experiments/e162_c4_105_reversion_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif
ova_body_c4_02	seed-1_sample-1	0.8	0.84	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	4,8	1	232	47	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	89.79420983853117	89.71186531145956	1.523093926591231	1.5327372114535085	experiments/e162_c4_105_reversion_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_model.cif
ova_body_c4_02	seed-1_sample-2	0.81	0.85	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,8	1	238	47	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	90.03847794705722	89.95624344583621	1.525213001467312	1.5297518470614213	experiments/e162_c4_105_reversion_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif
ova_body_c4_02	seed-1_sample-3	0.81	0.85	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,8	1	246	48	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	89.99520075506497	89.92181352012516	1.543306254643002	1.5496764088507986	experiments/e162_c4_105_reversion_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif
ova_body_c4_02	seed-1_sample-4	0.82	0.85	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	1,4,8	1	251	52	11	0.6875	191,271,278,342,343,345,346,347,349,350,354	4	0	89.97710493068004	89.90800523510869	1.6041123857760824	1.6106394105189858	experiments/e162_c4_105_reversion_ai_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
