system	kind	n_chains	n_models	expected_models	complete	median_iptm	max_iptm	median_ptm	median_min_ova_plddt	median_min_module_plddt	median_min_binder_plddt	median_min_incident_iptm	median_contact_pair_iptm	median_contact_pair_pae	median_total_contacts	median_ova_contacts	median_module_contacts	full_connected_fraction	module_connected_fraction	unclashed_fraction	median_interface_jaccard	best_model	best_iptm	best_min_incident_iptm	best_cif
ova_body_c4_01	ova_body_c4_candidate	4	5	5	1	0.82	0.84	0.85	89.81	nan	nan	0.79	0.79	2.595	174.0	174.0	0.0	1.0	0.0	1.0	0.9048	seed-1_sample-4	0.84	0.8	experiments/e126_c4_iptm80_continue_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_02	ova_body_c4_candidate	4	5	5	1	0.84	0.85	0.87	91.25	nan	nan	0.81	0.81	2.465	203.0	203.0	0.0	1.0	0.0	1.0	0.9393	seed-1_sample-4	0.85	0.81	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif
ova_body_c4_03	ova_body_c4_candidate	4	5	5	1	0.3	0.3	0.46	84.87	nan	nan	0.27	0.2	19.045	207.0	207.0	0.0	1.0	0.0	1.0	0.8737	seed-1_sample-2	0.3	0.3	experiments/e126_c4_iptm80_continue_af3_seed1/out_s2/ova_body_c4_03/seed-1_sample-2/ova_body_c4_03_seed-1_sample-2_model.cif
ova_body_c4_04	ova_body_c4_candidate	4	5	5	1	0.82	0.82	0.85	89.72	nan	nan	0.78	0.78	2.765	170.0	170.0	0.0	1.0	0.0	1.0	0.9487	seed-1_sample-4	0.82	0.78	experiments/e126_c4_iptm80_continue_af3_seed1/out_s3/ova_body_c4_04/seed-1_sample-4/ova_body_c4_04_seed-1_sample-4_model.cif
ova_body_c4_05	ova_body_c4_candidate	4	5	5	1	0.73	0.75	0.79	88.8	nan	nan	0.7	0.68	3.95	179.0	179.0	0.0	1.0	0.0	1.0	0.9399	seed-1_sample-4	0.75	0.71	experiments/e126_c4_iptm80_continue_af3_seed1/out_s4/ova_body_c4_05/seed-1_sample-4/ova_body_c4_05_seed-1_sample-4_model.cif
ova_body_c4_06	ova_body_c4_candidate	4	5	5	1	0.82	0.83	0.85	89.93	nan	nan	0.78	0.775	2.74	186.0	186.0	0.0	1.0	0.0	1.0	0.9375	seed-1_sample-4	0.83	0.79	experiments/e126_c4_iptm80_continue_af3_seed1/out_s5/ova_body_c4_06/seed-1_sample-4/ova_body_c4_06_seed-1_sample-4_model.cif
ova_body_c4_07	ova_body_c4_candidate	4	5	5	1	0.41	0.42	0.55	86.27	nan	nan	0.52	0.395	12.685	339.0	339.0	0.0	1.0	0.0	1.0	0.8775	seed-1_sample-2	0.42	0.52	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_07/seed-1_sample-2/ova_body_c4_07_seed-1_sample-2_model.cif
ova_body_c4_08	ova_body_c4_candidate	4	5	5	1	0.81	0.81	0.84	89.73	nan	nan	0.77	0.765	2.93	182.0	182.0	0.0	1.0	0.0	1.0	0.9631	seed-1_sample-1	0.81	0.77	experiments/e126_c4_iptm80_continue_af3_seed1/out_s7/ova_body_c4_08/seed-1_sample-1/ova_body_c4_08_seed-1_sample-1_model.cif
ova_body_c4_09	ova_body_c4_candidate	4	5	5	1	0.77	0.78	0.82	89.5	nan	nan	0.73	0.72	3.715	176.0	176.0	0.0	1.0	0.0	1.0	0.9744	seed-1_sample-2	0.78	0.74	experiments/e126_c4_iptm80_continue_af3_seed1/out_s0/ova_body_c4_09/seed-1_sample-2/ova_body_c4_09_seed-1_sample-2_model.cif
ova_body_c4_10	ova_body_c4_candidate	4	5	5	1	0.83	0.84	0.86	90.17	nan	nan	0.8	0.78	2.8	190.0	190.0	0.0	1.0	0.0	1.0	0.9512	seed-1_sample-4	0.84	0.81	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_10/seed-1_sample-4/ova_body_c4_10_seed-1_sample-4_model.cif
ova_body_c4_11	ova_body_c4_candidate	4	5	5	1	0.8	0.81	0.84	90.02	nan	nan	0.76	0.76	2.98	177.0	177.0	0.0	1.0	0.0	1.0	0.9277	seed-1_sample-1	0.81	0.77	experiments/e126_c4_iptm80_continue_af3_seed1/out_s2/ova_body_c4_11/seed-1_sample-1/ova_body_c4_11_seed-1_sample-1_model.cif
ova_body_c4_12	ova_body_c4_candidate	4	5	5	1	0.37	0.37	0.51	85.85	nan	nan	0.46	0.345	15.295	346.0	346.0	0.0	1.0	0.0	1.0	0.8012	seed-1_sample-2	0.37	0.47	experiments/e126_c4_iptm80_continue_af3_seed1/out_s3/ova_body_c4_12/seed-1_sample-2/ova_body_c4_12_seed-1_sample-2_model.cif
ova_body_c4_13	ova_body_c4_candidate	4	5	5	1	0.4	0.41	0.54	86.74	nan	nan	0.56	0.395	12.4	329.0	329.0	0.0	1.0	0.0	1.0	0.8805	seed-1_sample-4	0.41	0.56	experiments/e126_c4_iptm80_continue_af3_seed1/out_s4/ova_body_c4_13/seed-1_sample-4/ova_body_c4_13_seed-1_sample-4_model.cif
ova_body_c4_14	ova_body_c4_candidate	4	5	5	1	0.3	0.32	0.47	84.75	nan	nan	0.28	0.25	19.56	371.0	371.0	0.0	1.0	0.0	1.0	0.7552	seed-1_sample-4	0.32	0.29	experiments/e126_c4_iptm80_continue_af3_seed1/out_s5/ova_body_c4_14/seed-1_sample-4/ova_body_c4_14_seed-1_sample-4_model.cif
ova_body_c4_15	ova_body_c4_candidate	4	5	5	1	0.36	0.37	0.5	85.72	nan	nan	0.44	0.335	15.035	298.0	298.0	0.0	1.0	0.0	1.0	0.7311	seed-1_sample-1	0.37	0.46	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_15/seed-1_sample-1/ova_body_c4_15_seed-1_sample-1_model.cif
ova_body_c4_16	ova_body_c4_candidate	4	5	5	1	0.21	0.25	0.39	84.8	nan	nan	0.16	0.14	24.65	323.0	323.0	0.0	1.0	0.0	1.0	0.4998	seed-1_sample-4	0.25	0.2	experiments/e126_c4_iptm80_continue_af3_seed1/out_s7/ova_body_c4_16/seed-1_sample-4/ova_body_c4_16_seed-1_sample-4_model.cif
ova_body_c4_17	ova_body_c4_candidate	4	5	5	1	0.31	0.36	0.47	86.85	nan	nan	0.36	0.255	17.035	164.0	164.0	0.0	1.0	0.0	1.0	0.8028	seed-1_sample-3	0.36	0.42	experiments/e126_c4_iptm80_continue_af3_seed1/out_s0/ova_body_c4_17/seed-1_sample-3/ova_body_c4_17_seed-1_sample-3_model.cif
ova_body_c4_18	ova_body_c4_candidate	4	5	5	1	0.68	0.69	0.74	88.44	nan	nan	0.77	0.545	7.87	405.0	405.0	0.0	1.0	0.0	1.0	0.8514	seed-1_sample-3	0.69	0.77	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_18/seed-1_sample-3/ova_body_c4_18_seed-1_sample-3_model.cif
ova_body_c4_19	ova_body_c4_candidate	4	5	5	1	0.83	0.83	0.86	89.96	nan	nan	0.79	0.785	2.57	193.0	193.0	0.0	1.0	0.0	1.0	0.9048	seed-1_sample-4	0.83	0.8	experiments/e126_c4_iptm80_continue_af3_seed1/out_s2/ova_body_c4_19/seed-1_sample-4/ova_body_c4_19_seed-1_sample-4_model.cif
ova_body_c4_20	ova_body_c4_candidate	4	5	5	1	0.8	0.8	0.84	89.84	nan	nan	0.76	0.75	3.025	192.0	192.0	0.0	1.0	0.0	1.0	0.975	seed-1_sample-2	0.8	0.76	experiments/e126_c4_iptm80_continue_af3_seed1/out_s3/ova_body_c4_20/seed-1_sample-2/ova_body_c4_20_seed-1_sample-2_model.cif
ova_body_c4_21	ova_body_c4_candidate	4	5	5	1	0.81	0.83	0.85	90.24	nan	nan	0.78	0.775	2.84	195.0	195.0	0.0	1.0	0.0	1.0	0.9101	seed-1_sample-4	0.83	0.79	experiments/e126_c4_iptm80_continue_af3_seed1/out_s4/ova_body_c4_21/seed-1_sample-4/ova_body_c4_21_seed-1_sample-4_model.cif
ova_body_c4_22	ova_body_c4_candidate	4	5	5	1	0.81	0.83	0.85	90.14	nan	nan	0.78	0.77	2.82	189.0	189.0	0.0	1.0	0.0	1.0	0.9631	seed-1_sample-4	0.83	0.79	experiments/e126_c4_iptm80_continue_af3_seed1/out_s5/ova_body_c4_22/seed-1_sample-4/ova_body_c4_22_seed-1_sample-4_model.cif
ova_body_c4_23	ova_body_c4_candidate	4	5	5	1	0.83	0.84	0.86	90.23	nan	nan	0.79	0.79	2.49	179.0	179.0	0.0	1.0	0.0	1.0	0.869	seed-1_sample-3	0.84	0.8	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-3/ova_body_c4_23_seed-1_sample-3_model.cif
ova_body_c4_24	ova_body_c4_candidate	4	5	5	1	0.63	0.65	0.71	89.01	nan	nan	0.59	0.545	7.97	194.0	194.0	0.0	1.0	0.0	1.0	0.8538	seed-1_sample-1	0.65	0.61	experiments/e126_c4_iptm80_continue_af3_seed1/out_s7/ova_body_c4_24/seed-1_sample-1/ova_body_c4_24_seed-1_sample-1_model.cif
