candidate	seed	model	iptm	min_incident_iptm	contact_pair_pae_median	cif_path
ova_body_c4_105_ms	1	seed-1_sample-0	0.8	0.77	3.1399999999999997	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-0/ova_body_c4_105_seed-1_sample-0_model.cif
ova_body_c4_105_ms	1	seed-1_sample-1	0.81	0.78	3.0	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-1/ova_body_c4_105_seed-1_sample-1_model.cif
ova_body_c4_105_ms	1	seed-1_sample-2	0.81	0.78	2.98	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-2/ova_body_c4_105_seed-1_sample-2_model.cif
ova_body_c4_105_ms	1	seed-1_sample-3	0.81	0.78	2.97	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-3/ova_body_c4_105_seed-1_sample-3_model.cif
ova_body_c4_105_ms	1	seed-1_sample-4	0.82	0.78	2.9850000000000003	experiments/e158_c4_iptm90_joint_surrogate_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-4/ova_body_c4_105_seed-1_sample-4_model.cif
ova_body_c4_105_ms	2	seed-2_sample-0	0.31	0.38	22.14	experiments/e159_c4_iptm90_105_multiseed/out_s0/ova_body_c4_105_ms/seed-2_sample-0/ova_body_c4_105_ms_seed-2_sample-0_model.cif
ova_body_c4_105_ms	2	seed-2_sample-1	0.27	0.33	20.14	experiments/e159_c4_iptm90_105_multiseed/out_s0/ova_body_c4_105_ms/seed-2_sample-1/ova_body_c4_105_ms_seed-2_sample-1_model.cif
ova_body_c4_105_ms	2	seed-2_sample-2	0.26	0.34	20.465	experiments/e159_c4_iptm90_105_multiseed/out_s0/ova_body_c4_105_ms/seed-2_sample-2/ova_body_c4_105_ms_seed-2_sample-2_model.cif
ova_body_c4_105_ms	2	seed-2_sample-3	0.29	0.36	22.545	experiments/e159_c4_iptm90_105_multiseed/out_s0/ova_body_c4_105_ms/seed-2_sample-3/ova_body_c4_105_ms_seed-2_sample-3_model.cif
ova_body_c4_105_ms	2	seed-2_sample-4	0.26	0.33	20.729999999999997	experiments/e159_c4_iptm90_105_multiseed/out_s0/ova_body_c4_105_ms/seed-2_sample-4/ova_body_c4_105_ms_seed-2_sample-4_model.cif
ova_body_c4_105_ms	3	seed-3_sample-0	0.83	0.79	2.815	experiments/e159_c4_iptm90_105_multiseed/out_s1/ova_body_c4_105_ms/seed-3_sample-0/ova_body_c4_105_ms_seed-3_sample-0_model.cif
ova_body_c4_105_ms	3	seed-3_sample-1	0.83	0.8	2.76	experiments/e159_c4_iptm90_105_multiseed/out_s1/ova_body_c4_105_ms/seed-3_sample-1/ova_body_c4_105_ms_seed-3_sample-1_model.cif
ova_body_c4_105_ms	3	seed-3_sample-2	0.83	0.8	2.8449999999999998	experiments/e159_c4_iptm90_105_multiseed/out_s1/ova_body_c4_105_ms/seed-3_sample-2/ova_body_c4_105_ms_seed-3_sample-2_model.cif
ova_body_c4_105_ms	3	seed-3_sample-3	0.82	0.79	2.84	experiments/e159_c4_iptm90_105_multiseed/out_s1/ova_body_c4_105_ms/seed-3_sample-3/ova_body_c4_105_ms_seed-3_sample-3_model.cif
ova_body_c4_105_ms	3	seed-3_sample-4	0.82	0.79	2.975	experiments/e159_c4_iptm90_105_multiseed/out_s1/ova_body_c4_105_ms/seed-3_sample-4/ova_body_c4_105_ms_seed-3_sample-4_model.cif
ova_body_c4_105_ms	4	seed-4_sample-0	0.82	0.78	2.9050000000000002	experiments/e159_c4_iptm90_105_multiseed/out_s2/ova_body_c4_105_ms/seed-4_sample-0/ova_body_c4_105_ms_seed-4_sample-0_model.cif
ova_body_c4_105_ms	4	seed-4_sample-1	0.83	0.79	2.85	experiments/e159_c4_iptm90_105_multiseed/out_s2/ova_body_c4_105_ms/seed-4_sample-1/ova_body_c4_105_ms_seed-4_sample-1_model.cif
ova_body_c4_105_ms	4	seed-4_sample-2	0.82	0.79	2.9	experiments/e159_c4_iptm90_105_multiseed/out_s2/ova_body_c4_105_ms/seed-4_sample-2/ova_body_c4_105_ms_seed-4_sample-2_model.cif
ova_body_c4_105_ms	4	seed-4_sample-3	0.82	0.78	2.91	experiments/e159_c4_iptm90_105_multiseed/out_s2/ova_body_c4_105_ms/seed-4_sample-3/ova_body_c4_105_ms_seed-4_sample-3_model.cif
ova_body_c4_105_ms	4	seed-4_sample-4	0.82	0.79	2.87	experiments/e159_c4_iptm90_105_multiseed/out_s2/ova_body_c4_105_ms/seed-4_sample-4/ova_body_c4_105_ms_seed-4_sample-4_model.cif
ova_body_c4_105_ms	5	seed-5_sample-0	0.83	0.8	2.745	experiments/e159_c4_iptm90_105_multiseed/out_s3/ova_body_c4_105_ms/seed-5_sample-0/ova_body_c4_105_ms_seed-5_sample-0_model.cif
ova_body_c4_105_ms	5	seed-5_sample-1	0.82	0.79	2.7350000000000003	experiments/e159_c4_iptm90_105_multiseed/out_s3/ova_body_c4_105_ms/seed-5_sample-1/ova_body_c4_105_ms_seed-5_sample-1_model.cif
