system	model	trans_binder_contacts	cis_binder_contacts	all_binders_trans_engaged	trans_largest_component	hotspot_coverage	hotspots_json	directed_contacts_json	cif_path
p3_bc70_pli_mid_g5	seed-1_sample-0	17	4	0	2	1	[157]	"{""A->A"": 1, ""A->B"": 0, ""A->C"": 0, ""A->D"": 4, ""B->A"": 4, ""B->B"": 1, ""B->C"": 0, ""B->D"": 0, ""C->A"": 0, ""C->B"": 4, ""C->C"": 1, ""C->D"": 0, ""D->A"": 0, ""D->B"": 0, ""D->C"": 5, ""D->D"": 1}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-1_sample-0/p3_bc70_pli_mid_g5_seed-1_sample-0_model.cif
p3_bc70_pli_mid_g5	seed-1_sample-1	32	83	1	2	0	[]	"{""A->A"": 24, ""A->B"": 8, ""A->C"": 0, ""A->D"": 0, ""B->A"": 8, ""B->B"": 20, ""B->C"": 0, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 20, ""C->D"": 8, ""D->A"": 0, ""D->B"": 0, ""D->C"": 8, ""D->D"": 19}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-1_sample-1/p3_bc70_pli_mid_g5_seed-1_sample-1_model.cif
p3_bc70_pli_mid_g5	seed-1_sample-2	0	154	0	1	0	[]	"{""A->A"": 38, ""A->B"": 0, ""A->C"": 0, ""A->D"": 0, ""B->A"": 0, ""B->B"": 38, ""B->C"": 0, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 40, ""C->D"": 0, ""D->A"": 0, ""D->B"": 0, ""D->C"": 0, ""D->D"": 38}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-1_sample-2/p3_bc70_pli_mid_g5_seed-1_sample-2_model.cif
p3_bc70_pli_mid_g5	seed-1_sample-3	77	54	1	4	3	[155, 157, 338]	"{""A->A"": 13, ""A->B"": 21, ""A->C"": 0, ""A->D"": 0, ""B->A"": 0, ""B->B"": 13, ""B->C"": 16, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 14, ""C->D"": 18, ""D->A"": 22, ""D->B"": 0, ""D->C"": 0, ""D->D"": 14}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-1_sample-3/p3_bc70_pli_mid_g5_seed-1_sample-3_model.cif
p3_bc70_pli_mid_g5	seed-1_sample-4	76	139	1	2	0	[]	"{""A->A"": 36, ""A->B"": 19, ""A->C"": 0, ""A->D"": 0, ""B->A"": 19, ""B->B"": 35, ""B->C"": 0, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 36, ""C->D"": 19, ""D->A"": 0, ""D->B"": 0, ""D->C"": 19, ""D->D"": 32}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-1_sample-4/p3_bc70_pli_mid_g5_seed-1_sample-4_model.cif
p3_bc70_pli_mid_g5	seed-2_sample-0	0	29	0	1	0	[]	"{""A->A"": 8, ""A->B"": 0, ""A->C"": 0, ""A->D"": 0, ""B->A"": 0, ""B->B"": 7, ""B->C"": 0, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 6, ""C->D"": 0, ""D->A"": 0, ""D->B"": 0, ""D->C"": 0, ""D->D"": 8}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-2_sample-0/p3_bc70_pli_mid_g5_seed-2_sample-0_model.cif
p3_bc70_pli_mid_g5	seed-2_sample-1	82	32	1	4	2	[155, 157]	"{""A->A"": 13, ""A->B"": 3, ""A->C"": 11, ""A->D"": 0, ""B->A"": 7, ""B->B"": 13, ""B->C"": 0, ""B->D"": 14, ""C->A"": 0, ""C->B"": 11, ""C->C"": 2, ""C->D"": 12, ""D->A"": 14, ""D->B"": 0, ""D->C"": 10, ""D->D"": 4}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-2_sample-1/p3_bc70_pli_mid_g5_seed-2_sample-1_model.cif
p3_bc70_pli_mid_g5	seed-2_sample-2	40	69	1	2	1	[338]	"{""A->A"": 17, ""A->B"": 8, ""A->C"": 0, ""A->D"": 0, ""B->A"": 12, ""B->B"": 18, ""B->C"": 0, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 16, ""C->D"": 8, ""D->A"": 0, ""D->B"": 0, ""D->C"": 12, ""D->D"": 18}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-2_sample-2/p3_bc70_pli_mid_g5_seed-2_sample-2_model.cif
p3_bc70_pli_mid_g5	seed-2_sample-3	80	91	1	2	0	[]	"{""A->A"": 22, ""A->B"": 24, ""A->C"": 0, ""A->D"": 0, ""B->A"": 15, ""B->B"": 26, ""B->C"": 0, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 22, ""C->D"": 23, ""D->A"": 0, ""D->B"": 0, ""D->C"": 18, ""D->D"": 21}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-2_sample-3/p3_bc70_pli_mid_g5_seed-2_sample-3_model.cif
p3_bc70_pli_mid_g5	seed-2_sample-4	76	188	0	3	0	[]	"{""A->A"": 45, ""A->B"": 0, ""A->C"": 0, ""A->D"": 0, ""B->A"": 10, ""B->B"": 56, ""B->C"": 0, ""B->D"": 2, ""C->A"": 0, ""C->B"": 64, ""C->C"": 36, ""C->D"": 0, ""D->A"": 0, ""D->B"": 0, ""D->C"": 0, ""D->D"": 51}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-2_sample-4/p3_bc70_pli_mid_g5_seed-2_sample-4_model.cif
p3_bc70_pli_mid_g5	seed-3_sample-0	69	50	1	4	0	[]	"{""A->A"": 13, ""A->B"": 18, ""A->C"": 0, ""A->D"": 0, ""B->A"": 0, ""B->B"": 12, ""B->C"": 19, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 13, ""C->D"": 17, ""D->A"": 15, ""D->B"": 0, ""D->C"": 0, ""D->D"": 12}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-3_sample-0/p3_bc70_pli_mid_g5_seed-3_sample-0_model.cif
p3_bc70_pli_mid_g5	seed-3_sample-1	105	38	1	4	4	[99, 155, 184, 338]	"{""A->A"": 10, ""A->B"": 12, ""A->C"": 0, ""A->D"": 17, ""B->A"": 10, ""B->B"": 10, ""B->C"": 15, ""B->D"": 0, ""C->A"": 0, ""C->B"": 16, ""C->C"": 8, ""C->D"": 9, ""D->A"": 15, ""D->B"": 0, ""D->C"": 11, ""D->D"": 10}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-3_sample-1/p3_bc70_pli_mid_g5_seed-3_sample-1_model.cif
p3_bc70_pli_mid_g5	seed-3_sample-2	67	83	1	4	0	[]	"{""A->A"": 21, ""A->B"": 16, ""A->C"": 0, ""A->D"": 0, ""B->A"": 0, ""B->B"": 21, ""B->C"": 17, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 19, ""C->D"": 17, ""D->A"": 17, ""D->B"": 0, ""D->C"": 0, ""D->D"": 22}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-3_sample-2/p3_bc70_pli_mid_g5_seed-3_sample-2_model.cif
p3_bc70_pli_mid_g5	seed-3_sample-3	12	0	0	1	0	[]	"{""A->A"": 0, ""A->B"": 3, ""A->C"": 0, ""A->D"": 0, ""B->A"": 0, ""B->B"": 0, ""B->C"": 3, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 0, ""C->D"": 3, ""D->A"": 3, ""D->B"": 0, ""D->C"": 0, ""D->D"": 0}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-3_sample-3/p3_bc70_pli_mid_g5_seed-3_sample-3_model.cif
p3_bc70_pli_mid_g5	seed-3_sample-4	36	82	1	4	0	[]	"{""A->A"": 21, ""A->B"": 0, ""A->C"": 0, ""A->D"": 8, ""B->A"": 11, ""B->B"": 20, ""B->C"": 0, ""B->D"": 0, ""C->A"": 0, ""C->B"": 7, ""C->C"": 20, ""C->D"": 0, ""D->A"": 0, ""D->B"": 0, ""D->C"": 10, ""D->D"": 21}"	experiments/e13_bindcraft_fusion_screen/out_s0/p3_bc70_pli_mid_g5/seed-3_sample-4/p3_bc70_pli_mid_g5_seed-3_sample-4_model.cif
bc70_p3_pli_n_g5	seed-1_sample-0	0	211	0	1	0	[]	"{""A->A"": 54, ""A->B"": 0, ""A->C"": 0, ""A->D"": 0, ""B->A"": 0, ""B->B"": 52, ""B->C"": 0, ""B->D"": 0, ""C->A"": 0, ""C->B"": 0, ""C->C"": 53, ""C->D"": 0, ""D->A"": 0, ""D->B"": 0, ""D->C"": 0, ""D->D"": 52}"	experiments/e13_bindcraft_fusion_screen/out_s1/bc70_p3_pli_n_g5/seed-1_sample-0/bc70_p3_pli_n_g5_seed-1_sample-0_model.cif
