task_index	job_name	slurm_job_id	experiment	status	configuration
0	ky-20260901-610	152504	AI11_AF3ensemble_shared_parameter_multistate_v1	COMPLETED	BB1_weights_7_5_seed_offset_30000_logits24_soft12_hard6
1	ky-20260901-611	152505	AI11_AF3ensemble_shared_parameter_multistate_v1	COMPLETED	BB1_weights_5_7_seed_offset_30000_logits24_soft12_hard6
2	ky-20260901-612	152506	AI11_AF3ensemble_shared_parameter_multistate_v1	COMPLETED	BB2_weights_7_5_seed_offset_30000_logits24_soft12_hard6
3	ky-20260901-613	152507	AI11_AF3ensemble_shared_parameter_multistate_v1	COMPLETED	BB2_weights_5_7_seed_offset_30000_logits24_soft12_hard6
4	ky-20260901-614	152508	AI11_AF3ensemble_shared_parameter_multistate_v1	COMPLETED	BB3_weights_7_5_seed_offset_30000_logits24_soft12_hard6
5	ky-20260901-615	152509	AI11_AF3ensemble_shared_parameter_multistate_v1	COMPLETED	BB3_weights_5_7_seed_offset_30000_logits24_soft12_hard6
6	ky-20260901-616	152510	AI11_AF3ensemble_shared_parameter_multistate_v1	COMPLETED	BB4_weights_7_5_seed_offset_30000_logits24_soft12_hard6
7	ky-20260901-617	152511	AI11_AF3ensemble_shared_parameter_multistate_v1	COMPLETED	BB4_weights_5_7_seed_offset_30000_logits24_soft12_hard6
0	ky-20260901-650	152589	AI11_AF3ensemble_shared_parameter_multistate_v2	COMPLETED	BB1_weights_7_5_seed_offset_32000_logits30_soft15_hard8
1	ky-20260901-651	152590	AI11_AF3ensemble_shared_parameter_multistate_v2	COMPLETED	BB1_weights_5_7_seed_offset_32000_logits30_soft15_hard8
2	ky-20260901-652	152591	AI11_AF3ensemble_shared_parameter_multistate_v2	COMPLETED	BB2_weights_7_5_seed_offset_32000_logits30_soft15_hard8
3	ky-20260901-653	152592	AI11_AF3ensemble_shared_parameter_multistate_v2	COMPLETED	BB2_weights_5_7_seed_offset_32000_logits30_soft15_hard8
4	ky-20260901-654	152593	AI11_AF3ensemble_shared_parameter_multistate_v2	COMPLETED	BB3_weights_7_5_seed_offset_32000_logits30_soft15_hard8
5	ky-20260901-655	152594	AI11_AF3ensemble_shared_parameter_multistate_v2	COMPLETED	BB3_weights_5_7_seed_offset_32000_logits30_soft15_hard8
6	ky-20260901-656	152595	AI11_AF3ensemble_shared_parameter_multistate_v2	COMPLETED	BB4_weights_7_5_seed_offset_32000_logits30_soft15_hard8
7	ky-20260901-657	152596	AI11_AF3ensemble_shared_parameter_multistate_v2	COMPLETED	BB4_weights_5_7_seed_offset_32000_logits30_soft15_hard8
0	ky-20260901-675	152714	AI11_AF3ensemble_shared_parameter_multistate_v3	COMPLETED	BB1_weights_8_6_seed_offset_34000_logits24_soft12_hard6
1	ky-20260901-676	152715	AI11_AF3ensemble_shared_parameter_multistate_v3	COMPLETED	BB1_weights_6_8_seed_offset_34000_logits24_soft12_hard6
2	ky-20260901-677	152716	AI11_AF3ensemble_shared_parameter_multistate_v3	COMPLETED	BB2_weights_8_6_seed_offset_34000_logits24_soft12_hard6
3	ky-20260901-678	152717	AI11_AF3ensemble_shared_parameter_multistate_v3	COMPLETED	BB2_weights_6_8_seed_offset_34000_logits24_soft12_hard6
4	ky-20260901-679	152718	AI11_AF3ensemble_shared_parameter_multistate_v3	COMPLETED	BB3_weights_8_6_seed_offset_34000_logits24_soft12_hard6
5	ky-20260901-680	152719	AI11_AF3ensemble_shared_parameter_multistate_v3	COMPLETED	BB3_weights_6_8_seed_offset_34000_logits24_soft12_hard6
6	ky-20260901-681	152720	AI11_AF3ensemble_shared_parameter_multistate_v3	COMPLETED	BB4_weights_8_6_seed_offset_34000_logits24_soft12_hard6
7	ky-20260901-682	152721	AI11_AF3ensemble_shared_parameter_multistate_v3	DATA_COMPLETE_POSTSCRIPT_FAILED	BB4_weights_6_8_seed_offset_34000_logits24_soft12_hard6
