candidate	n_seeds	seeds	mean_iptm	median_iptm	min_iptm	mean_min_incident_iptm	mean_ptm	mean_plddt_normalized	mean_interface_gpde	full_connected_zero_clash_clean_models	main_topology_cluster_size	topology_cluster_sizes	af3_protenix_contact_jaccard	shared_nonvdw_position_type_count	gate_protenix_5_seeds	gate_protenix_5of5_geometry_clean	gate_protenix_mean_iptm_ge0p70	gate_protenix_median_iptm_ge0p70	gate_protenix_min_iptm_ge0p60	gate_protenix_mean_weakest_ge0p65	gate_protenix_mean_ptm_ge0p82	gate_protenix_mean_plddt_ge0p85	gate_protenix_mean_interface_pae_le7p5	gate_protenix_main_cluster_ge4	gate_protenix_af3_jaccard_ge0p40	gate_protenix_shared_nonvdw_ge8	crossmodel_validated	failed_protenix_gates
OVA-C4-IPTM80-20A	1	31	0.6084041595458984	0.6084041595458984	0.6084041595458984	0.6201736330986023	0.692448079586029	0.8592150115966797	6.78044064839681	0	1	1	0.7535211267605634		0	0	0	0	0	0	0	0	0	0	1	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21B	1	31	0.7852120399475098	0.7852120399475098	0.7852120399475098	0.7518014907836914	0.8249118328094482	0.871661148071289	2.712790548801422	0	1	1	0.6228373702422145		0	0	0	0	0	0	0	0	0	0	1	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21C	1	31	0.4000166058540344	0.4000166058540344	0.4000166058540344	0.4756709933280945	0.5345080494880676	0.8376290893554688	10.087836742401123	0	1	1	0.18141592920353983		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-20D	1	31	0.4107922315597534	0.4107922315597534	0.4107922315597534	0.5036317110061646	0.5428053736686707	0.8384223937988281	9.838706851005554	0	1	1	0.17418032786885246		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21E	1	31	0.4254540503025055	0.4254540503025055	0.4254540503025055	0.583848237991333	0.5535415410995483	0.8396154022216797	9.72373104095459	0	1	1	0.17692307692307693		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-19F	1	31	0.4653635025024414	0.4653635025024414	0.4653635025024414	0.616030752658844	0.5835512280464172	0.8439863586425781	8.761265993118286	0	1	1	0.2891246684350133		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21G	1	31	0.3479412794113159	0.3479412794113159	0.3479412794113159	0.4587736129760742	0.49467554688453674	0.8258028411865235	11.773505449295044	0	1	1	0.1426056338028169		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21H	1	31	0.34670302271842957	0.34670302271842957	0.34670302271842957	0.32831111550331116	0.49659159779548645	0.8432755279541015	11.68437925974528	0	1	1	0.1065989847715736		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21I	1	31	0.6688290238380432	0.6688290238380432	0.6688290238380432	0.7020742893218994	0.7375360131263733	0.8579979705810546	5.440991242726644	0	1	1	0.45382585751978893		0	0	0	0	0	0	0	0	0	0	1	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-19J	1	31	0.5576468110084534	0.5576468110084534	0.5576468110084534	0.5907049179077148	0.652594804763794	0.8550531005859375	5.270228683948517	0	1	1	0.2776349614395887		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
