candidate	kind	seed	iptm	ptm	plddt_normalized	min_incident_iptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path	summary_path	topology_cluster	in_main_topology_cluster
ova_body_c4_073_ms	accepted_af3_candidate	101	0.2634127736091614	0.4328731894493103	0.8477529144287109	0.23690982162952423	16	0	16	16	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	5,10	1	238	46	14	0.8235294117647058	155,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	87.16154790295221	87.03160620971047	1.6686298377041688	1.6762495972130147	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_101/predictions/ova_body_c4_073_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_101/predictions/ova_body_c4_073_ms_opendde_c4_summary_confidence_sample_0.json	1	1
ova_body_c4_073_ms	accepted_af3_candidate	102	0.28319481015205383	0.44811201095581055	0.8481050872802735	0.2786550223827362	4	1	3	3	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	7,8	1	218	47	14	0.8235294117647058	155,182,191,276,278,285,342,343,345,346,347,349,350,354	4	0	87.17180706182292	87.03217632906424	1.6738081799203803	1.6851034042310005	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_102/predictions/ova_body_c4_073_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_102/predictions/ova_body_c4_073_ms_opendde_c4_summary_confidence_sample_0.json	3	0
ova_body_c4_073_ms	accepted_af3_candidate	103	0.26618459820747375	0.434585839509964	0.8471408081054688	0.24981772899627686	14	0	14	14	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	5,10	1	256	52	14	0.8235294117647058	155,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	87.08700778200219	86.94336799265807	1.647721146361799	1.6547550943358906	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_103/predictions/ova_body_c4_073_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_103/predictions/ova_body_c4_073_ms_opendde_c4_summary_confidence_sample_0.json	1	1
ova_body_c4_073_ms	accepted_af3_candidate	104	0.27233123779296875	0.4307679235935211	0.8441173553466796	0.24832093715667725	19	0	19	19	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	8,5	1	237	43	12	0.7058823529411765	182,191,271,276,342,343,345,346,347,349,350,354	4	0	86.76056346498005	86.60378235732954	1.6864427866463465	1.6886282179043095	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_104/predictions/ova_body_c4_073_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_104/predictions/ova_body_c4_073_ms_opendde_c4_summary_confidence_sample_0.json	2	0
ova_body_c4_073_ms	accepted_af3_candidate	105	0.26173582673072815	0.42954519391059875	0.8409649658203125	0.25778570771217346	37	0	37	11	1	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	10,5,7	1	336	59	14	0.8235294117647058	155,182,191,271,276,278,285,342,343,345,346,347,349,350	4	0	86.41854276064146	86.28015535977221	1.7469244022400838	1.7616209159980054	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_105/predictions/ova_body_c4_073_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_105/predictions/ova_body_c4_073_ms_opendde_c4_summary_confidence_sample_0.json	4	0
ova_body_c4_073_ms	accepted_af3_candidate	106	0.2701248824596405	0.4299834668636322	0.8432341003417969	0.24494032561779022	31	0	31	26	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	10,7	1	286	49	14	0.8235294117647058	155,182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	86.65898962959724	86.52326428704929	1.695822374223783	1.7024925477422437	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_106/predictions/ova_body_c4_073_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_106/predictions/ova_body_c4_073_ms_opendde_c4_summary_confidence_sample_0.json	2	0
ova_body_c4_073_ms	accepted_af3_candidate	107	0.3582203984260559	0.49399420619010925	0.8534088134765625	0.4511822462081909	8	0	8	5	0	4	A-B,A-C,B-D,C-D	4	2	1	3	2,1,1	A-B,C-D|A-C|B-D	10,1,6	1	312	80	15	0.8823529411764706	155,182,191,271,276,278,285,337,342,343,345,346,349,350,354	4	0	87.69608158151102	87.59880831822213	1.7001407461053655	1.7083131028439102	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_107/predictions/ova_body_c4_073_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_107/predictions/ova_body_c4_073_ms_opendde_c4_summary_confidence_sample_0.json	5	0
ova_body_c4_073_ms	accepted_af3_candidate	108	0.28202930092811584	0.4493821859359741	0.8445319366455079	0.39420562982559204	577	0	577	502	8	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	9,10,7	1	700	57	12	0.7058823529411765	191,271,276,278,342,343,345,346,347,349,350,354	4	0	86.79647660378966	86.66673567381548	1.7257750207223703	1.7343048567112023	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_108/predictions/ova_body_c4_073_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_108/predictions/ova_body_c4_073_ms_opendde_c4_summary_confidence_sample_0.json	6	0
ova_body_c4_073_ms	accepted_af3_candidate	109	0.26116684079170227	0.4239739775657654	0.8415004730224609	0.24178330600261688	171	0	171	167	0	4	A-B,A-C,B-D,C-D	4	2	1	2	2,2	A-B,C-D|A-C,B-D	11,3	1	377	54	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	86.49874345008573	86.35059571142641	1.6659516719557663	1.6756789875023694	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_109/predictions/ova_body_c4_073_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_109/predictions/ova_body_c4_073_ms_opendde_c4_summary_confidence_sample_0.json	7	0
ova_body_c4_073_ms	accepted_af3_candidate	110	0.2618502676486969	0.4316130578517914	0.8481925964355469	0.243468776345253	4	0	4	4	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	6,9	1	216	44	13	0.7647058823529411	182,191,271,276,278,342,343,345,346,347,349,350,354	4	0	87.19676809607392	87.05248689404424	1.6457036412061763	1.6502742215998265	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_110/predictions/ova_body_c4_073_ms_opendde_c4_sample_0.cif	/root/400083/ova_p3_tetramer_design/experiments/e214_c4_073_opendde_v1/out/ova_body_c4_073_ms_opendde_c4/seed_110/predictions/ova_body_c4_073_ms_opendde_c4_summary_confidence_sample_0.json	8	0
