task_index	name	job_id	configuration	status	reason
0	ky-20260831-368	151882	full_c4_initial	FAILED	manifest_relative_path_before_project_chdir
1	ky-20260831-369	151883	full_c4_initial	FAILED	manifest_relative_path_before_project_chdir
2	ky-20260831-370	151884	full_c4_initial	FAILED	manifest_relative_path_before_project_chdir
3	ky-20260831-371	151885	full_c4_initial	FAILED	manifest_relative_path_before_project_chdir
4	ky-20260831-372	151886	full_c4_initial	FAILED	manifest_relative_path_before_project_chdir
5	ky-20260831-373	151887	full_c4_initial	FAILED	manifest_relative_path_before_project_chdir
6	ky-20260831-374	151888	full_c4_initial	FAILED	manifest_relative_path_before_project_chdir
7	ky-20260831-375	151889	full_c4_initial	FAILED	manifest_relative_path_before_project_chdir
0	ky-20260831-384	151926	full_c4_corrected	FAILED	AF2_backprop_requested_299341376744_bytes
1	ky-20260831-385	151927	full_c4_corrected	FAILED	AF2_backprop_requested_299341376744_bytes
2	ky-20260831-386	151928	full_c4_corrected	FAILED	AF2_backprop_requested_299341376744_bytes
3	ky-20260831-387	151929	full_c4_corrected	FAILED	AF2_backprop_requested_299341376744_bytes
4	ky-20260831-388	151930	full_c4_corrected	FAILED	AF2_backprop_requested_299341376744_bytes
5	ky-20260831-389	151931	full_c4_corrected	FAILED	AF2_backprop_requested_299341376744_bytes
6	ky-20260831-390	151932	full_c4_corrected	CANCELLED	stopped_after_reproduced_memory_limit
7	ky-20260831-391	151933	full_c4_corrected	CANCELLED	stopped_after_reproduced_memory_limit
0	ky-20260831-392	151956	shared_parameter_multistate_smoke	COMPLETED	one_joint_gradient_update_and_two_final_predictions_completed
0	ky-20260831-393	151958	shared_parameter_multistate_full	COMPLETED	16_mutation_endpoint
1	ky-20260831-394	151959	shared_parameter_multistate_full	COMPLETED	18_mutation_endpoint
2	ky-20260831-395	151960	shared_parameter_multistate_full	COMPLETED	16_mutation_endpoint
3	ky-20260831-396	151961	shared_parameter_multistate_full	OUTPUT_COMPLETE_WRAPPER_FAILED	live_wrapper_update_after_complete_python_output
4	ky-20260831-397	151962	shared_parameter_multistate_full	OUTPUT_COMPLETE_WRAPPER_FAILED	live_wrapper_update_after_complete_python_output
5	ky-20260831-398	151963	shared_parameter_multistate_full	OUTPUT_COMPLETE_WRAPPER_FAILED	live_wrapper_update_after_complete_python_output
6	ky-20260831-399	151964	shared_parameter_multistate_full	COMPLETED	17_mutation_endpoint
7	ky-20260831-400	151965	shared_parameter_multistate_full	COMPLETED	15_mutation_endpoint
0	ky-20260901-401	152034	shared_parameter_multistate_seed_offset_2000	COMPLETED	18_mutation_endpoint_best_track_min_iptm_0p544
1	ky-20260901-402	152035	shared_parameter_multistate_seed_offset_2000	COMPLETED	18_mutation_endpoint_state_iptm_0p525_0p576
2	ky-20260901-403	152037	shared_parameter_multistate_seed_offset_2000	COMPLETED	16_mutation_endpoint_best_track_min_iptm_0p428
3	ky-20260901-404	152038	shared_parameter_multistate_seed_offset_2000	COMPLETED	15_mutation_endpoint_best_track_min_iptm_0p422
4	ky-20260901-406	152054	shared_parameter_multistate_seed_offset_2000	COMPLETED	16_mutation_endpoint_best_track_min_iptm_0p319
5	ky-20260901-407	152055	shared_parameter_multistate_seed_offset_2000	COMPLETED	17_mutation_endpoint_best_track_min_iptm_0p454
6	ky-20260901-408	152056	shared_parameter_multistate_seed_offset_2000	COMPLETED	18_mutation_endpoint_best_track_min_iptm_0p143
7	ky-20260901-425	152074	shared_parameter_multistate_seed_offset_2000	COMPLETED	best_track_single_sided_min_iptm_0p177
0	ky-20260901-426	152083	shared_parameter_multistate_seed_offset_4000	COMPLETED	output_transferred_run_zw3_00
1	ky-20260901-427	152084	shared_parameter_multistate_seed_offset_4000	COMPLETED	output_transferred_run_zw3_01
2	ky-20260901-428	152086	shared_parameter_multistate_seed_offset_4000	COMPLETED	output_transferred_run_zw3_02
3	ky-20260901-429	152089	shared_parameter_multistate_seed_offset_4000	COMPLETED	17_mutation_best_track_min_iptm_0p394_run_zw3
4	ky-20260901-430	152090	shared_parameter_multistate_seed_offset_4000	COMPLETED	output_transferred_run_zw3_04
5	ky-20260901-431	152091	shared_parameter_multistate_seed_offset_4000	COMPLETED	output_transferred_run_zw3_05
6	ky-20260901-432	152092	shared_parameter_multistate_seed_offset_4000	COMPLETED	16_mutation_endpoint_weak_run_zw3_06
7	ky-20260901-433	152095	shared_parameter_multistate_seed_offset_4000	COMPLETED	16_mutation_best_track_min_iptm_0p387_run_zw3
0	ky-20260901-434	152096	shared_parameter_multistate_seed_offset_6000	COMPLETED	18_mutation_hard_best_min_iptm_0p528_run_zw4
1	ky-20260901-435	152097	shared_parameter_multistate_seed_offset_6000	COMPLETED	15_mutation_best_track_min_iptm_0p198_run_zw4
2	ky-20260901-436	152098	shared_parameter_multistate_seed_offset_6000	COMPLETED	18_mutation_logits_best_min_iptm_0p471_run_zw4
3	ky-20260901-437	152099	shared_parameter_multistate_seed_offset_6000	COMPLETED	17_mutation_logits_best_min_iptm_0p414_run_zw4
4	ky-20260901-438	152100	shared_parameter_multistate_seed_offset_6000	COMPLETED	17_mutation_logits_best_min_iptm_0p463_run_zw4
5	ky-20260901-439	152101	shared_parameter_multistate_seed_offset_6000	COMPLETED	16_mutation_logits_best_min_iptm_0p437_run_zw4
6	ky-20260901-440	152102	shared_parameter_multistate_seed_offset_6000	COMPLETED	15_mutation_best_track_min_iptm_0p139_run_zw4
7	ky-20260901-441	152103	shared_parameter_multistate_seed_offset_6000	COMPLETED	output_transferred_run_zw4_07
0	ky-20260901-446	152104	shared_parameter_multistate_seed_offset_8000	COMPLETED	output_transferred_run_zw5_00
1	ky-20260901-447	152105	shared_parameter_multistate_seed_offset_8000	COMPLETED	output_transferred_run_zw5_01
2	ky-20260901-448	152106	shared_parameter_multistate_seed_offset_8000	COMPLETED	output_transferred_run_zw5_02
3	ky-20260901-449	152107	shared_parameter_multistate_seed_offset_8000	COMPLETED	output_transferred_run_zw5_03
4	ky-20260901-450	152108	shared_parameter_multistate_seed_offset_8000	COMPLETED	output_transferred_run_zw5_04
5	ky-20260901-451	152109	shared_parameter_multistate_seed_offset_8000	COMPLETED	output_transferred_run_zw5_05
6	ky-20260901-452	152110	shared_parameter_multistate_seed_offset_8000	COMPLETED	output_transferred_run_zw5_06
7	ky-20260901-453	152111	shared_parameter_multistate_seed_offset_8000	COMPLETED	output_transferred_run_zw5_07
0	ky-20260901-471	152126	shared_parameter_multistate_seed_offset_10000	COMPLETED	output_transferred_run_zw6_00
1	ky-20260901-472	152127	shared_parameter_multistate_seed_offset_10000	COMPLETED	output_transferred_run_zw6_01
2	ky-20260901-473	152128	shared_parameter_multistate_seed_offset_10000	COMPLETED	output_transferred_run_zw6_02
3	ky-20260901-474	152129	shared_parameter_multistate_seed_offset_10000	COMPLETED	output_transferred_run_zw6_03
4	ky-20260901-475	152130	shared_parameter_multistate_seed_offset_10000	COMPLETED	output_transferred_run_zw6_04
5	ky-20260901-476	152131	shared_parameter_multistate_seed_offset_10000	COMPLETED	output_transferred_run_zw6_05
6	ky-20260901-477	152132	shared_parameter_multistate_seed_offset_10000	COMPLETED	output_transferred_run_zw6_06
7	ky-20260901-478	152133	shared_parameter_multistate_seed_offset_10000	COMPLETED	output_transferred_run_zw6_07
