candidate	seed	n_models	mean_iptm	min_iptm	max_iptm
OVA-C4-IPTM80-20A	1	5	0.85	0.85	0.85
OVA-C4-IPTM80-20A	2	5	0.8379999999999999	0.83	0.84
OVA-C4-IPTM80-20A	3	5	0.8459999999999999	0.84	0.85
OVA-C4-IPTM80-20A	4	5	0.852	0.85	0.86
OVA-C4-IPTM80-20A	5	5	0.8480000000000001	0.84	0.85
OVA-C4-IPTM80-21B	1	5	0.8319999999999999	0.83	0.84
OVA-C4-IPTM80-21B	2	5	0.842	0.83	0.85
OVA-C4-IPTM80-21B	3	5	0.8320000000000001	0.83	0.84
OVA-C4-IPTM80-21B	4	5	0.828	0.81	0.84
OVA-C4-IPTM80-21B	5	5	0.8480000000000001	0.84	0.85
OVA-C4-IPTM80-20C	1	5	0.844	0.84	0.85
OVA-C4-IPTM80-20C	2	5	0.8299999999999998	0.82	0.84
OVA-C4-IPTM80-20C	3	5	0.8320000000000001	0.83	0.84
OVA-C4-IPTM80-20C	4	5	0.8240000000000001	0.81	0.83
OVA-C4-IPTM80-20C	5	5	0.828	0.82	0.83
OVA-C4-IPTM80-21D	1	5	0.8219999999999998	0.81	0.83
OVA-C4-IPTM80-21D	2	5	0.82	0.81	0.83
OVA-C4-IPTM80-21D	3	5	0.828	0.82	0.83
OVA-C4-IPTM80-21D	4	5	0.834	0.83	0.84
OVA-C4-IPTM80-21D	5	5	0.8119999999999999	0.8	0.82
OVA-C4-IPTM80-21E	1	5	0.8300000000000001	0.82	0.84
OVA-C4-IPTM80-21E	2	5	0.82	0.82	0.82
OVA-C4-IPTM80-21E	3	5	0.8320000000000001	0.83	0.84
OVA-C4-IPTM80-21E	4	5	0.8219999999999998	0.81	0.83
OVA-C4-IPTM80-21E	5	5	0.8080000000000002	0.8	0.81
OVA-C4-IPTM80-21F	1	5	0.826	0.82	0.84
OVA-C4-IPTM80-21F	2	5	0.826	0.82	0.83
OVA-C4-IPTM80-21F	3	5	0.818	0.81	0.83
OVA-C4-IPTM80-21F	4	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-21F	5	5	0.818	0.81	0.83
OVA-C4-IPTM80-19G	1	5	0.818	0.81	0.82
OVA-C4-IPTM80-19G	2	5	0.812	0.81	0.82
OVA-C4-IPTM80-19G	3	5	0.8160000000000001	0.81	0.82
OVA-C4-IPTM80-19G	4	5	0.8160000000000001	0.8	0.83
OVA-C4-IPTM80-19G	5	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-19H	1	5	0.818	0.81	0.83
OVA-C4-IPTM80-19H	2	5	0.834	0.83	0.84
OVA-C4-IPTM80-19H	3	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-19H	4	5	0.818	0.8	0.83
OVA-C4-IPTM80-19H	5	5	0.782	0.76	0.79
OVA-C4-IPTM80-21I	1	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-21I	2	5	0.82	0.82	0.82
OVA-C4-IPTM80-21I	3	5	0.8099999999999999	0.8	0.82
OVA-C4-IPTM80-21I	4	5	0.79	0.78	0.8
OVA-C4-IPTM80-21I	5	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-19J	1	5	0.8099999999999999	0.8	0.82
OVA-C4-IPTM80-19J	2	5	0.82	0.81	0.83
OVA-C4-IPTM80-19J	3	5	0.796	0.79	0.8
OVA-C4-IPTM80-19J	4	5	0.8140000000000001	0.81	0.83
OVA-C4-IPTM80-19J	5	5	0.804	0.79	0.82
OVA-C4-IPTM80-18K	1	5	0.806	0.8	0.82
OVA-C4-IPTM80-18K	2	5	0.8100000000000002	0.8	0.82
OVA-C4-IPTM80-18K	3	5	0.806	0.8	0.82
OVA-C4-IPTM80-18K	4	5	0.8160000000000001	0.81	0.82
OVA-C4-IPTM80-18K	5	5	0.78	0.77	0.79
OVA-C4-IPTM80-21L	1	5	0.8160000000000001	0.81	0.82
OVA-C4-IPTM80-21L	2	5	0.82	0.81	0.83
OVA-C4-IPTM80-21L	3	5	0.808	0.8	0.82
OVA-C4-IPTM80-21L	4	5	0.774	0.76	0.79
OVA-C4-IPTM80-21L	5	5	0.8	0.79	0.81
OVA-C4-IPTM80-17M	1	5	0.8160000000000001	0.81	0.82
OVA-C4-IPTM80-17M	2	5	0.8100000000000002	0.81	0.81
OVA-C4-IPTM80-17M	3	5	0.8160000000000001	0.81	0.82
OVA-C4-IPTM80-17M	4	5	0.8100000000000002	0.81	0.81
OVA-C4-IPTM80-17M	5	5	0.752	0.74	0.76
OVA-C4-IPTM80-19N	1	5	0.8099999999999999	0.8	0.83
OVA-C4-IPTM80-19N	2	5	0.818	0.81	0.82
OVA-C4-IPTM80-19N	3	5	0.8160000000000001	0.81	0.82
OVA-C4-IPTM80-19N	4	5	0.8100000000000002	0.81	0.81
OVA-C4-IPTM80-19N	5	5	0.748	0.73	0.76
