task_index	job_name	slurm_job_id	mode	status	note
0	ky-20260901-470	152125	tied_c4_proteinmpnn_smoke	FAILED	api_and_tying_ok_but_2_of_2_rejected_by_mutation_budget
0	ky-20260901-479	152134	tied_c4_proteinmpnn_smoke2	FAILED	64_of_64_rejected_mutation_budget_or_glycosylation_no_diagnostics_before_patch
0	ky-20260901-480	152135	tied_c4_proteinmpnn_smoke3	FAILED	bias_1p7_nmut_23_30_but_in_budget_samples_failed_glyco_filter
0	ky-20260901-481	152136	tied_c4_proteinmpnn_smoke4	FAILED	11_in_budget_samples_all_failed_glycosylation_filter
0	ky-20260901-490	152146	tied_c4_proteinmpnn_smoke5	FAILED	glycosylation_fixed_but_8_in_budget_samples_failed_surface_fraction_at_0p783_to_0p792
0	ky-20260901-491	152147	tied_c4_proteinmpnn_smoke6	FAILED	buried_native_bias_1p0_left_same_8_surface_fraction_failures
0	ky-20260901-494	152148	tied_c4_proteinmpnn_smoke7	FAILED	buried_native_bias_3p0_left_same_8_surface_fraction_failures
0	ky-20260901-495	152149	tied_c4_proteinmpnn_smoke8	COMPLETED	40_unique_valid_of_256_nmut22_to24_surface0p818_to0p864
0	ky-20260901-496	152150	tied_c4_proteinmpnn_formal1	COMPLETED	19k_r0_512_samples_73_shortlisted
1	ky-20260901-497	152151	tied_c4_proteinmpnn_formal1	COMPLETED	19k_r1_512_samples_82_shortlisted
2	ky-20260901-498	152152	tied_c4_proteinmpnn_formal1	COMPLETED	21b_r0_512_samples_128_shortlisted
3	ky-20260901-499	152153	tied_c4_proteinmpnn_formal1	COMPLETED	21b_r1_512_samples_128_shortlisted
4	ky-20260901-500	152154	tied_c4_proteinmpnn_formal1	COMPLETED	21s_r0_512_samples_128_shortlisted
5	ky-20260901-501	152155	tied_c4_proteinmpnn_formal1	COMPLETED	21s_r1_512_samples_128_shortlisted
6	ky-20260901-502	152156	tied_c4_proteinmpnn_formal1	COMPLETED	20a_r0_512_samples_128_shortlisted
7	ky-20260901-503	152157	tied_c4_proteinmpnn_formal1	COMPLETED	20a_r1_512_samples_128_shortlisted
0	ky-20260901-507	152162	tied_c4_proteinmpnn_formal2	COMPLETED	19k_r0_temp0p12_512_samples_seed_offset5000
1	ky-20260901-508	152163	tied_c4_proteinmpnn_formal2	COMPLETED	19k_r1_temp0p12_512_samples_seed_offset5000
2	ky-20260901-509	152164	tied_c4_proteinmpnn_formal2	COMPLETED	21b_r0_temp0p12_512_samples_seed_offset5000
