system	model	n_chains	iptm	ptm	min_ova_plddt	min_module_plddt	min_binder_plddt	ranking_score	has_clash	contact_edges	largest_component	full_connected	module_full_connected	total_contacts	ova_contacts	module_contacts	min_incident_iptm	contact_pair_iptm_median	contact_pair_pae_median	contacts_json	interface_residues_json	summary_path	cif_path
ova_body_c4_73_n1	seed-1_sample-0	1	0.0	0.92	90.92829022382826	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-1_sample-0/ova_body_c4_73_n1_seed-1_sample-0_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-1_sample-0/ova_body_c4_73_n1_seed-1_sample-0_model.cif
ova_body_c4_73_n1	seed-1_sample-1	1	0.0	0.92	90.68336783295469	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-1_sample-1/ova_body_c4_73_n1_seed-1_sample-1_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-1_sample-1/ova_body_c4_73_n1_seed-1_sample-1_model.cif
ova_body_c4_73_n1	seed-1_sample-2	1	0.0	0.92	90.74386001745036	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-1_sample-2/ova_body_c4_73_n1_seed-1_sample-2_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-1_sample-2/ova_body_c4_73_n1_seed-1_sample-2_model.cif
ova_body_c4_73_n1	seed-1_sample-3	1	0.0	0.92	90.91417098168883	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-1_sample-3/ova_body_c4_73_n1_seed-1_sample-3_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-1_sample-3/ova_body_c4_73_n1_seed-1_sample-3_model.cif
ova_body_c4_73_n1	seed-1_sample-4	1	0.0	0.92	90.67707256455496	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-1_sample-4/ova_body_c4_73_n1_seed-1_sample-4_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-1_sample-4/ova_body_c4_73_n1_seed-1_sample-4_model.cif
ova_body_c4_73_n1	seed-2_sample-0	1	0.0	0.92	90.33580315545433	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-2_sample-0/ova_body_c4_73_n1_seed-2_sample-0_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-2_sample-0/ova_body_c4_73_n1_seed-2_sample-0_model.cif
ova_body_c4_73_n1	seed-2_sample-1	1	0.0	0.92	90.7354921924018	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-2_sample-1/ova_body_c4_73_n1_seed-2_sample-1_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-2_sample-1/ova_body_c4_73_n1_seed-2_sample-1_model.cif
ova_body_c4_73_n1	seed-2_sample-2	1	0.0	0.92	90.14810872448541	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-2_sample-2/ova_body_c4_73_n1_seed-2_sample-2_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-2_sample-2/ova_body_c4_73_n1_seed-2_sample-2_model.cif
ova_body_c4_73_n1	seed-2_sample-3	1	0.0	0.92	90.8343781090771	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-2_sample-3/ova_body_c4_73_n1_seed-2_sample-3_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-2_sample-3/ova_body_c4_73_n1_seed-2_sample-3_model.cif
ova_body_c4_73_n1	seed-2_sample-4	1	0.0	0.92	90.42800543592384	nan	nan	0.92	0.0	0	1	0	0	0	0	0	0.0	nan	nan	{}	[]	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-2_sample-4/ova_body_c4_73_n1_seed-2_sample-4_summary_confidences.json	/root/400083/ova_p3_tetramer_design/experiments/e171_c4_073_stoichiometry_v1/out_s0/ova_body_c4_73_n1/seed-2_sample-4/ova_body_c4_73_n1_seed-2_sample-4_model.cif
