system	kind	n_chains	n_models	expected_models	complete	median_iptm	max_iptm	median_ptm	median_min_ova_plddt	median_min_module_plddt	median_min_binder_plddt	median_min_incident_iptm	median_contact_pair_iptm	median_contact_pair_pae	median_total_contacts	median_ova_contacts	median_module_contacts	full_connected_fraction	module_connected_fraction	unclashed_fraction	median_interface_jaccard	best_model	best_iptm	best_min_incident_iptm	best_cif
ova_body_c4_01	ova_body_c4_candidate	4	5	5	1	0.45	0.49	0.58	86.63	nan	nan	0.54	0.34	14.805	384.0	384.0	0.0	1.0	0.0	1.0	0.8224	seed-1_sample-1	0.49	0.57	experiments/e110_lowmut_c4_af3_screen/out_s0/ova_body_c4_01/seed-1_sample-1/ova_body_c4_01_seed-1_sample-1_model.cif
ova_body_c4_02	ova_body_c4_candidate	4	5	5	1	0.49	0.5	0.61	87.28	nan	nan	0.54	0.365	14.65	394.0	394.0	0.0	1.0	0.0	1.0	0.8958	seed-1_sample-2	0.5	0.56	experiments/e110_lowmut_c4_af3_screen/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif
ova_body_c4_03	ova_body_c4_candidate	4	5	5	1	0.38	0.39	0.52	86.37	nan	nan	0.49	0.23	18.73	437.0	437.0	0.0	1.0	0.0	1.0	0.9204	seed-1_sample-0	0.39	0.49	experiments/e110_lowmut_c4_af3_screen/out_s2/ova_body_c4_03/seed-1_sample-0/ova_body_c4_03_seed-1_sample-0_model.cif
ova_body_c4_04	ova_body_c4_candidate	4	5	5	1	0.21	0.22	0.39	85.88	nan	nan	0.17	0.12	24.69	330.0	330.0	0.0	1.0	0.0	1.0	0.3333	seed-1_sample-1	0.22	0.19	experiments/e110_lowmut_c4_af3_screen/out_s3/ova_body_c4_04/seed-1_sample-1/ova_body_c4_04_seed-1_sample-1_model.cif
ova_body_c4_05	ova_body_c4_candidate	4	5	5	1	0.48	0.56	0.59	85.43	nan	nan	0.45	0.405	11.12	413.0	413.0	0.0	1.0	0.0	1.0	0.5467	seed-1_sample-1	0.56	0.59	experiments/e110_lowmut_c4_af3_screen/out_s4/ova_body_c4_05/seed-1_sample-1/ova_body_c4_05_seed-1_sample-1_model.cif
ova_body_c4_06	ova_body_c4_candidate	4	5	5	1	0.34	0.34	0.49	86.46	nan	nan	0.48	0.325	15.69	336.0	336.0	0.0	1.0	0.0	1.0	0.8345	seed-1_sample-3	0.34	0.49	experiments/e110_lowmut_c4_af3_screen/out_s5/ova_body_c4_06/seed-1_sample-3/ova_body_c4_06_seed-1_sample-3_model.cif
ova_body_c4_07	ova_body_c4_candidate	4	5	5	1	0.67	0.7	0.74	88.69	nan	nan	0.67	0.615	6.035	251.0	251.0	0.0	1.0	0.0	1.0	0.9033	seed-1_sample-4	0.7	0.7	experiments/e110_lowmut_c4_af3_screen/out_s6/ova_body_c4_07/seed-1_sample-4/ova_body_c4_07_seed-1_sample-4_model.cif
ova_body_c4_08	ova_body_c4_candidate	4	5	5	1	0.78	0.79	0.82	89.4	nan	nan	0.74	0.73	3.44	192.0	192.0	0.0	1.0	0.0	1.0	0.8623	seed-1_sample-4	0.79	0.74	experiments/e110_lowmut_c4_af3_screen/out_s7/ova_body_c4_08/seed-1_sample-4/ova_body_c4_08_seed-1_sample-4_model.cif
ova_body_c4_09	ova_body_c4_candidate	4	5	5	1	0.2	0.21	0.38	85.54	nan	nan	0.15	0.13	22.17	245.0	245.0	0.0	1.0	0.0	1.0	0.5443	seed-1_sample-0	0.21	0.18	experiments/e110_lowmut_c4_af3_screen/out_s0/ova_body_c4_09/seed-1_sample-0/ova_body_c4_09_seed-1_sample-0_model.cif
ova_body_c4_10	ova_body_c4_candidate	4	5	5	1	0.66	0.74	0.74	87.56	nan	nan	0.68	0.58	7.485	417.0	417.0	0.0	1.0	0.0	1.0	0.9036	seed-1_sample-4	0.74	0.74	experiments/e110_lowmut_c4_af3_screen/out_s1/ova_body_c4_10/seed-1_sample-4/ova_body_c4_10_seed-1_sample-4_model.cif
ova_body_c4_11	ova_body_c4_candidate	4	5	5	1	0.65	0.68	0.72	85.92	nan	nan	0.65	0.56	6.75	346.0	346.0	0.0	1.0	0.0	1.0	0.8292	seed-1_sample-1	0.68	0.68	experiments/e110_lowmut_c4_af3_screen/out_s2/ova_body_c4_11/seed-1_sample-1/ova_body_c4_11_seed-1_sample-1_model.cif
