system	kind	n_chains	n_models	expected_models	complete	median_iptm	max_iptm	median_ptm	median_min_ova_plddt	median_min_module_plddt	median_min_binder_plddt	median_min_incident_iptm	median_contact_pair_iptm	median_contact_pair_pae	median_total_contacts	median_ova_contacts	median_module_contacts	full_connected_fraction	module_connected_fraction	unclashed_fraction	median_interface_jaccard	best_model	best_iptm	best_min_incident_iptm	best_cif
ova_body_c4_01	ova_body_c4_candidate	4	5	5	1	0.67	0.7	0.74	88.69	nan	nan	0.67	0.615	6.035	251.0	251.0	0.0	1.0	0.0	1.0	0.9033	seed-1_sample-4	0.7	0.7	experiments/e116_c4_iptm80_recomb_af3/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
ova_body_c4_02	ova_body_c4_candidate	4	5	5	1	0.2	0.21	0.38	84.34	nan	nan	0.15	0.145	25.11	315.0	315.0	0.0	1.0	0.0	1.0	0.5714	seed-1_sample-3	0.21	0.16	experiments/e116_c4_iptm80_recomb_af3/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif
ova_body_c4_03	ova_body_c4_candidate	4	5	5	1	0.27	0.33	0.44	86.01	nan	nan	0.36	0.245	20.195	323.0	323.0	0.0	1.0	0.0	1.0	0.5925	seed-1_sample-4	0.33	0.39	experiments/e116_c4_iptm80_recomb_af3/out_s2/ova_body_c4_03/seed-1_sample-4/ova_body_c4_03_seed-1_sample-4_model.cif
ova_body_c4_04	ova_body_c4_candidate	4	5	5	1	0.19	0.2	0.38	84.2	nan	nan	0.14	0.13	25.43	327.0	327.0	0.0	1.0	0.0	1.0	0.4192	seed-1_sample-1	0.2	0.18	experiments/e116_c4_iptm80_recomb_af3/out_s3/ova_body_c4_04/seed-1_sample-1/ova_body_c4_04_seed-1_sample-1_model.cif
ova_body_c4_05	ova_body_c4_candidate	4	5	5	1	0.52	0.54	0.63	86.85	nan	nan	0.59	0.495	8.6	349.0	349.0	0.0	1.0	0.0	1.0	0.821	seed-1_sample-4	0.54	0.6	experiments/e116_c4_iptm80_recomb_af3/out_s4/ova_body_c4_05/seed-1_sample-4/ova_body_c4_05_seed-1_sample-4_model.cif
ova_body_c4_06	ova_body_c4_candidate	4	5	5	1	0.61	0.63	0.7	87.46	nan	nan	0.66	0.59	6.43	354.0	354.0	0.0	1.0	0.0	1.0	0.8494	seed-1_sample-2	0.63	0.67	experiments/e116_c4_iptm80_recomb_af3/out_s5/ova_body_c4_06/seed-1_sample-2/ova_body_c4_06_seed-1_sample-2_model.cif
ova_body_c4_07	ova_body_c4_candidate	4	5	5	1	0.39	0.42	0.53	85.98	nan	nan	0.48	0.27	14.955	349.0	349.0	0.0	1.0	0.0	1.0	0.6178	seed-1_sample-2	0.42	0.49	experiments/e116_c4_iptm80_recomb_af3/out_s0/ova_body_c4_07/seed-1_sample-2/ova_body_c4_07_seed-1_sample-2_model.cif
ova_body_c4_08	ova_body_c4_candidate	4	5	5	1	0.41	0.41	0.54	86.15	nan	nan	0.5	0.385	13.165	323.0	323.0	0.0	1.0	0.0	1.0	0.8538	seed-1_sample-1	0.41	0.51	experiments/e116_c4_iptm80_recomb_af3/out_s1/ova_body_c4_08/seed-1_sample-1/ova_body_c4_08_seed-1_sample-1_model.cif
ova_body_c4_09	ova_body_c4_candidate	4	5	5	1	0.33	0.36	0.48	86.44	nan	nan	0.37	0.215	18.765	254.0	254.0	0.0	1.0	0.0	1.0	0.7522	seed-1_sample-2	0.36	0.39	experiments/e116_c4_iptm80_recomb_af3/out_s2/ova_body_c4_09/seed-1_sample-2/ova_body_c4_09_seed-1_sample-2_model.cif
ova_body_c4_10	ova_body_c4_candidate	4	5	5	1	0.25	0.26	0.42	85.72	nan	nan	0.24	0.16	22.685	257.0	257.0	0.0	1.0	0.0	1.0	0.7376	seed-1_sample-2	0.26	0.26	experiments/e116_c4_iptm80_recomb_af3/out_s3/ova_body_c4_10/seed-1_sample-2/ova_body_c4_10_seed-1_sample-2_model.cif
ova_body_c4_11	ova_body_c4_candidate	4	5	5	1	0.32	0.33	0.47	86.71	nan	nan	0.38	0.18	19.8	262.0	262.0	0.0	1.0	0.0	1.0	0.7391	seed-1_sample-3	0.33	0.38	experiments/e116_c4_iptm80_recomb_af3/out_s4/ova_body_c4_11/seed-1_sample-3/ova_body_c4_11_seed-1_sample-3_model.cif
ova_body_c4_12	ova_body_c4_candidate	4	5	5	1	0.24	0.24	0.42	85.69	nan	nan	0.24	0.14	23.48	317.0	317.0	0.0	1.0	0.0	1.0	0.648	seed-1_sample-1	0.24	0.25	experiments/e116_c4_iptm80_recomb_af3/out_s5/ova_body_c4_12/seed-1_sample-1/ova_body_c4_12_seed-1_sample-1_model.cif
