gate	pass_count	evaluated_count	candidate_count
af3_gate_af3_25_native_ss_complete	18	20	20
af3_gate_af3_25_valid_c4_network	18	20	20
af3_gate_af3_25_zero_atomic_clash	0	20	20
af3_gate_af3_25_zero_ca_overlap	20	20	20
af3_gate_af3_25_zero_interchain_ss	20	20	20
af3_gate_af3_design_ge80_fraction_ge_0p60	20	20	20
af3_gate_af3_each_seed_mean_ge_0p78	20	20	20
af3_gate_af3_main_topology_cluster_ge20	20	20	20
af3_gate_af3_max_chain_rmsd_le_2p0	17	20	20
af3_gate_af3_max_pae_le_5p0	20	20	20
af3_gate_af3_mean_design_recurrence_ge_0p65	20	20	20
af3_gate_af3_mean_iptm_gt_0p80	20	20	20
af3_gate_af3_mean_pae_le_4p0	20	20	20
af3_gate_af3_mean_plddt_ge_85	20	20	20
af3_gate_af3_mean_weakest_ge_0p75	20	20	20
af3_gate_af3_median_iptm_ge_0p80	20	20	20
af3_gate_af3_min_iptm_ge_0p75	20	20	20
af3_gate_af3_min_weakest_ge_0p70	20	20	20
af3_gate_af3_model_count_25	20	20	20
af3_gate_af3_two_interfaces_design_ge3_in_ge20_models	19	20	20
gate_opendde_prolif_any_fraction_ge0p50	0	20	20
gate_opendde_prolif_major_hotspots_symmetry_ge3of4	0	20	20
gate_opendde_prolif_nonvdw_count_ge6	0	20	20
gate_opendde_prolif_nonvdw_fraction_ge0p25	0	20	20
gate_opendde_prolif_shared_af3_nonvdw_ge1	0	20	20
gate_opendde_prolif_two_interfaces_nonvdw_ge2	0	20	20
gate_prolif_design_any_fraction_ge0p50	18	20	20
gate_prolif_design_nonvdw_count_ge6	20	20	20
gate_prolif_design_nonvdw_fraction_ge0p25	20	20	20
gate_prolif_major_hotspots_symmetry_ge3of4	20	20	20
gate_prolif_two_interfaces_nonvdw_ge2	18	20	20
gate_seq_length_386	20	20	20
gate_seq_mutations_le25	20	20	20
gate_seq_native_cys_unchanged	20	20	20
gate_seq_no_glyco_motif_change	20	20	20
gate_seq_no_unapproved_core_pro_gly_change	18	20	20
gate_seq_siinfecl_intact	20	20	20
gate_seq_standard_aa_only	20	20	20
gate_seq_surface_fraction_ge0p80	0	20	20
opendde_gate_opendde_10_seeds	20	20	20
protenix_gate_protenix_5_seeds	20	20	20
protenix_gate_protenix_5of5_geometry_clean	0	20	20
protenix_gate_protenix_af3_jaccard_ge0p40	10	20	20
protenix_gate_protenix_main_cluster_ge4	10	20	20
protenix_gate_protenix_mean_interface_pae_le7p5	9	20	20
protenix_gate_protenix_mean_iptm_ge0p70	3	20	20
protenix_gate_protenix_mean_plddt_ge0p85	11	20	20
protenix_gate_protenix_mean_ptm_ge0p82	1	20	20
protenix_gate_protenix_mean_weakest_ge0p65	4	20	20
protenix_gate_protenix_median_iptm_ge0p70	4	20	20
protenix_gate_protenix_min_iptm_ge0p60	2	20	20
protenix_gate_protenix_shared_nonvdw_ge8	10	20	20
rosetta_gate_rosetta_chain_rmsd_le2	20	20	20
rosetta_gate_rosetta_dG_dSASA_le_minus1	19	20	20
rosetta_gate_rosetta_ensemble_100	0	20	20
rosetta_gate_rosetta_topology_ge0p90	20	20	20
rosetta_gate_rosetta_unsat_per_1000A2_le2	0	20	20
rosetta_gate_rosetta_weakest_hbonds_ge3	4	20	20
rosetta_gate_rosetta_weakest_sc_ge0p60	11	20	20
rosetta_gate_rosetta_zero_clash_fraction_ge0p90	17	20	20
rosetta_gate_rosetta_zero_overlap_fraction_ge0p90	20	20	20
stoich_gate_stoich_c1_max_rmsd_le2	20	20	20
stoich_gate_stoich_c1_plddt_ge85	20	20	20
stoich_gate_stoich_c1_ptm_ge0p88	20	20	20
stoich_gate_stoich_c3_c5_c6_high_connected_le0p20	20	20	20
stoich_gate_stoich_c3_c5_c6_mean_below0p65	20	20	20
stoich_gate_stoich_complete_15_models_each	20	20	20
stoich_gate_stoich_no_disconnected_high_conf_competitor	20	20	20
stoich_gate_stoich_second_interface_unique_ge20of25	20	20	20
stoich_gate_stoich_specificity_ge0p15	20	20	20
