rank	candidate	source_system	n_mutations	af3_mean_iptm_25models	protenix_seed	protenix_iptm	protenix_ptm	protenix_plddt	protenix_min_incident_iptm	largest_component	full_connected	has_clash	native_c74_c121_bonds	interchain_ss_bonds	contact_edges	score_json	summary_json	cif
1	OVA-C4-IPTM80-20A	ova_body_c4_103	20	0.8467999999999999	31	0.6084041595458984	0.692448079586029	85.92150115966797	0.6201736330986023	4	1	0	4	0	A-B,A-C,A-D,B-C,B-D,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_20a_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_20a_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_20a_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_20a_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_20a_protenix_sample_0.cif
2	OVA-C4-IPTM80-21B	ova_body_c4_47	21	0.8408	31	0.7852120399475098	0.8249118328094482	87.1661148071289	0.7518014907836914	4	1	0	4	0	A-B,A-C,A-D,B-C,B-D,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_21b_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_21b_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21b_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_21b_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21b_protenix_sample_0.cif
3	OVA-C4-IPTM80-21C	ova_body_c4_23	21	0.8364	31	0.4000166058540344	0.5345080494880676	83.76290893554688	0.4756709933280945	4	1	0	4	0	A-C,A-D,B-C,B-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_21c_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_21c_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21c_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_21c_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21c_protenix_sample_0.cif
4	OVA-C4-IPTM80-20D	ova_body_c4_02	20	0.8316	31	0.4107922315597534	0.5428053736686707	83.84223937988281	0.5036317110061646	4	1	0	4	0	A-C,A-D,B-C,B-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_20d_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_20d_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_20d_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_20d_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_20d_protenix_sample_0.cif
5	OVA-C4-IPTM80-21E	ova_body_c4_43	21	0.8308	31	0.4254540503025055	0.5535415410995483	83.96154022216797	0.583848237991333	4	1	0	4	0	A-B,A-D,B-C,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_21e_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_21e_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21e_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_21e_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21e_protenix_sample_0.cif
6	OVA-C4-IPTM80-19F	ova_body_c4_48	19	0.824	31	0.4653635025024414	0.5835512280464172	84.39863586425781	0.616030752658844	4	1	0	4	0	A-C,A-D,B-C,B-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_19f_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_19f_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_19f_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_19f_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_19f_protenix_sample_0.cif
7	OVA-C4-IPTM80-21G	ova_body_c4_105	21	0.8231999999999999	31	0.3479412794113159	0.49467554688453674	82.58028411865234	0.4587736129760742	4	1	0	4	0	A-B,A-D,B-C,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_21g_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_21g_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21g_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_21g_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21g_protenix_sample_0.cif
8	OVA-C4-IPTM80-21H	ova_body_c4_10	21	0.8223999999999999	31	0.34670302271842957	0.49659159779548645	84.32755279541016	0.32831111550331116	4	1	0	4	0	A-B,A-C,A-D,B-C,B-D,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_21h_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_21h_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21h_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_21h_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21h_protenix_sample_0.cif
9	OVA-C4-IPTM80-21I	ova_body_c4_01	21	0.8220000000000001	31	0.6688290238380432	0.7375360131263733	85.79979705810547	0.7020742893218994	4	1	0	4	0	A-B,A-C,A-D,B-C,B-D,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_21i_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_21i_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21i_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_21i_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21i_protenix_sample_0.cif
10	OVA-C4-IPTM80-19J	ova_body_c4_107	19	0.8216	31	0.5576468110084534	0.652594804763794	85.50531005859375	0.5907049179077148	4	1	0	4	0	A-C,A-D,B-C,B-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_19j_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_19j_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_19j_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_19j_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_19j_protenix_sample_0.cif
