shard	candidate	seed	input_json
0	OVA-C4-IPTM80-19F	11	input/ova_iptm80_ova_c4_iptm80_19f_protenix.json
1	OVA-C4-IPTM80-19J	11	input/ova_iptm80_ova_c4_iptm80_19j_protenix.json
2	OVA-C4-IPTM80-19K	11	input/ova_iptm80_ova_c4_iptm80_19k_protenix.json
3	OVA-C4-IPTM80-19L	11	input/ova_iptm80_ova_c4_iptm80_19l_protenix.json
4	OVA-C4-IPTM80-19R	11	input/ova_iptm80_ova_c4_iptm80_19r_protenix.json
5	OVA-C4-IPTM80-20A	11	input/ova_iptm80_ova_c4_iptm80_20a_protenix.json
6	OVA-C4-IPTM80-20D	11	input/ova_iptm80_ova_c4_iptm80_20d_protenix.json
7	OVA-C4-IPTM80-20N	11	input/ova_iptm80_ova_c4_iptm80_20n_protenix.json
0	OVA-C4-IPTM80-20O	11	input/ova_iptm80_ova_c4_iptm80_20o_protenix.json
1	OVA-C4-IPTM80-20T	11	input/ova_iptm80_ova_c4_iptm80_20t_protenix.json
2	OVA-C4-IPTM80-21B	11	input/ova_iptm80_ova_c4_iptm80_21b_protenix.json
3	OVA-C4-IPTM80-21C	11	input/ova_iptm80_ova_c4_iptm80_21c_protenix.json
4	OVA-C4-IPTM80-21E	11	input/ova_iptm80_ova_c4_iptm80_21e_protenix.json
5	OVA-C4-IPTM80-21G	11	input/ova_iptm80_ova_c4_iptm80_21g_protenix.json
6	OVA-C4-IPTM80-21H	11	input/ova_iptm80_ova_c4_iptm80_21h_protenix.json
7	OVA-C4-IPTM80-21I	11	input/ova_iptm80_ova_c4_iptm80_21i_protenix.json
0	OVA-C4-IPTM80-21M	11	input/ova_iptm80_ova_c4_iptm80_21m_protenix.json
1	OVA-C4-IPTM80-21P	11	input/ova_iptm80_ova_c4_iptm80_21p_protenix.json
2	OVA-C4-IPTM80-21S	11	input/ova_iptm80_ova_c4_iptm80_21s_protenix.json
3	OVA-C4-IPTM80-22Q	11	input/ova_iptm80_ova_c4_iptm80_22q_protenix.json
4	OVA-C4-IPTM80-19F	21	input/ova_iptm80_ova_c4_iptm80_19f_protenix.json
