global_iteration	stage	stage_iteration	n_tasks	best_task_min_iptm	median_task_min_iptm	best_task_mean_iptm	median_task_mean_iptm
1	logits	1	8	0.164	0.1435	0.5141249999999999	0.1808125
2	logits	2	8	0.181	0.14200000000000002	0.434625	0.21
3	logits	3	8	0.216	0.1455	0.450875	0.2544375
4	logits	4	8	0.171	0.1545	0.406625	0.26449999999999996
5	logits	5	8	0.185	0.14200000000000002	0.563125	0.258125
6	logits	6	8	0.222	0.1475	0.52075	0.26825
7	logits	7	8	0.214	0.14250000000000002	0.4405	0.23518750000000002
8	logits	8	8	0.168	0.14100000000000001	0.43074999999999997	0.2411875
9	logits	9	8	0.233	0.155	0.50525	0.31043750000000003
10	logits	10	8	0.344	0.15799999999999997	0.5522500000000001	0.3255625
11	logits	11	8	0.222	0.15300000000000002	0.43225	0.325875
12	logits	12	8	0.226	0.1585	0.47550000000000003	0.32525000000000004
13	logits	13	8	0.184	0.148	0.51825	0.3213125
14	logits	14	8	0.253	0.156	0.536125	0.29862500000000003
15	logits	15	8	0.483	0.152	0.56275	0.27425
16	logits	16	8	0.478	0.165	0.533625	0.25706249999999997
17	soft	1	8	0.22	0.1525	0.422375	0.2680625
18	soft	2	8	0.185	0.1565	0.46087500000000003	0.19075
19	soft	3	8	0.54	0.165	0.6091249999999999	0.24631250000000002
20	soft	4	8	0.37	0.1545	0.4255	0.2094375
21	soft	5	8	0.234	0.1485	0.379375	0.2565625
22	soft	6	8	0.367	0.154	0.443	0.19175
23	soft	7	8	0.352	0.1515	0.42474999999999996	0.19975
24	soft	8	8	0.347	0.164	0.41575	0.2218125
25	hard	1	8	0.324	0.1595	0.63725	0.30218750000000005
26	hard	2	8	0.324	0.155	0.63725	0.272625
27	hard	3	8	0.324	0.1845	0.63725	0.29475
28	hard	4	8	0.324	0.155	0.63725	0.195
