seed	model	iptm	weakest_chain	interface_pae_a	min_ova_plddt	full_connected	has_clash	confidence_pass	observed_ss_bonds	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean_ring	joint_pass	cif_path
1	seed-1_sample-0	0.74	0.73	2.325	88.37274598828252	1	0	1	4	4	0	0	0	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-1_sample-0/ova_body_c4_03_seed-1_sample-0_model.cif
1	seed-1_sample-1	0.74	0.73	2.335	88.82901559345463	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-1_sample-1/ova_body_c4_03_seed-1_sample-1_model.cif
1	seed-1_sample-2	0.72	0.71	2.455	88.57116561850118	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-1_sample-2/ova_body_c4_03_seed-1_sample-2_model.cif
1	seed-1_sample-3	0.73	0.73	2.34	88.69637283760031	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-1_sample-3/ova_body_c4_03_seed-1_sample-3_model.cif
1	seed-1_sample-4	0.72	0.72	2.4050000000000002	88.66961145153935	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-1_sample-4/ova_body_c4_03_seed-1_sample-4_model.cif
2	seed-2_sample-0	0.79	0.79	1.7850000000000001	89.02116584777832	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-2_sample-0/ova_body_c4_03_seed-2_sample-0_model.cif
2	seed-2_sample-1	0.79	0.79	1.81	89.65803112761344	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-2_sample-1/ova_body_c4_03_seed-2_sample-1_model.cif
2	seed-2_sample-2	0.78	0.78	1.86	89.52202060679697	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-2_sample-2/ova_body_c4_03_seed-2_sample-2_model.cif
2	seed-2_sample-3	0.78	0.78	1.8849999999999998	88.93378249845357	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-2_sample-3/ova_body_c4_03_seed-2_sample-3_model.cif
2	seed-2_sample-4	0.78	0.78	1.87	89.56152856658777	1	0	1	11	4	0	0	0	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-2_sample-4/ova_body_c4_03_seed-2_sample-4_model.cif
3	seed-3_sample-0	0.79	0.78	1.81	89.38564754150075	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-3_sample-0/ova_body_c4_03_seed-3_sample-0_model.cif
3	seed-3_sample-1	0.79	0.79	1.895	89.45116603436247	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-3_sample-1/ova_body_c4_03_seed-3_sample-1_model.cif
3	seed-3_sample-2	0.79	0.79	1.815	89.56041471451675	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-3_sample-2/ova_body_c4_03_seed-3_sample-2_model.cif
3	seed-3_sample-3	0.8	0.79	1.755	89.6409324784353	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-3_sample-3/ova_body_c4_03_seed-3_sample-3_model.cif
3	seed-3_sample-4	0.79	0.79	1.78	89.72243524462448	1	0	1	12	4	0	1	1	experiments/e35_third_disulfide_af3/out_s2/ova_body_c4_03/seed-3_sample-4/ova_body_c4_03_seed-3_sample-4_model.cif
4	seed-4_sample-0	0.79	0.78	1.82	89.49613999085105	1	0	1	8	4	0	0	0	experiments/e40_ss3_ai03_reseed/out_s0/ova_body_ss3_ai03_reseed/seed-4_sample-0/ova_body_ss3_ai03_reseed_seed-4_sample-0_model.cif
4	seed-4_sample-1	0.78	0.78	1.835	89.68544029077718	1	0	1	12	4	0	1	1	experiments/e40_ss3_ai03_reseed/out_s0/ova_body_ss3_ai03_reseed/seed-4_sample-1/ova_body_ss3_ai03_reseed_seed-4_sample-1_model.cif
4	seed-4_sample-2	0.79	0.78	1.8450000000000002	89.6796630997732	1	0	1	12	4	0	1	1	experiments/e40_ss3_ai03_reseed/out_s0/ova_body_ss3_ai03_reseed/seed-4_sample-2/ova_body_ss3_ai03_reseed_seed-4_sample-2_model.cif
4	seed-4_sample-3	0.78	0.78	1.8050000000000002	89.05544053705245	1	0	1	12	4	0	1	1	experiments/e40_ss3_ai03_reseed/out_s0/ova_body_ss3_ai03_reseed/seed-4_sample-3/ova_body_ss3_ai03_reseed_seed-4_sample-3_model.cif
4	seed-4_sample-4	0.78	0.77	1.87	89.36888617678628	1	0	1	12	4	0	1	1	experiments/e40_ss3_ai03_reseed/out_s0/ova_body_ss3_ai03_reseed/seed-4_sample-4/ova_body_ss3_ai03_reseed_seed-4_sample-4_model.cif
5	seed-5_sample-0	0.79	0.79	1.83	89.03005185893163	1	0	1	12	4	0	1	1	experiments/e40_ss3_ai03_reseed/out_s1/ova_body_ss3_ai03_reseed/seed-5_sample-0/ova_body_ss3_ai03_reseed_seed-5_sample-0_model.cif
